mode,loose_tol,rung_index,vf,iters,cg_iters,achieved,margin,compliance,accepted,mean_drho_vs_tight,max_drho_vs_tight,margin_delta_pct_vs_tight,C_delta_pct_vs_tight,repeat_max_drho
tight,0,0,0.68,159,21223,0.6800,1.6117,29.1945,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
tight,0,1,0.52,198,39586,0.5200,1.4710,39.4733,0,0.000000,0.000000,0.0000,0.0000,0.00e+00
1e-6,1e-6,0,0.68,159,21415,0.6800,1.6117,29.1945,1,0.000000,0.000002,0.0000,0.0000,0.00e+00
1e-6,1e-6,1,0.52,197,38482,0.5200,1.4710,39.4733,0,0.000000,0.000000,0.0000,0.0000,0.00e+00
1e-5,1e-5,0,0.68,159,21704,0.6800,1.6117,29.1945,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
1e-5,1e-5,1,0.52,177,34150,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
1e-4,1e-4,0,0.68,159,21509,0.6800,1.6117,29.1945,1,0.000000,0.000002,0.0000,0.0000,0.00e+00
1e-4,1e-4,1,0.52,172,33194,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
1e-3,1e-3,0,0.68,160,24570,0.6800,1.6117,29.1945,1,0.000000,0.000009,0.0000,0.0000,0.00e+00
1e-3,1e-3,1,0.52,173,32818,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
