mode,loose_tol,rung_index,vf,iters,cg_iters,achieved,margin,compliance,accepted,mean_drho_vs_tight,max_drho_vs_tight,margin_delta_pct_vs_tight,C_delta_pct_vs_tight,repeat_max_drho
tight,0,0,0.68,191,20990,0.6786,4.1696,4.70347,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
tight,0,1,0.52,271,32855,0.5238,3.1467,6.54262,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
tight,0,2,0.38,299,40546,0.3810,2.1625,13.3872,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
tight,0,3,0.26,369,129035,0.2738,0.7858,57.3042,0,0.000000,0.000000,0.0000,0.0000,0.00e+00
1e-6,1e-6,0,0.68,228,21148,0.6786,4.0329,4.66273,1,0.103714,1.000000,3.2791,0.8661,0.00e+00
1e-6,1e-6,1,0.52,264,30035,0.5238,3.1452,6.78482,1,0.077415,1.000000,0.0490,3.7019,0.00e+00
1e-6,1e-6,2,0.38,278,37437,0.3810,2.1625,13.3864,1,0.054827,1.000000,0.0001,0.0060,0.00e+00
1e-6,1e-6,3,0.26,305,106211,0.2738,0.7526,56.7125,0,0.000286,0.026725,4.2280,1.0327,0.00e+00
1e-5,1e-5,0,0.68,208,18467,0.6786,4.0330,4.66271,1,0.050778,0.999999,3.2760,0.8666,0.00e+00
1e-5,1e-5,1,0.52,301,33273,0.5238,3.1504,6.63962,1,0.007834,0.994241,0.1162,1.4826,0.00e+00
1e-5,1e-5,2,0.38,277,36893,0.3810,2.1627,13.3916,1,0.054832,1.000000,0.0080,0.0330,0.00e+00
1e-5,1e-5,3,0.26,351,107392,0.2381,0.4106,614.276,0,0.030953,0.999568,47.7466,971.9560,0.00e+00
1e-4,1e-4,0,0.68,204,17657,0.6786,4.0331,4.66274,1,0.050778,0.999999,3.2750,0.8659,0.00e+00
1e-4,1e-4,1,0.52,233,24635,0.5238,3.1438,6.78532,1,0.011807,0.995758,0.0945,3.7095,0.00e+00
1e-4,1e-4,2,0.38,275,35821,0.3810,2.1625,13.3871,1,0.054819,1.000000,0.0005,0.0001,0.00e+00
1e-4,1e-4,3,0.26,353,107115,0.2738,0.7189,70.3337,0,0.012402,0.850011,8.5143,22.7374,0.00e+00
1e-3,1e-3,0,0.68,235,17525,0.6905,4.0927,4.46388,1,0.067829,0.999995,1.8451,5.0939,0.00e+00
1e-3,1e-3,1,0.52,243,27378,0.5238,3.2931,6.65947,1,0.084695,1.000000,4.6528,1.7860,0.00e+00
1e-3,1e-3,2,0.38,278,35743,0.3810,2.1627,13.3956,1,0.054848,1.000000,0.0083,0.0634,0.00e+00
1e-3,1e-3,3,0.26,339,105783,0.2738,0.7716,57.2186,0,0.000388,0.056182,1.8115,0.1494,0.00e+00
