mode,rung_index,vf,iters,gray_iters,proj_iters,cg_iters,gray_cg,proj_cg,mg_steps,steps,achieved,margin,compliance,accepted,projection_fired,wall_median,repeat_max_drho
gate-fp64,0,0.68,130,53,77,7185,2638,4547,130,130,0.6800,23.8622,5.54377,1,1,592.595,0.00e+00
gate-fp64,1,0.52,126,47,79,6539,2285,4254,126,126,0.5200,21.8460,6.37878,1,1,592.595,0.00e+00
gate-fp64,2,0.38,145,55,90,8419,2889,5530,145,145,0.3800,18.6072,8.0455,1,1,592.595,0.00e+00
gate-fp64,3,0.26,224,91,133,18572,5929,12643,224,224,0.2600,16.6058,11.1129,1,1,592.595,0.00e+00
gate-fp32,0,0.68,130,53,77,9017,2952,6065,130,130,0.6800,23.8622,5.54377,1,1,330.873,0.00e+00
gate-fp32,1,0.52,126,47,79,7941,2555,5386,126,126,0.5200,21.8460,6.37878,1,1,330.873,0.00e+00
gate-fp32,2,0.38,145,55,90,10144,3294,6850,145,145,0.3800,18.6072,8.04553,1,1,330.873,0.00e+00
gate-fp32,3,0.26,224,91,133,21615,7146,14469,224,224,0.2600,16.6058,11.1129,1,1,330.873,0.00e+00
forced-fp64,0,0.68,130,53,77,7185,2638,4547,130,130,0.6800,23.8622,5.54377,1,1,239.149,0.00e+00
forced-fp64,1,0.52,126,47,79,6539,2285,4254,126,126,0.5200,21.8460,6.37878,1,1,239.149,0.00e+00
forced-fp64,2,0.38,145,55,90,8419,2889,5530,145,145,0.3800,18.6072,8.0455,1,1,239.149,0.00e+00
forced-fp64,3,0.26,224,91,133,18572,5929,12643,224,224,0.2600,16.6058,11.1129,1,1,239.149,0.00e+00
forced-fp32,0,0.68,130,53,77,9017,2952,6065,130,130,0.6800,23.8622,5.54377,1,1,263.727,0.00e+00
forced-fp32,1,0.52,126,47,79,7941,2555,5386,126,126,0.5200,21.8460,6.37878,1,1,263.727,0.00e+00
forced-fp32,2,0.38,145,55,90,10144,3294,6850,145,145,0.3800,18.6072,8.04553,1,1,263.727,0.00e+00
forced-fp32,3,0.26,224,91,133,21615,7146,14469,224,224,0.2600,16.6058,11.1129,1,1,263.727,0.00e+00
