fixture                    rung iters     elems |         k=0 first/mid/last | k=2 last k=4 last k=8 last | nodes k=4 last
F1_lbracket_snug              0   141      4480 |  100.00    97.59    72.01 |   100.00   100.00   100.00 |        100.00
F1_lbracket_snug              1   206      4480 |  100.00    96.12    57.32 |    99.38   100.00   100.00 |        100.00
F1_lbracket_snug              2   215      4480 |  100.00    90.71    45.62 |    98.39   100.00   100.00 |        100.00
F1_lbracket_snug              3   247      4480 |  100.00    86.79    32.59 |    89.64   100.00   100.00 |        100.00
F2_designbox_10x              0   121     46080 |   42.01    23.04    17.11 |    36.44    59.52    83.65 |         61.25
F2_designbox_10x              1   121     46080 |   32.58    21.12    14.84 |    32.17    54.68    82.14 |         56.53
F2_designbox_10x              2    61     46080 |   23.98    26.91    13.16 |    31.07    54.15    88.10 |         55.92
F2_designbox_10x              3    61     46080 |   16.42    36.50    10.86 |    27.01    48.13    82.80 |         50.06
F3_designbox_dilute           0     4    262144 |    2.48     2.97     5.92 |    11.75    18.77    35.90 |         19.79
cli_snapshot                  0    26     39672 |    7.88    35.24    59.59 |    84.44    95.47   100.00 |         96.00

PER-ITERATION DETAIL (every row, k=0/2/4/8 element %)

-- F1_lbracket_snug rung 0 (4480 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
  11 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
  21  97.90 100.00 100.00 100.00 |     99.34 100.00 100.00 100.00
  31  97.59 100.00 100.00 100.00 |     99.27 100.00 100.00 100.00
  41  97.59 100.00 100.00 100.00 |     99.27 100.00 100.00 100.00
  51  98.30 100.00 100.00 100.00 |     99.50 100.00 100.00 100.00
  61  97.63 100.00 100.00 100.00 |     99.27 100.00 100.00 100.00
  71  97.59 100.00 100.00 100.00 |     99.27 100.00 100.00 100.00
  81  97.59 100.00 100.00 100.00 |     99.27 100.00 100.00 100.00
  91  98.08 100.00 100.00 100.00 |     99.45 100.00 100.00 100.00
 101  99.20 100.00 100.00 100.00 |     99.91 100.00 100.00 100.00
 111  98.53 100.00 100.00 100.00 |     99.61 100.00 100.00 100.00
 121  99.96 100.00 100.00 100.00 |     99.98 100.00 100.00 100.00
 131 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
 140  72.01 100.00 100.00 100.00 |     85.84 100.00 100.00 100.00  <- rung boundary

-- F1_lbracket_snug rung 1 (4480 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
  15  98.30 100.00 100.00 100.00 |     99.49 100.00 100.00 100.00
  29  96.74 100.00 100.00 100.00 |     98.81 100.00 100.00 100.00
  43  96.43 100.00 100.00 100.00 |     98.71 100.00 100.00 100.00
  57  96.29 100.00 100.00 100.00 |     98.67 100.00 100.00 100.00
  71  96.16 100.00 100.00 100.00 |     98.74 100.00 100.00 100.00
  85  97.59 100.00 100.00 100.00 |     99.33 100.00 100.00 100.00
  99  96.12 100.00 100.00 100.00 |     98.78 100.00 100.00 100.00
 113  96.12 100.00 100.00 100.00 |     98.78 100.00 100.00 100.00
 127  96.52 100.00 100.00 100.00 |     98.85 100.00 100.00 100.00
 141  97.54 100.00 100.00 100.00 |     99.36 100.00 100.00 100.00
 155  97.72 100.00 100.00 100.00 |     99.47 100.00 100.00 100.00
 169  97.86 100.00 100.00 100.00 |     99.50 100.00 100.00 100.00
 183  99.29 100.00 100.00 100.00 |     99.91 100.00 100.00 100.00
 197  99.96 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
 205  57.32  99.38 100.00 100.00 |     75.74 99.95 100.00 100.00  <- rung boundary

-- F1_lbracket_snug rung 2 (4480 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
  16  97.68 100.00 100.00 100.00 |     99.43 100.00 100.00 100.00
  31  92.54 100.00 100.00 100.00 |     97.32 100.00 100.00 100.00
  46  91.79 100.00 100.00 100.00 |     96.88 100.00 100.00 100.00
  61  91.16 100.00 100.00 100.00 |     96.88 100.00 100.00 100.00
  76  90.27 100.00 100.00 100.00 |     96.47 100.00 100.00 100.00
  91  94.46 100.00 100.00 100.00 |     98.21 100.00 100.00 100.00
 106  90.85 100.00 100.00 100.00 |     96.85 100.00 100.00 100.00
 121  91.56 100.00 100.00 100.00 |     97.11 100.00 100.00 100.00
 136  93.39 100.00 100.00 100.00 |     97.84 100.00 100.00 100.00
 151  94.64 100.00 100.00 100.00 |     98.49 100.00 100.00 100.00
 166  95.18 100.00 100.00 100.00 |     98.65 100.00 100.00 100.00
 181  97.59 100.00 100.00 100.00 |     99.52 100.00 100.00 100.00
 196  97.59 100.00 100.00 100.00 |     99.56 100.00 100.00 100.00
 211  98.79 100.00 100.00 100.00 |     99.82 100.00 100.00 100.00
 214  45.62  98.39 100.00 100.00 |     66.79 99.73 100.00 100.00  <- rung boundary

-- F1_lbracket_snug rung 3 (4480 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1 100.00 100.00 100.00 100.00 |    100.00 100.00 100.00 100.00
  18  94.29 100.00 100.00 100.00 |     99.11 100.00 100.00 100.00
  35  85.62 100.00 100.00 100.00 |     94.77 100.00 100.00 100.00
  52  81.56 100.00 100.00 100.00 |     92.54 100.00 100.00 100.00
  69  81.56 100.00 100.00 100.00 |     92.45 100.00 100.00 100.00
  86  81.70 100.00 100.00 100.00 |     92.65 100.00 100.00 100.00
 103  81.52 100.00 100.00 100.00 |     92.49 100.00 100.00 100.00
 120  82.72 100.00 100.00 100.00 |     92.96 100.00 100.00 100.00
 137  84.02 100.00 100.00 100.00 |     93.41 100.00 100.00 100.00
 154  88.57 100.00 100.00 100.00 |     95.80 100.00 100.00 100.00
 171  90.04 100.00 100.00 100.00 |     96.79 100.00 100.00 100.00
 188  89.82 100.00 100.00 100.00 |     96.76 100.00 100.00 100.00
 205  95.49 100.00 100.00 100.00 |     99.45 100.00 100.00 100.00
 222  94.87 100.00 100.00 100.00 |     99.04 100.00 100.00 100.00
 239  98.26 100.00 100.00 100.00 |     99.81 100.00 100.00 100.00
 246  32.59  89.64 100.00 100.00 |     53.16 97.22 100.00 100.00  <- rung boundary

-- F2_designbox_10x rung 0 (46080 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1  42.01  55.70  68.06  82.53 |     44.30 57.55 69.48 83.27
   9  90.10  96.43  99.12 100.00 |     90.85 96.62 99.18 100.00
  17  58.22  71.75  81.25  93.26 |     59.86 72.77 81.91 93.53
  25  32.70  53.85  69.62  86.76 |     35.25 55.52 70.73 87.29
  33  19.86  39.96  62.19  84.26 |     22.28 42.15 63.69 84.90
  41  17.50  36.91  59.36  83.72 |     19.90 39.19 61.03 84.37
  49  17.22  36.51  59.04  83.54 |     19.63 38.80 60.71 84.20
  57  17.17  36.05  58.91  83.46 |     19.52 38.25 60.59 84.13
  65  18.96  38.74  61.63  84.34 |     21.40 40.98 63.20 84.97
  73  17.58  36.79  59.79  83.71 |     20.02 39.06 61.48 84.37
  81  17.47  36.43  59.57  83.63 |     19.88 38.65 61.26 84.29
  89  17.45  36.45  59.57  83.67 |     19.88 38.68 61.26 84.33
  97  17.48  36.49  59.59  83.67 |     19.91 38.73 61.29 84.33
 105  17.50  36.50  59.62  83.64 |     19.94 38.74 61.31 84.30
 113  17.87  37.22  60.22  83.80 |     20.37 39.51 61.91 84.45
 120  17.11  36.44  59.52  83.65 |     19.66 38.79 61.25 84.31  <- rung boundary

-- F2_designbox_10x rung 1 (46080 elements) --
iter  k=0    k=2    k=4    k=8   | nodes k=0  k=2   k=4   k=8
   1  32.58  46.40  59.87  76.22 |     34.95 48.74 61.57 77.22
   9  70.23  85.64  93.13  99.77 |     74.05 86.66 93.47 99.79
  17  55.25  70.91  80.75  93.44 |     57.12 71.95 81.38 93.70
  25  30.85  53.98  72.22  88.52 |     33.38 55.95 73.23 88.98
  33  18.25  36.93  60.66  85.97 |     20.72 39.17 62.33 86.54
  41  15.69  33.58  56.80  84.69 |     18.14 35.87 58.61 85.31
  49  15.33  32.89  55.74  84.28 |     17.73 35.16 57.55 84.91
  57  15.22  32.67  55.40  84.07 |     17.60 34.94 57.22 84.71
  65  17.38  35.46  58.86  84.66 |     19.74 37.66 60.58 85.28
  73  15.34  32.85  55.65  83.36 |     17.72 35.12 57.47 84.03
  81  15.16  32.62  55.34  83.07 |     17.55 34.88 57.17 83.75
  89  15.03  32.38  54.98  82.76 |     17.40 34.63 56.82 83.46
  97  14.95  32.23  54.76  82.55 |     17.30 34.49 56.60 83.25
 105  14.92  32.17  54.68  82.42 |     17.27 34.43 56.52 83.13
