rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted
0,1,1784775781737,3806.815027,0.007748,0,106,1,0,1,106
0,2,1784775783245,475918.8753,0.007980,0,82,1,0,1,82
0,3,1784775785607,284671.6348,0.007007,0,150,1,0,1,150
0,4,1784775787519,315309.775,0.007442,0,118,1,0,1,118
0,5,1784775802616,3266772.201,0.005874,0,3374,0,0,1,300
0,6,1784775803987,524735.7859,0.007473,0,82,1,0,1,82
0,7,1784775807798,3810913.768,0.004553,0,210,1,0,1,210
0,8,1784775809393,610909.8302,0.007155,0,90,1,0,1,90
0,9,1784775811279,456867.8318,0.005096,0,118,1,0,1,118
0,10,1784775813181,435804.571,0.007434,0,93,1,0,1,93
0,11,1784775815200,279412.7537,0.007208,0,131,1,0,1,131
0,12,1784775819065,822054.8528,0.006193,0,235,1,0,1,235
0,13,1784775822110,166456.9113,0.007848,0,182,1,0,1,182
0,14,1784775836803,504978.5588,0.006390,0,3260,0,0,1,300
0,15,1784775840528,108043.8742,0.007952,0,278,1,0,1,278
0,16,1784775851770,436262.9506,0.006339,0,2628,0,0,1,300
0,17,1784775854627,84235.85707,0.007843,0,210,1,0,1,210
0,18,1784775866466,594705.6752,0.005730,0,2880,0,0,1,300
0,19,1784775880365,76563.66923,0.007851,0,2134,0,0,1,300
0,20,1784775896300,459067.594,0.005820,0,3282,0,0,1,300
0,21,1784775906977,74092.45104,0.007800,0,2589,0,0,0,0
0,22,1784775921416,393144.6017,0.005329,0,3768,0,0,0,0
0,23,1784775935635,67233.23638,0.007834,0,3766,0,0,0,0
0,24,1784775953854,240530.4988,0.005343,0,4912,0,0,0,0
0,25,1784775972767,57693.50087,0.007719,0,5387,0,0,0,0
0,26,1784775994562,103984.3466,0.006031,0,4971,0,0,0,0
0,27,1784776019515,42888.9021,0.007506,0,7052,0,0,0,0
0,28,1784776033015,61775.46489,0.006304,0,4116,0,0,0,0
0,29,1784776053465,30697.43445,0.007219,0,6073,0,0,0,0
0,30,1784776066556,43296.72205,0.006424,0,3673,0,0,0,0
0,31,1784776080067,19630.03136,0.007033,1,3765,0,0,0,0
