rung,iter,boundary,threshold,band_k,domain_elems,elem_frac,node_frac
0,1,0,0.0015,0,39672,0.078821,0.091060
0,1,0,0.0015,2,39672,0.161928,0.176507
0,1,0,0.0015,4,39672,0.275711,0.291407
0,1,0,0.0015,8,39672,0.582249,0.594779
0,1,0,0.01,0,39672,0.061681,0.072650
0,1,0,0.01,2,39672,0.134024,0.147609
0,1,0,0.01,4,39672,0.235405,0.250543
0,1,0,0.01,8,39672,0.535063,0.548487
0,1,0,0.05,0,39672,0.043960,0.053569
0,1,0,0.05,2,39672,0.105011,0.117579
0,1,0,0.05,4,39672,0.193411,0.208016
0,1,0,0.05,8,39672,0.470206,0.484708
0,1,0,0.1,0,39672,0.031206,0.039293
0,1,0,0.1,2,39672,0.080384,0.091384
0,1,0,0.1,4,39672,0.153282,0.166597
0,1,0,0.1,8,39672,0.390855,0.405475
0,1,0,0.3,0,39672,0.000302,0.001386
0,1,0,0.3,2,39672,0.008066,0.011781
0,1,0,0.3,4,39672,0.026921,0.033472
0,1,0,0.3,8,39672,0.117463,0.129845
0,1,0,0.5,0,39672,0.000302,0.001386
0,1,0,0.5,2,39672,0.008066,0.011781
0,1,0,0.5,4,39672,0.026921,0.033472
0,1,0,0.5,8,39672,0.117463,0.129845
0,2,0,0.0015,0,39672,0.194848,0.233102
0,2,0,0.0015,2,39672,0.394586,0.412636
0,2,0,0.0015,4,39672,0.599945,0.614507
0,2,0,0.0015,8,39672,0.857557,0.862301
0,2,0,0.01,0,39672,0.130924,0.167082
0,2,0,0.01,2,39672,0.332426,0.353939
0,2,0,0.01,4,39672,0.526568,0.541927
0,2,0,0.01,8,39672,0.826603,0.832317
0,2,0,0.05,0,39672,0.062966,0.091892
0,2,0,0.05,2,39672,0.230792,0.259598
0,2,0,0.05,4,39672,0.431236,0.449734
0,2,0,0.05,8,39672,0.764469,0.772049
0,2,0,0.1,0,39672,0.015351,0.032894
0,2,0,0.1,2,39672,0.121421,0.146108
0,2,0,0.1,4,39672,0.287205,0.309540
0,2,0,0.1,8,39672,0.678942,0.689120
0,2,0,0.3,0,39672,0.000302,0.001386
0,2,0,0.3,2,39672,0.008066,0.011781
0,2,0,0.3,4,39672,0.026921,0.033472
0,2,0,0.3,8,39672,0.117463,0.129845
0,2,0,0.5,0,39672,0.000302,0.001386
0,2,0,0.5,2,39672,0.008066,0.011781
0,2,0,0.5,4,39672,0.026921,0.033472
0,2,0,0.5,8,39672,0.117463,0.129845
0,3,0,0.0015,0,39672,0.185748,0.243844
0,3,0,0.0015,2,39672,0.502722,0.533911
0,3,0,0.0015,4,39672,0.761368,0.773389
0,3,0,0.0015,8,39672,0.964786,0.965997
0,3,0,0.01,0,39672,0.111439,0.161238
0,3,0,0.01,2,39672,0.387830,0.425757
0,3,0,0.01,4,39672,0.661071,0.676831
0,3,0,0.01,8,39672,0.935017,0.937099
0,3,0,0.05,0,39672,0.041415,0.067706
0,3,0,0.05,2,39672,0.185294,0.216563
0,3,0,0.05,4,39672,0.392367,0.419312
0,3,0,0.05,8,39672,0.843945,0.849526
0,3,0,0.1,0,39672,0.017493,0.032109
0,3,0,0.1,2,39672,0.091601,0.108986
0,3,0,0.1,4,39672,0.180606,0.195773
0,3,0,0.1,8,39672,0.449561,0.465165
0,3,0,0.3,0,39672,0.000302,0.001386
0,3,0,0.3,2,39672,0.008066,0.011781
0,3,0,0.3,4,39672,0.026921,0.033472
0,3,0,0.3,8,39672,0.117463,0.129845
0,3,0,0.5,0,39672,0.000302,0.001386
0,3,0,0.5,2,39672,0.008066,0.011781
0,3,0,0.5,4,39672,0.026921,0.033472
0,3,0,0.5,8,39672,0.117463,0.129845
0,4,0,0.0015,0,39672,0.195629,0.232571
0,4,0,0.0015,2,39672,0.406584,0.429961
0,4,0,0.0015,4,39672,0.609246,0.622892
0,4,0,0.0015,8,39672,0.812563,0.818249
0,4,0,0.01,0,39672,0.139872,0.175699
0,4,0,0.01,2,39672,0.340946,0.368445
0,4,0,0.01,4,39672,0.545952,0.560961
0,4,0,0.01,8,39672,0.781937,0.788542
0,4,0,0.05,0,39672,0.061277,0.092146
0,4,0,0.05,2,39672,0.231498,0.261954
