fixture,band_k,cadence,iter,active_frac,C_full,C_restricted,dC_rel,dSens_rel,mean_drho,max_drho,outside_band_rel,band_escapes,max_escaping_rho
dilute40_vf026,2,1,1,1.000000,1032925.457,1032925.457,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf026,2,1,2,0.949922,19081.70436,19083.25708,8.137215e-05,2.008671e-03,2.408823e-06,5.225559e-05,1.572742e-03,0,0.001000
dilute40_vf026,2,1,3,0.692266,7270.054348,7270.198435,5.690763e-06,7.415869e-05,8.141579e-07,6.311233e-05,1.130385e-04,0,0.001000
dilute40_vf026,2,1,4,0.391354,1515.08286,1515.157842,7.980751e-05,1.096376e-03,1.180405e-06,6.578701e-05,4.940852e-04,0,0.001000
dilute40_vf026,2,1,5,0.286641,641.7999621,641.8517796,5.461721e-06,1.051593e-03,7.926491e-07,8.432985e-05,2.318762e-04,0,0.001000
dilute40_vf026,2,1,6,0.221302,324.9564801,324.9734758,1.768244e-05,1.218049e-03,7.822899e-07,7.275686e-05,3.461731e-04,0,0.001000
dilute40_vf026,2,1,7,0.190807,190.4289924,190.4374255,3.805831e-06,6.326533e-04,6.872979e-07,9.512092e-05,1.207126e-04,0,0.001000
dilute40_vf026,2,1,8,0.168724,133.0187085,133.0243512,6.534975e-06,1.249506e-03,7.058963e-07,8.670691e-05,2.430830e-04,0,0.001000
dilute40_vf026,2,1,9,0.155911,98.7741649,98.77781879,2.950765e-06,5.308834e-04,6.800646e-07,1.316964e-04,1.190935e-04,0,0.001000
dilute40_vf026,2,1,10,0.146875,79.89994238,79.90248988,3.703484e-06,6.118002e-04,6.833748e-07,1.462174e-04,1.156087e-04,0,0.001000
dilute40_vf026,2,1,11,0.138151,68.95959108,68.96138709,2.400808e-06,5.400265e-04,6.847819e-07,1.876184e-04,1.489208e-04,0,0.001000
dilute40_vf026,2,1,12,0.132865,62.11641956,62.11768365,2.567278e-06,3.244720e-04,6.683174e-07,2.270492e-04,6.671734e-05,0,0.001000
dilute40_vf026,2,1,13,0.127630,58.0110399,58.01210304,2.152489e-06,5.109114e-04,6.484779e-07,1.733636e-04,1.056236e-04,0,0.001000
dilute40_vf026,2,1,14,0.124323,54.96338305,54.96422623,2.204636e-06,3.066260e-04,6.353226e-07,1.998989e-04,7.477480e-05,0,0.001000
