
===== [CORRECTNESS] dilute box 40x24x40 = 38400 elements, part 1512 voxels (3.94% fill, 25.4x dilution) =====

[MECHANICS] mask determinism (pure function, fixed traversal): PASS (bit-identical across re-derivations)

----- [TRAJECTORY] dilute40_vf026  rung_vf=0.26 -> domain vf=0.0102  rmin=2.50 k=2 cadence=1 tol=1e-10 iters=40 -----
  it | active% | C_full         C_rest       dC/C     | max|dSens|/|Sens| (band) | mean|drho|  max|drho| | outside-band want | band escapes
   1 | 100.00% | 1032925.5      1032925.5    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   2 |  94.99% | 19081.704      19083.257    8.14e-05 | 2.01e-03              |  2.409e-06 5.226e-05 | 1.57e-03 |      0 (max rho 0.0010)
   3 |  69.23% | 7270.0543      7270.1984    5.69e-06 | 7.42e-05              |  8.142e-07 6.311e-05 | 1.13e-04 |      0 (max rho 0.0010)
   4 |  39.14% | 1515.0829      1515.1578    7.98e-05 | 1.10e-03              |  1.180e-06 6.579e-05 | 4.94e-04 |      0 (max rho 0.0010)
   5 |  28.66% | 641.79996      641.85178    5.46e-06 | 1.05e-03              |  7.926e-07 8.433e-05 | 2.32e-04 |      0 (max rho 0.0010)
   6 |  22.13% | 324.95648      324.97348    1.77e-05 | 1.22e-03              |  7.823e-07 7.276e-05 | 3.46e-04 |      0 (max rho 0.0010)
   7 |  19.08% | 190.42899      190.43743    3.81e-06 | 6.33e-04              |  6.873e-07 9.512e-05 | 1.21e-04 |      0 (max rho 0.0010)
   8 |  16.87% | 133.01871      133.02435    6.53e-06 | 1.25e-03              |  7.059e-07 8.671e-05 | 2.43e-04 |      0 (max rho 0.0010)
   9 |  15.59% | 98.774165      98.777819    2.95e-06 | 5.31e-04              |  6.801e-07 1.317e-04 | 1.19e-04 |      0 (max rho 0.0010)
  10 |  14.69% | 79.899942      79.90249     3.70e-06 | 6.12e-04              |  6.834e-07 1.462e-04 | 1.16e-04 |      0 (max rho 0.0010)
  11 |  13.82% | 68.959591      68.961387    2.40e-06 | 5.40e-04              |  6.848e-07 1.876e-04 | 1.49e-04 |      0 (max rho 0.0010)
  12 |  13.29% | 62.11642       62.117684    2.57e-06 | 3.24e-04              |  6.683e-07 2.270e-04 | 6.67e-05 |      0 (max rho 0.0010)
  13 |  12.76% | 58.01104       58.012103    2.15e-06 | 5.11e-04              |  6.485e-07 1.734e-04 | 1.06e-04 |      0 (max rho 0.0010)
  14 |  12.43% | 54.963383      54.964226    2.20e-06 | 3.07e-04              |  6.353e-07 1.999e-04 | 7.48e-05 |      0 (max rho 0.0010)
  15 |  12.13% | 52.92367       52.92435     2.00e-06 | 4.81e-04              |  6.249e-07 2.317e-04 | 8.05e-05 |      0 (max rho 0.0010)
  16 |  11.97% | 51.375099      51.375597    2.00e-06 | 3.31e-04              |  6.042e-07 2.733e-04 | 6.13e-05 |      0 (max rho 0.0010)
  17 |  11.77% | 50.229122      50.229576    1.90e-06 | 4.43e-04              |  6.027e-07 3.048e-04 | 6.56e-05 |      0 (max rho 0.0010)
  18 |  11.66% | 49.369846      49.370202    1.91e-06 | 3.58e-04              |  6.046e-07 3.454e-04 | 5.64e-05 |      0 (max rho 0.0010)
  19 |  11.51% | 48.677086      48.67735     1.88e-06 | 4.41e-04              |  6.045e-07 3.837e-04 | 6.10e-05 |      0 (max rho 0.0010)
  20 |  11.43% | 48.116635      48.116867    1.87e-06 | 4.05e-04              |  6.249e-07 4.298e-04 | 5.71e-05 |      0 (max rho 0.0010)
  21 |  11.35% | 47.648793      47.64899     1.85e-06 | 4.49e-04              |  6.104e-07 4.634e-04 | 5.96e-05 |      0 (max rho 0.0010)
  22 |  11.27% | 47.257619      47.257803    1.84e-06 | 4.47e-04              |  6.086e-07 5.146e-04 | 5.89e-05 |      0 (max rho 0.0010)
  23 |  11.24% | 46.937934      46.938066    1.82e-06 | 4.64e-04              |  5.847e-07 5.630e-04 | 6.00e-05 |      0 (max rho 0.0010)
  24 |  11.18% | 46.669972      46.670086    1.82e-06 | 4.75e-04              |  5.980e-07 6.090e-04 | 6.08e-05 |      0 (max rho 0.0010)
  25 |  11.16% | 46.438018      46.438119    1.81e-06 | 4.91e-04              |  5.776e-07 6.674e-04 | 6.22e-05 |      0 (max rho 0.0010)
  26 |  11.12% | 46.235442      46.235564    1.81e-06 | 5.06e-04              |  5.426e-07 5.288e-04 | 6.35e-05 |      0 (max rho 0.0010)
  27 |  11.09% | 46.065604      46.065734    1.81e-06 | 5.13e-04              |  5.370e-07 5.558e-04 | 6.41e-05 |      0 (max rho 0.0010)
  28 |  11.06% | 45.924721      45.924859    1.81e-06 | 5.18e-04              |  5.327e-07 5.984e-04 | 6.44e-05 |      0 (max rho 0.0010)
  29 |  11.03% | 45.806516      45.80663     1.81e-06 | 5.21e-04              |  5.449e-07 6.254e-04 | 6.46e-05 |      0 (max rho 0.0010)
  30 |  11.01% | 45.703761      45.703854    1.81e-06 | 5.22e-04              |  5.546e-07 6.868e-04 | 6.45e-05 |      0 (max rho 0.0010)
  31 |  10.99% | 45.612724      45.612814    1.80e-06 | 5.23e-04              |  5.691e-07 7.447e-04 | 6.44e-05 |      0 (max rho 0.0010)
  32 |  10.96% | 45.530107      45.530184    1.80e-06 | 5.24e-04              |  5.394e-07 8.077e-04 | 6.45e-05 |      0 (max rho 0.0010)
  33 |  10.94% | 45.4578        45.457907    1.80e-06 | 5.26e-04              |  4.984e-07 7.012e-04 | 6.46e-05 |      0 (max rho 0.0010)
  34 |  10.92% | 45.393906      45.393984    1.80e-06 | 5.27e-04              |  4.737e-07 7.172e-04 | 6.47e-05 |      0 (max rho 0.0010)
  35 |  10.88% | 45.340165      45.340252    1.80e-06 | 5.28e-04              |  4.622e-07 7.328e-04 | 6.48e-05 |      0 (max rho 0.0010)
  36 |  10.87% | 45.292074      45.292154    1.79e-06 | 5.29e-04              |  4.657e-07 7.484e-04 | 6.49e-05 |      0 (max rho 0.0010)
  37 |  10.83% | 45.247965      45.248046    1.79e-06 | 5.31e-04              |  4.717e-07 7.652e-04 | 6.50e-05 |      0 (max rho 0.0010)
  38 |  10.82% | 45.20736       45.207443    1.79e-06 | 5.33e-04              |  4.763e-07 7.821e-04 | 6.53e-05 |      0 (max rho 0.0010)
  39 |  10.82% | 45.169902      45.169974    1.79e-06 | 5.35e-04              |  4.775e-07 7.961e-04 | 6.56e-05 |      0 (max rho 0.0010)
  40 |  10.80% | 45.135198      45.135256    1.79e-06 | 5.40e-04              |  4.678e-07 8.436e-04 | 6.59e-05 |      0 (max rho 0.0010)
  WORST over 40 iters: dC/C=8.14e-05  max|dSens|/|Sens|=2.01e-03  mean|drho|=2.409e-06  max|drho|=8.436e-04  outside-band want=1.57e-03  band escapes=0 (max escaping rho 0.0010)

----- [TRAJECTORY] dilute40_vf026  rung_vf=0.26 -> domain vf=0.0102  rmin=2.50 k=4 cadence=1 tol=1e-10 iters=40 -----
  it | active% | C_full         C_rest       dC/C     | max|dSens|/|Sens| (band) | mean|drho|  max|drho| | outside-band want | band escapes
   1 | 100.00% | 1032925.5      1032925.5    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   2 |  98.77% | 19081.704      19081.869    8.61e-06 | 1.74e-03              |  3.041e-07 1.033e-05 | 6.57e-04 |      0 (max rho 0.0010)
   3 |  81.35% | 7270.0543      7270.0686    2.29e-06 | 2.52e-05              |  1.848e-07 2.167e-05 | 2.15e-05 |      0 (max rho 0.0010)
   4 |  51.98% | 1515.0829      1515.1713    5.07e-05 | 1.00e-03              |  6.826e-07 4.672e-05 | 2.88e-04 |      0 (max rho 0.0010)
   5 |  41.05% | 641.79996      641.84641    3.28e-06 | 6.87e-04              |  4.046e-07 5.574e-05 | 5.98e-05 |      0 (max rho 0.0010)
   6 |  33.32% | 324.95648      324.96853    1.23e-05 | 1.14e-03              |  4.469e-07 5.081e-05 | 1.20e-04 |      0 (max rho 0.0010)
   7 |  29.52% | 190.42899      190.43489    2.49e-06 | 4.58e-04              |  3.693e-07 6.297e-05 | 3.15e-05 |      0 (max rho 0.0010)
   8 |  26.70% | 133.01871      133.02295    4.77e-06 | 1.15e-03              |  3.902e-07 6.131e-05 | 9.17e-05 |      0 (max rho 0.0010)
   9 |  25.01% | 98.774165      98.77645     2.07e-06 | 4.04e-04              |  3.626e-07 7.262e-05 | 2.92e-05 |      0 (max rho 0.0010)
  10 |  24.05% | 79.899942      79.901677    2.75e-06 | 5.64e-04              |  3.585e-07 6.829e-05 | 4.30e-05 |      0 (max rho 0.0010)
  11 |  22.77% | 68.959591      68.960675    1.76e-06 | 4.34e-04              |  3.401e-07 8.982e-05 | 3.28e-05 |      0 (max rho 0.0010)
  12 |  22.16% | 62.11642       62.117137    1.97e-06 | 2.95e-04              |  3.295e-07 9.537e-05 | 2.23e-05 |      0 (max rho 0.0010)
  13 |  21.38% | 58.01104       58.011562    1.62e-06 | 4.20e-04              |  3.112e-07 8.723e-05 | 2.58e-05 |      0 (max rho 0.0010)
  14 |  20.97% | 54.963383      54.963794    1.71e-06 | 2.78e-04              |  3.056e-07 8.593e-05 | 2.12e-05 |      0 (max rho 0.0010)
  15 |  20.46% | 52.92367       52.923998    1.53e-06 | 4.08e-04              |  2.964e-07 1.021e-04 | 2.15e-05 |      0 (max rho 0.0010)
  16 |  20.28% | 51.375099      51.375363    1.55e-06 | 2.98e-04              |  2.862e-07 1.209e-04 | 1.83e-05 |      0 (max rho 0.0010)
  17 |  19.97% | 50.229122      50.229333    1.47e-06 | 3.81e-04              |  2.822e-07 1.371e-04 | 1.86e-05 |      0 (max rho 0.0010)
  18 |  19.86% | 49.369846      49.370038    1.48e-06 | 3.22e-04              |  2.804e-07 1.569e-04 | 1.71e-05 |      0 (max rho 0.0010)
  19 |  19.69% | 48.677086      48.677207    1.46e-06 | 3.85e-04              |  2.798e-07 1.802e-04 | 1.79e-05 |      0 (max rho 0.0010)
  20 |  19.59% | 48.116635      48.116739    1.45e-06 | 3.60e-04              |  2.871e-07 2.056e-04 | 1.73e-05 |      0 (max rho 0.0010)
  21 |  19.48% | 47.648793      47.648885    1.44e-06 | 3.95e-04              |  2.815e-07 2.253e-04 | 1.77e-05 |      0 (max rho 0.0010)
  22 |  19.39% | 47.257619      47.257695    1.43e-06 | 3.96e-04              |  2.808e-07 2.442e-04 | 1.77e-05 |      0 (max rho 0.0010)
  23 |  19.36% | 46.937934      46.938005    1.41e-06 | 4.09e-04              |  2.721e-07 2.684e-04 | 1.79e-05 |      0 (max rho 0.0010)
  24 |  19.29% | 46.669972      46.670021    1.41e-06 | 4.20e-04              |  2.765e-07 2.910e-04 | 1.81e-05 |      0 (max rho 0.0010)
  25 |  19.27% | 46.438018      46.438072    1.41e-06 | 4.33e-04              |  2.635e-07 3.204e-04 | 1.85e-05 |      0 (max rho 0.0010)
  26 |  19.21% | 46.235442      46.235492    1.41e-06 | 4.48e-04              |  2.465e-07 2.545e-04 | 1.88e-05 |      0 (max rho 0.0010)
  27 |  19.18% | 46.065604      46.065654    1.41e-06 | 4.55e-04              |  2.418e-07 2.433e-04 | 1.90e-05 |      0 (max rho 0.0010)
  28 |  19.13% | 45.924721      45.924791    1.41e-06 | 4.59e-04              |  2.431e-07 2.711e-04 | 1.91e-05 |      0 (max rho 0.0010)
  29 |  19.09% | 45.806516      45.806572    1.41e-06 | 4.63e-04              |  2.466e-07 3.002e-04 | 1.92e-05 |      0 (max rho 0.0010)
  30 |  19.06% | 45.703761      45.703795    1.41e-06 | 4.63e-04              |  2.494e-07 3.287e-04 | 1.91e-05 |      0 (max rho 0.0010)
  31 |  19.04% | 45.612724      45.612771    1.41e-06 | 4.65e-04              |  2.560e-07 3.567e-04 | 1.91e-05 |      0 (max rho 0.0010)
  32 |  19.01% | 45.530107      45.530144    1.41e-06 | 4.66e-04              |  2.434e-07 3.850e-04 | 1.91e-05 |      0 (max rho 0.0010)
  33 |  18.97% | 45.4578        45.457857    1.41e-06 | 4.68e-04              |  2.285e-07 2.689e-04 | 1.92e-05 |      0 (max rho 0.0010)
  34 |  18.94% | 45.393906      45.393961    1.41e-06 | 4.70e-04              |  2.157e-07 2.871e-04 | 1.92e-05 |      0 (max rho 0.0010)
  35 |  18.90% | 45.340165      45.340206    1.41e-06 | 4.71e-04              |  2.119e-07 3.151e-04 | 1.92e-05 |      0 (max rho 0.0010)
  36 |  18.89% | 45.292074      45.292119    1.41e-06 | 4.73e-04              |  2.127e-07 3.416e-04 | 1.93e-05 |      0 (max rho 0.0010)
  37 |  18.88% | 45.247965      45.248019    1.41e-06 | 4.74e-04              |  2.143e-07 3.677e-04 | 1.93e-05 |      0 (max rho 0.0010)
  38 |  18.85% | 45.20736       45.207404    1.41e-06 | 4.77e-04              |  2.155e-07 3.922e-04 | 1.94e-05 |      0 (max rho 0.0010)
  39 |  18.85% | 45.169902      45.169951    1.41e-06 | 4.79e-04              |  2.159e-07 4.186e-04 | 1.94e-05 |      0 (max rho 0.0010)
  40 |  18.82% | 45.135198      45.135232    1.41e-06 | 4.83e-04              |  2.146e-07 4.457e-04 | 1.95e-05 |      0 (max rho 0.0010)
  WORST over 40 iters: dC/C=5.07e-05  max|dSens|/|Sens|=1.74e-03  mean|drho|=6.826e-07  max|drho|=4.457e-04  outside-band want=6.57e-04  band escapes=0 (max escaping rho 0.0010)

----- [TRAJECTORY] dilute40_vf026  rung_vf=0.26 -> domain vf=0.0102  rmin=2.50 k=8 cadence=1 tol=1e-10 iters=40 -----
  it | active% | C_full         C_rest       dC/C     | max|dSens|/|Sens| (band) | mean|drho|  max|drho| | outside-band want | band escapes
   1 | 100.00% | 1032925.5      1032925.5    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   2 | 100.00% | 19081.704      19081.704    0.00e+00 | 0.00e+00              |  0.000e+00 0.000e+00 | 0.00e+00 |      0 (max rho 0.0000)
   3 |  97.11% | 7270.0543      7270.0553    1.28e-07 | 2.36e-06              |  1.251e-08 1.452e-06 | 3.67e-06 |      0 (max rho 0.0010)
   4 |  77.14% | 1515.0829      1515.1072    1.46e-05 | 4.92e-04              |  2.030e-07 1.324e-05 | 1.03e-04 |      0 (max rho 0.0010)
   5 |  66.51% | 641.79996      641.81099    1.19e-06 | 2.60e-04              |  1.262e-07 1.613e-05 | 9.67e-06 |      0 (max rho 0.0010)
   6 |  59.15% | 324.95648      324.9587     4.41e-06 | 6.49e-04              |  1.423e-07 1.699e-05 | 3.03e-05 |      0 (max rho 0.0010)
   7 |  54.97% | 190.42899      190.43009    8.91e-07 | 1.88e-04              |  1.161e-07 1.993e-05 | 5.15e-06 |      0 (max rho 0.0010)
   8 |  51.32% | 133.01871      133.01975    1.84e-06 | 6.44e-04              |  1.228e-07 2.084e-05 | 2.11e-05 |      0 (max rho 0.0010)
   9 |  48.79% | 98.774165      98.774781    8.00e-07 | 1.84e-04              |  1.118e-07 2.087e-05 | 4.82e-06 |      0 (max rho 0.0010)
  10 |  47.79% | 79.899942      79.90048     1.11e-06 | 3.20e-04              |  1.099e-07 2.346e-05 | 9.81e-06 |      0 (max rho 0.0010)
  11 |  45.51% | 68.959591      68.959853    7.16e-07 | 2.16e-04              |  1.049e-07 2.619e-05 | 5.19e-06 |      0 (max rho 0.0010)
  12 |  45.17% | 62.11642       62.116701    8.22e-07 | 1.69e-04              |  1.014e-07 2.482e-05 | 4.73e-06 |      0 (max rho 0.0010)
  13 |  43.78% | 58.01104       58.011158    6.75e-07 | 2.12e-04              |  9.591e-08 2.592e-05 | 4.41e-06 |      0 (max rho 0.0010)
  14 |  43.39% | 54.963383      54.963464    7.27e-07 | 1.62e-04              |  9.418e-08 2.638e-05 | 4.12e-06 |      0 (max rho 0.0010)
  15 |  42.38% | 52.92367       52.92374     6.59e-07 | 2.17e-04              |  9.088e-08 2.891e-05 | 3.85e-06 |      0 (max rho 0.0010)
  16 |  42.22% | 51.375099      51.375143    6.74e-07 | 1.71e-04              |  8.854e-08 3.389e-05 | 3.56e-06 |      0 (max rho 0.0010)
  17 |  41.66% | 50.229122      50.22919     6.30e-07 | 2.06e-04              |  8.658e-08 3.567e-05 | 3.41e-06 |      0 (max rho 0.0010)
  18 |  41.55% | 49.369846      49.369906    6.41e-07 | 1.81e-04              |  8.534e-08 3.946e-05 | 3.29e-06 |      0 (max rho 0.0010)
  19 |  41.32% | 48.677086      48.67712     6.23e-07 | 2.08e-04              |  8.512e-08 4.380e-05 | 3.31e-06 |      0 (max rho 0.0010)
  20 |  41.21% | 48.116635      48.116664    6.20e-07 | 1.97e-04              |  8.775e-08 5.120e-05 | 3.26e-06 |      0 (max rho 0.0010)
  21 |  41.09% | 47.648793      47.648827    6.14e-07 | 2.15e-04              |  8.575e-08 5.410e-05 | 3.29e-06 |      0 (max rho 0.0010)
  22 |  40.96% | 47.257619      47.257648    6.08e-07 | 2.15e-04              |  8.498e-08 6.084e-05 | 3.29e-06 |      0 (max rho 0.0010)
  23 |  40.92% | 46.937934      46.93795     6.01e-07 | 2.21e-04              |  8.213e-08 6.741e-05 | 3.30e-06 |      0 (max rho 0.0010)
  24 |  40.87% | 46.669972      46.669973    5.99e-07 | 2.26e-04              |  8.295e-08 7.246e-05 | 3.34e-06 |      0 (max rho 0.0010)
  25 |  40.84% | 46.438018      46.438037    5.98e-07 | 2.33e-04              |  7.943e-08 7.948e-05 | 3.39e-06 |      0 (max rho 0.0010)
