rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785045051080,103201.7784,0.008780,0,51,1,0,1,51,0,0,1.000000
0,2,1785045051379,2974.014232,0.008311,0,53,1,0,1,53,0,0,0.580160
0,3,1785045051649,1028.07015,0.007732,0,52,1,0,1,52,0,0,0.518636
0,4,1785045051921,424.886163,0.008800,0,56,1,0,1,56,0,0,0.495443
0,5,1785045052206,70.92493745,0.010758,0,55,1,0,1,55,0,0,0.518148
0,6,1785045052462,25.65095902,0.012010,0,46,1,0,1,46,0,0,0.500570
0,7,1785045052689,16.09826855,0.012338,0,43,1,0,1,43,0,0,0.487630
0,8,1785045052920,12.29143181,0.012447,0,45,1,0,1,45,0,0,0.477702
0,9,1785045053149,10.23727861,0.012475,0,42,1,0,1,42,0,0,0.463623
0,10,1785045053371,8.80463752,0.012498,0,44,1,0,1,44,0,0,0.458415
0,11,1785045053571,7.675788418,0.012524,0,38,1,0,1,38,0,0,0.447021
0,12,1785045053755,6.79891813,0.012547,0,38,1,0,1,38,0,0,0.430990
0,13,1785045053948,6.144697847,0.012573,0,40,1,0,1,40,0,0,0.417074
0,14,1785045054132,5.658607566,0.012599,0,40,1,0,1,40,0,0,0.395833
0,15,1785045054307,5.312490669,0.012621,0,40,1,0,1,40,0,0,0.388997
0,16,1785045054489,5.082733207,0.012642,0,40,1,0,1,40,0,0,0.385173
0,17,1785045054676,4.938500385,0.012655,0,40,1,0,1,40,0,0,0.378011
0,18,1785045054891,4.844306494,0.012663,0,42,1,0,1,42,0,0,0.372477
0,19,1785045055141,4.783089423,0.012668,0,40,1,0,1,40,0,0,0.368896
0,20,1785045055317,4.74037557,0.012672,0,40,1,0,1,40,0,0,0.368815
0,21,1785045055499,4.710230874,0.012674,0,42,1,0,1,42,0,0,0.367920
0,22,1785045055673,4.689731585,0.012675,0,40,1,0,1,40,0,0,0.366130
0,23,1785045055848,4.673408607,0.012677,0,40,1,0,1,40,0,0,0.365072
0,24,1785045056022,4.660999315,0.012678,0,40,1,0,1,40,0,0,0.363118
0,25,1785045056197,4.65241745,0.012680,0,43,1,0,1,43,0,0,0.357829
0,26,1785045056369,4.647744633,0.012680,0,40,1,0,1,40,0,0,0.357340
0,27,1785045056538,4.645678558,0.012680,0,40,1,0,1,40,0,0,0.357503
0,28,1785045056704,4.643946799,0.012681,0,40,1,0,1,40,0,0,0.357503
0,29,1785045056875,4.642578957,0.012681,0,40,1,0,1,40,0,0,0.357503
0,30,1785045057055,4.64145151,0.012681,0,40,1,0,1,40,0,0,0.355632
0,31,1785045057233,4.640628266,0.012681,0,40,1,0,1,40,0,0,0.355632
0,32,1785045057404,4.640203532,0.012681,0,40,1,0,1,40,0,0,0.355550
0,33,1785045057573,4.639878384,0.012681,0,40,1,0,1,40,0,0,0.355550
0,34,1785045057741,4.639592117,0.012681,0,40,1,0,1,40,0,0,0.355957
0,35,1785045057904,4.639376744,0.012681,0,40,1,0,1,40,0,0,0.355957
0,36,1785045058073,4.639241926,0.012681,0,40,1,0,1,40,0,0,0.355957
0,37,1785045058238,4.639135281,0.012681,0,40,1,0,1,40,0,0,0.355957
0,38,1785045058410,4.639054884,0.012681,0,40,1,0,1,40,0,0,0.355957
0,39,1785045058581,4.639002311,0.012681,1,40,1,0,1,40,0,0,0.355957
1,1,1785045059817,267045.6434,0.006438,0,50,1,0,1,50,0,0,1.000000
1,2,1785045060677,290727.5328,0.005824,0,83,1,0,1,83,0,0,0.493245
1,3,1785045062436,1110239.186,0.005102,0,100,1,0,1,100,0,0,1.000000
1,4,1785045063277,369850.2488,0.004949,0,56,1,0,1,56,0,0,1.000000
1,5,1785045064353,3390678.006,0.004243,0,84,1,0,1,84,0,0,1.000000
1,6,1785045064985,58860.58957,0.004591,0,51,1,0,1,51,0,0,1.000000
1,7,1785045065576,10693.09489,0.004505,0,36,1,0,1,36,0,0,1.000000
1,8,1785045066005,688.7394636,0.006784,0,40,1,0,1,40,0,0,1.000000
1,9,1785045066388,220.1446373,0.008125,0,34,1,0,1,34,0,0,1.000000
1,10,1785045066800,108.0416834,0.008734,0,37,1,0,1,37,0,0,1.000000
1,11,1785045067173,69.00724651,0.008951,0,36,1,0,1,36,0,0,1.000000
1,12,1785045067554,51.3581014,0.009026,0,35,1,0,1,35,0,0,1.000000
1,13,1785045067908,41.00970496,0.009051,0,33,1,0,1,33,0,0,1.000000
1,14,1785045068275,33.72416603,0.009070,0,33,1,0,1,33,0,0,1.000000
1,15,1785045068641,28.19395123,0.009086,0,33,1,0,1,33,0,0,1.000000
1,16,1785045069017,23.88642243,0.009099,0,33,1,0,1,33,0,0,1.000000
1,17,1785045069391,20.48122793,0.009111,0,33,1,0,1,33,0,0,1.000000
1,18,1785045069796,17.74860846,0.009122,0,33,1,0,1,33,0,0,1.000000
1,19,1785045070270,15.5537763,0.009133,0,34,1,0,1,34,0,0,1.000000
1,20,1785045070841,13.75903249,0.009150,0,33,1,0,1,33,0,0,1.000000
1,21,1785045071217,12.3481368,0.009168,0,34,1,0,1,34,0,0,1.000000
1,22,1785045071586,11.33911088,0.009179,0,35,1,0,1,35,0,0,1.000000
1,23,1785045071963,10.56922076,0.009188,0,35,1,0,1,35,0,0,1.000000
1,24,1785045072331,9.983189869,0.009202,0,36,1,0,1,36,0,0,1.000000
1,25,1785045072714,9.571700764,0.009212,0,36,1,0,1,36,0,0,1.000000
1,26,1785045073084,9.29757779,0.009225,0,34,1,0,1,34,0,0,1.000000
1,27,1785045073450,9.152772446,0.009229,0,34,1,0,1,34,0,0,1.000000
1,28,1785045073816,9.075613015,0.009230,0,34,1,0,1,34,0,0,1.000000
1,29,1785045074166,9.017392647,0.009232,0,34,1,0,1,34,0,0,1.000000
1,30,1785045074520,8.973982316,0.009233,0,34,1,0,1,34,0,0,1.000000
1,31,1785045074877,8.93837252,0.009233,0,34,1,0,1,34,0,0,1.000000
1,32,1785045075235,8.906609632,0.009234,0,34,1,0,1,34,0,0,1.000000
1,33,1785045075604,8.878677532,0.009234,0,33,1,0,1,33,0,0,1.000000
1,34,1785045076267,8.857731782,0.009234,0,33,1,0,1,33,0,0,1.000000
1,35,1785045076625,8.838382172,0.009235,0,34,1,0,1,34,0,0,1.000000
1,36,1785045076979,8.81945704,0.009235,0,34,1,0,1,34,0,0,1.000000
1,37,1785045077331,8.80231442,0.009235,0,34,1,0,1,34,0,0,1.000000
1,38,1785045077688,8.787572213,0.009236,0,34,1,0,1,34,0,0,1.000000
1,39,1785045078030,8.776135336,0.009236,0,34,1,0,1,34,0,0,1.000000
1,40,1785045078373,8.769324065,0.009236,0,33,1,0,1,33,0,0,1.000000
1,41,1785045078721,8.763516715,0.009236,0,34,1,0,1,34,0,0,1.000000
1,42,1785045079075,8.756806493,0.009236,0,34,1,0,1,34,0,0,1.000000
1,43,1785045079430,8.749728113,0.009236,0,33,1,0,1,33,0,0,1.000000
1,44,1785045079776,8.743974371,0.009236,0,34,1,0,1,34,0,0,1.000000
1,45,1785045080126,8.738294655,0.009236,0,34,1,0,1,34,0,0,1.000000
1,46,1785045080476,8.73386205,0.009236,0,34,1,0,1,34,0,0,1.000000
