rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785044901166,52.66280462,0.169121,0,73,1,0,1,73,0,0,1.000000
0,2,1785044901214,31.48332616,0.186432,0,66,1,0,1,66,0,0,1.000000
0,3,1785044901253,14.82447418,0.199931,0,59,1,0,1,59,0,0,1.000000
0,4,1785044901291,9.434521153,0.206132,0,58,1,0,1,58,0,0,1.000000
0,5,1785044901328,7.690381314,0.207281,0,52,1,0,1,52,0,0,1.000000
0,6,1785044901362,6.931751078,0.207775,0,51,1,0,1,51,0,0,1.000000
0,7,1785044901399,6.465993361,0.207776,0,52,1,0,1,52,0,0,1.000000
0,8,1785044901434,6.084693059,0.207745,0,52,1,0,1,52,0,0,1.000000
0,9,1785044901469,5.725728923,0.207939,0,52,1,0,1,52,0,0,1.000000
0,10,1785044901505,5.405578385,0.207822,0,52,1,0,1,52,0,0,1.000000
0,11,1785044901538,5.116041148,0.207779,0,49,1,0,1,49,0,0,1.000000
0,12,1785044901574,4.822723474,0.207862,0,51,1,0,1,51,0,0,1.000000
0,13,1785044901608,4.57164642,0.207841,0,50,1,0,1,50,0,0,1.000000
0,14,1785044901642,4.347046404,0.208094,0,50,1,0,1,50,0,0,1.000000
0,15,1785044901676,4.168354925,0.208365,0,50,1,0,1,50,0,0,1.000000
0,16,1785044901710,4.047863358,0.208576,0,49,1,0,1,49,0,0,1.000000
0,17,1785044901744,3.970732772,0.208725,0,49,1,0,1,49,0,0,1.000000
0,18,1785044901778,3.918294776,0.208790,0,50,1,0,1,50,0,0,1.000000
0,19,1785044901813,3.881006819,0.208825,0,51,1,0,1,51,0,0,1.000000
0,20,1785044901849,3.848909367,0.208865,0,51,1,0,1,51,0,0,1.000000
0,21,1785044901884,3.822424052,0.208896,0,51,1,0,1,51,0,0,1.000000
0,22,1785044901919,3.802310659,0.208916,0,51,1,0,1,51,0,0,1.000000
0,23,1785044901955,3.785121227,0.208918,0,52,1,0,1,52,0,0,1.000000
0,24,1785044901990,3.769489076,0.208938,0,52,1,0,1,52,0,0,1.000000
0,25,1785044902026,3.755169723,0.208953,0,51,1,0,1,51,0,0,1.000000
0,26,1785044902061,3.744202308,0.208959,0,52,1,0,1,52,0,0,1.000000
0,27,1785044902097,3.733748447,0.209005,0,52,1,0,1,52,0,0,1.000000
0,28,1785044902133,3.727433063,0.209015,0,52,1,0,1,52,0,0,1.000000
0,29,1785044902169,3.724921365,0.209014,0,52,1,0,1,52,0,0,1.000000
0,30,1785044902204,3.722661574,0.209011,0,51,1,0,1,51,0,0,1.000000
0,31,1785044902239,3.720148337,0.209007,0,52,1,0,1,52,0,0,1.000000
0,32,1785044902276,3.717093429,0.209009,0,53,1,0,1,53,0,0,1.000000
0,33,1785044902313,3.713891873,0.209017,0,53,1,0,1,53,0,0,1.000000
0,34,1785044902349,3.711546075,0.209019,0,53,1,0,1,53,0,0,1.000000
0,35,1785044902384,3.709858339,0.209019,0,53,1,0,1,53,0,0,1.000000
0,36,1785044902420,3.708298395,0.209019,0,53,1,0,1,53,0,0,1.000000
0,37,1785044902456,3.706565583,0.209016,0,53,1,0,1,53,0,0,1.000000
0,38,1785044902492,3.704672892,0.209015,0,53,1,0,1,53,0,0,1.000000
0,39,1785044902528,3.70255365,0.209013,0,53,1,0,1,53,0,0,1.000000
0,40,1785044902565,3.700210318,0.209010,0,53,1,0,1,53,0,0,1.000000
0,41,1785044902600,3.697544174,0.209008,0,53,1,0,1,53,0,0,1.000000
0,42,1785044902637,3.694573204,0.209015,0,53,1,0,1,53,0,0,1.000000
0,43,1785044902675,3.692052032,0.209022,0,53,1,0,1,53,0,0,1.000000
0,44,1785044902711,3.690376328,0.209022,0,53,1,0,1,53,0,0,1.000000
0,45,1785044902748,3.689112105,0.209022,0,53,1,0,1,53,0,0,1.000000
0,46,1785044902784,3.687756385,0.209022,0,53,1,0,1,53,0,0,1.000000
0,47,1785044902821,3.686555218,0.209021,0,53,1,0,1,53,0,0,1.000000
0,48,1785044902866,3.685202246,0.209019,0,53,1,0,1,53,0,0,1.000000
0,49,1785044902907,3.683576033,0.209019,0,53,1,0,1,53,0,0,1.000000
0,50,1785044902949,3.681792929,0.209017,0,53,1,0,1,53,0,0,1.000000
0,51,1785044902989,3.679970262,0.209014,0,53,1,0,1,53,0,0,1.000000
0,52,1785044903040,3.677718642,0.209015,0,53,1,0,1,53,0,0,1.000000
0,53,1785044903117,3.675276898,0.209015,0,53,1,0,1,53,0,0,1.000000
0,54,1785044903201,3.673000662,0.209021,0,53,1,0,1,53,0,0,1.000000
0,55,1785044903240,3.671459547,0.209025,0,53,1,0,1,53,0,0,1.000000
0,56,1785044903276,3.670485566,0.209026,0,53,1,0,1,53,0,0,1.000000
0,57,1785044903311,3.669684607,0.209026,0,53,1,0,1,53,0,0,1.000000
0,58,1785044903348,3.668920507,0.209027,0,53,1,0,1,53,0,0,1.000000
0,59,1785044903386,3.66829149,0.209027,0,53,1,0,1,53,0,0,1.000000
0,60,1785044903422,3.66768193,0.209028,0,53,1,0,1,53,0,0,1.000000
0,61,1785044903458,3.667098152,0.209028,0,53,1,0,1,53,0,0,1.000000
0,62,1785044903493,3.666592287,0.209028,0,53,1,0,1,53,0,0,1.000000
0,63,1785044903534,3.666051089,0.209027,0,53,1,0,1,53,0,0,1.000000
0,64,1785044903571,3.665414004,0.209026,0,53,1,0,1,53,0,0,1.000000
0,65,1785044903606,3.664627903,0.209025,0,53,1,0,1,53,0,0,1.000000
0,66,1785044903641,3.663708237,0.209025,0,53,1,0,1,53,0,0,1.000000
0,67,1785044903676,3.662874369,0.209027,0,53,1,0,1,53,0,0,1.000000
0,68,1785044903714,3.662111253,0.209027,0,53,1,0,1,53,0,0,1.000000
0,69,1785044903753,3.661531787,0.209028,0,53,1,0,1,53,0,0,1.000000
0,70,1785044903792,3.661047089,0.209029,0,53,1,0,1,53,0,0,1.000000
0,71,1785044903830,3.660687921,0.209030,0,53,1,0,1,53,0,0,1.000000
0,72,1785044903868,3.660425967,0.209031,0,53,1,0,1,53,0,0,1.000000
0,73,1785044903904,3.66023783,0.209031,0,53,1,0,1,53,0,0,1.000000
0,74,1785044903940,3.660119989,0.209032,0,53,1,0,1,53,0,0,1.000000
0,75,1785044903975,3.66005842,0.209032,0,53,1,0,1,53,0,0,1.000000
0,76,1785044904010,3.660015454,0.209032,0,53,1,0,1,53,0,0,1.000000
0,77,1785044904045,3.659981113,0.209032,1,53,1,0,1,53,0,0,1.000000
0,78,1785044904119,5.641495723,0.207838,0,56,1,1,1,56,0,0,0.996094
0,79,1785044904157,5.189573149,0.208774,0,58,1,1,1,58,0,0,0.960938
0,80,1785044904193,4.739965494,0.208884,0,58,1,1,1,58,0,0,0.949219
0,81,1785044904231,4.446972402,0.208939,0,56,1,1,1,56,0,0,0.945312
0,82,1785044904268,4.214195228,0.208960,0,55,1,1,1,55,0,0,0.941406
0,83,1785044904305,4.020067881,0.209198,0,54,1,1,1,54,0,0,1.000000
0,84,1785044904345,3.87389224,0.209490,0,54,1,1,1,54,0,0,1.000000
0,85,1785044904383,3.779964063,0.209627,0,54,1,1,1,54,0,0,1.000000
0,86,1785044904421,3.715567903,0.209725,0,54,1,1,1,54,0,0,1.000000
0,87,1785044904457,3.666599532,0.209856,0,54,1,1,1,54,0,0,1.000000
0,88,1785044904493,3.631392155,0.209946,0,55,1,1,1,55,0,0,1.000000
0,89,1785044904528,3.609055004,0.209986,0,54,1,1,1,54,0,0,1.000000
0,90,1785044904564,3.5935693,0.210038,0,54,1,1,1,54,0,0,1.000000
0,91,1785044904600,3.582025875,0.210085,0,54,1,1,1,54,0,0,1.000000
0,92,1785044904635,3.575121212,0.210098,0,55,1,1,1,55,0,0,1.000000
0,93,1785044904671,3.570848685,0.210105,0,55,1,1,1,55,0,0,1.000000
0,94,1785044904707,3.567159094,0.210111,0,55,1,1,1,55,0,0,1.000000
0,95,1785044904746,3.564156643,0.210119,0,56,1,1,1,56,0,0,1.000000
0,96,1785044904785,3.561551993,0.210122,0,55,1,1,1,55,0,0,1.000000
0,97,1785044904822,3.559191632,0.210123,0,55,1,1,1,55,0,0,1.000000
0,98,1785044904861,3.55674343,0.210133,0,55,1,1,1,55,0,0,1.000000
0,99,1785044904896,3.555303246,0.210130,0,55,1,1,1,55,0,0,1.000000
0,100,1785044904932,3.554446589,0.210130,0,55,1,1,1,55,0,0,1.000000
0,101,1785044904967,3.553659736,0.210134,0,54,1,1,1,54,0,0,1.000000
0,102,1785044905002,3.553144958,0.210134,0,54,1,1,1,54,0,0,1.000000
0,103,1785044905038,3.552722952,0.210135,0,55,1,1,1,55,0,0,1.000000
0,104,1785044905074,3.552274455,0.210136,0,55,1,1,1,55,0,0,1.000000
0,105,1785044905110,3.551779911,0.210139,0,54,1,1,1,54,0,0,1.000000
0,106,1785044905145,3.551306953,0.210142,0,54,1,1,1,54,0,0,1.000000
0,107,1785044905181,3.550895179,0.210145,0,54,1,1,1,54,0,0,1.000000
0,108,1785044905218,3.550482142,0.210150,0,54,1,1,1,54,0,0,1.000000
0,109,1785044905255,3.550058996,0.210156,0,54,1,1,1,54,0,0,1.000000
0,110,1785044905293,3.549619671,0.210163,0,54,1,1,1,54,0,0,1.000000
0,111,1785044905333,3.549171437,0.210171,0,54,1,1,1,54,0,0,1.000000
0,112,1785044905370,3.548786232,0.210178,0,54,1,1,1,54,0,0,1.000000
0,113,1785044905409,3.548508104,0.210184,0,54,1,1,1,54,0,0,1.000000
0,114,1785044905445,3.548266512,0.210189,0,54,1,1,1,54,0,0,1.000000
0,115,1785044905482,3.548048887,0.210193,0,54,1,1,1,54,0,0,1.000000
0,116,1785044905517,3.547833425,0.210197,1,54,1,1,1,54,0,0,1.000000
0,117,1785044905553,3.365229623,0.212687,0,55,1,2,1,55,0,0,1.000000
0,118,1785044905588,3.303126636,0.212853,0,55,1,2,1,55,0,0,1.000000
0,119,1785044905624,3.297492927,0.212864,0,55,1,2,1,55,0,0,1.000000
0,120,1785044905659,3.296204349,0.212866,0,54,1,2,1,54,0,0,1.000000
0,121,1785044905694,3.295184689,0.212870,0,54,1,2,1,54,0,0,1.000000
0,122,1785044905731,3.294431221,0.212877,0,55,1,2,1,55,0,0,1.000000
0,123,1785044905785,3.293879914,0.212885,0,55,1,2,1,55,0,0,1.000000
0,124,1785044905825,3.293421945,0.212894,0,55,1,2,1,55,0,0,1.000000
0,125,1785044905862,3.292962404,0.212903,0,55,1,2,1,55,0,0,1.000000
0,126,1785044905901,3.292491435,0.212914,0,55,1,2,1,55,0,0,1.000000
0,127,1785044905941,3.291977329,0.212929,0,57,1,2,1,57,0,0,1.000000
0,128,1785044905984,3.291426151,0.212946,0,61,1,2,1,61,0,0,1.000000
0,129,1785044906023,3.290821263,0.212965,0,55,1,2,1,55,0,0,1.000000
0,130,1785044906063,3.290154657,0.212986,0,55,1,2,1,55,0,0,1.000000
0,131,1785044906103,3.289421576,0.213009,0,55,1,2,1,55,0,0,1.000000
0,132,1785044906140,3.288615227,0.213036,0,55,1,2,1,55,0,0,1.000000
0,133,1785044906175,3.287747612,0.213066,0,54,1,2,1,54,0,0,1.000000
0,134,1785044906210,3.286880578,0.213097,0,54,1,2,1,54,0,0,1.000000
0,135,1785044906246,3.286023106,0.213131,0,54,1,2,1,54,0,0,1.000000
0,136,1785044906281,3.285122262,0.213167,0,54,1,2,1,54,0,0,1.000000
0,137,1785044906319,3.284146177,0.213202,0,54,1,2,1,54,0,0,1.000000
0,138,1785044906357,3.283261058,0.213235,0,54,1,2,1,54,0,0,1.000000
0,139,1785044906396,3.282487356,0.213271,0,54,1,2,1,54,0,0,1.000000
0,140,1785044906432,3.281696092,0.213309,0,54,1,2,1,54,0,0,1.000000
0,141,1785044906468,3.280914309,0.213348,0,54,1,2,1,54,0,0,1.000000
0,142,1785044906504,3.280153908,0.213387,0,54,1,2,1,54,0,0,1.000000
0,143,1785044906539,3.27941922,0.213418,0,54,1,2,1,54,0,0,1.000000
