tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
adapt,0,1,20.824347,0.1998,0,0.2,-1,0
adapt,0,2,15.056408,0.1998,0,0.2,-1,0
adapt,0,3,11.06568,0.1998,0,0.2,0.20216,0
adapt,0,4,9.5689744,0.1998,0,0.2,0.222174,0
adapt,0,5,8.9703373,0.189995,0,0.24,0.125429,0
adapt,0,6,8.7776033,0.1998,0,0.288,0.115232,0
adapt,0,7,8.6778833,0.17356,0,0.3456,0.0799136,0
adapt,0,8,8.6089494,0.165213,0,0.41472,0.077812,0
adapt,0,9,8.5757406,0.167881,0,0.41472,0.168901,0
adapt,0,10,8.5478819,0.147759,0,0.497664,0.0718284,0
adapt,0,11,8.5101258,0.164673,0,0.5,0.0375361,0
adapt,0,12,8.4540492,0.1998,0,0.5,0.0467197,0
adapt,0,13,8.3777868,0.1998,0,0.5,0.0487288,0
adapt,0,14,8.2972637,0.1998,0,0.5,0.0490196,0
adapt,0,15,8.2275761,0.1998,0,0.5,0.0591806,0
adapt,0,16,8.1758488,0.1998,0,0.5,0.0921569,0
adapt,0,17,8.1405533,0.1998,0,0.5,0.0552764,0
adapt,0,18,8.1182646,0.1998,0,0.5,0.0652174,0
adapt,0,19,8.1028499,0.1998,0,0.5,0.0481481,0
adapt,0,20,8.0892845,0.1998,0,0.5,0.0454545,0
adapt,0,21,8.076497,0.1998,0,0.5,0.0394089,0
adapt,0,22,8.0653472,0.1998,0,0.5,0.0174419,0
adapt,0,23,8.0566542,0.1998,0,0.5,0.0422535,0
adapt,0,24,8.0502772,0.1998,0,0.5,0.0410959,0
adapt,0,25,8.046328,0.1998,0,0.5,0.120567,0
adapt,0,26,8.0430889,0.1998,0,0.5,0.12,0
adapt,0,27,8.0396798,0.1998,0,0.5,0.0833333,0
adapt,0,28,8.035767,0.1998,0,0.5,0.11215,0
adapt,0,29,8.0314914,0.1998,0,0.5,0.0808081,0
adapt,0,30,8.0267761,0.1998,0,0.5,0.0697674,0
adapt,0,31,8.0223365,0.1998,0,0.5,0.04,0
adapt,0,32,8.0187157,0.1998,0,0.5,0.0724638,0
adapt,0,33,8.0156013,0.1998,0,0.5,0.0298507,0
adapt,0,34,8.0127558,0.1998,0,0.5,0.0793651,0
adapt,0,35,8.0093991,0.1998,0,0.5,0.0677966,0
adapt,0,36,8.004959,0.1998,0,0.5,0.103448,0
adapt,0,37,7.9999805,0.1998,0,0.5,0.0350877,0
adapt,0,38,7.9945175,0.1998,0,0.5,0.0508475,0
adapt,0,39,7.989872,0.1998,0,0.5,0.1,0
adapt,0,40,7.9865786,0.1998,0,0.5,0.0816327,0
adapt,0,41,7.9838732,0.1998,0,0.5,0.0227273,0
adapt,0,42,7.9817972,0.1998,0,0.5,0.0731707,0
adapt,0,43,7.9804884,0.1998,0,0.5,0.0789474,0
adapt,0,44,7.9793996,0.1998,0,0.5,0.108108,0
adapt,0,45,7.9784245,0.1998,0,0.5,0.0294118,0
adapt,0,46,7.9774883,0.1998,0,0.5,0.166667,0
adapt,0,47,7.9764725,0.1998,0,0.5,0.0357143,0
adapt,0,48,7.9752623,0.1998,0,0.5,0.0322581,0
adapt,0,49,7.974035,0.1998,0,0.5,0.0909091,0
adapt,0,50,7.9727857,0.1998,0,0.5,0,0
adapt,0,51,7.9713962,0.1998,0,0.5,0.166667,0
adapt,0,52,7.9698975,0.1998,0,0.5,0.0714286,0
adapt,0,53,7.9688647,0.1998,0,0.5,0.142857,0
adapt,0,54,7.9681529,0.1998,0,0.5,0.0833333,0
adapt,0,55,7.9674539,0.1998,0,0.5,0,0
adapt,0,56,7.9670083,0.1998,0,0.5,0.173913,0
adapt,0,57,7.9665608,0.161013,0,0.5,0.047619,0
adapt,0,58,7.9661642,0.197973,0,0.5,0.0952381,0
adapt,0,59,7.9658252,0.1998,0,0.5,0,0
adapt,0,60,7.9654221,0.1998,0,0.5,0.047619,1
adapt,0,61,8.8041405,0.1998,1,0.2,-1,0
adapt,0,62,8.3490954,0.132955,1,0.2,-1,0
adapt,0,63,8.1186385,0.132979,1,0.24,0.137815,0
adapt,0,64,8.0303438,0.150925,1,0.288,0.0811486,0
adapt,0,65,7.9815536,0.134312,1,0.3456,0.0151286,0
adapt,0,66,7.9579874,0.15738,1,0.41472,0.0290828,0
adapt,0,67,7.9443972,0.12489,1,0.497664,0.0392749,0
adapt,0,68,7.936161,0.113738,1,0.5,0.0118577,0
adapt,0,69,7.9315844,0.111497,1,0.5,0.0295567,0
adapt,0,70,7.9283057,0.106164,1,0.5,0.0170455,0
adapt,0,71,7.9256962,0.118082,1,0.5,0.0196078,0
adapt,0,72,7.9240303,0.119769,1,0.5,0.0390625,0
adapt,0,73,7.9228405,0.105083,1,0.5,0.027027,0
adapt,0,74,7.9217288,0.105632,1,0.5,0.0384615,0
adapt,0,75,7.9206834,0.0855882,1,0.5,0.0217391,0
adapt,0,76,7.9196729,0.103726,1,0.5,0.011236,0
