tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
fixed,0,1,20.824347,0.1998,0,0.2,-1,0
fixed,0,2,15.056408,0.1998,0,0.2,-1,0
fixed,0,3,11.06568,0.1998,0,0.2,-1,0
fixed,0,4,9.5689744,0.1998,0,0.2,-1,0
fixed,0,5,8.9703373,0.189995,0,0.2,-1,0
fixed,0,6,8.7776033,0.1998,0,0.2,-1,0
fixed,0,7,8.6778833,0.17356,0,0.2,-1,0
fixed,0,8,8.6089494,0.165213,0,0.2,-1,0
fixed,0,9,8.5757406,0.167881,0,0.2,-1,0
fixed,0,10,8.5478819,0.147759,0,0.2,-1,0
fixed,0,11,8.5101258,0.164673,0,0.2,-1,0
fixed,0,12,8.4540492,0.1998,0,0.2,-1,0
fixed,0,13,8.3777868,0.1998,0,0.2,-1,0
fixed,0,14,8.2972637,0.1998,0,0.2,-1,0
fixed,0,15,8.2275761,0.1998,0,0.2,-1,0
fixed,0,16,8.1758488,0.1998,0,0.2,-1,0
fixed,0,17,8.1405533,0.1998,0,0.2,-1,0
fixed,0,18,8.1182646,0.1998,0,0.2,-1,0
fixed,0,19,8.1028499,0.1998,0,0.2,-1,0
fixed,0,20,8.0892845,0.1998,0,0.2,-1,0
fixed,0,21,8.076497,0.1998,0,0.2,-1,0
fixed,0,22,8.0653472,0.1998,0,0.2,-1,0
fixed,0,23,8.0566542,0.1998,0,0.2,-1,0
fixed,0,24,8.0502772,0.1998,0,0.2,-1,0
fixed,0,25,8.046328,0.1998,0,0.2,-1,0
fixed,0,26,8.0430889,0.1998,0,0.2,-1,0
fixed,0,27,8.0396798,0.1998,0,0.2,-1,0
fixed,0,28,8.035767,0.1998,0,0.2,-1,0
fixed,0,29,8.0314914,0.1998,0,0.2,-1,0
fixed,0,30,8.0267761,0.1998,0,0.2,-1,0
fixed,0,31,8.0223365,0.1998,0,0.2,-1,0
fixed,0,32,8.0187157,0.1998,0,0.2,-1,0
fixed,0,33,8.0156013,0.1998,0,0.2,-1,0
fixed,0,34,8.0127558,0.1998,0,0.2,-1,0
fixed,0,35,8.0093991,0.1998,0,0.2,-1,0
fixed,0,36,8.004959,0.1998,0,0.2,-1,0
fixed,0,37,7.9999805,0.1998,0,0.2,-1,0
fixed,0,38,7.9945175,0.1998,0,0.2,-1,0
fixed,0,39,7.989872,0.1998,0,0.2,-1,0
fixed,0,40,7.9865786,0.1998,0,0.2,-1,0
fixed,0,41,7.9838732,0.1998,0,0.2,-1,0
fixed,0,42,7.9817972,0.1998,0,0.2,-1,0
fixed,0,43,7.9804884,0.1998,0,0.2,-1,0
fixed,0,44,7.9793996,0.1998,0,0.2,-1,0
fixed,0,45,7.9784245,0.1998,0,0.2,-1,0
fixed,0,46,7.9774883,0.1998,0,0.2,-1,0
fixed,0,47,7.9764725,0.1998,0,0.2,-1,0
fixed,0,48,7.9752623,0.1998,0,0.2,-1,0
fixed,0,49,7.974035,0.1998,0,0.2,-1,0
fixed,0,50,7.9727857,0.1998,0,0.2,-1,0
fixed,0,51,7.9713962,0.1998,0,0.2,-1,0
fixed,0,52,7.9698975,0.1998,0,0.2,-1,0
fixed,0,53,7.9688647,0.1998,0,0.2,-1,0
fixed,0,54,7.9681529,0.1998,0,0.2,-1,0
fixed,0,55,7.9674539,0.1998,0,0.2,-1,0
fixed,0,56,7.9670083,0.1998,0,0.2,-1,0
fixed,0,57,7.9665608,0.161013,0,0.2,-1,0
fixed,0,58,7.9661642,0.197973,0,0.2,-1,0
fixed,0,59,7.9658252,0.1998,0,0.2,-1,0
fixed,0,60,7.9654221,0.1998,0,0.2,-1,1
fixed,0,61,8.8041405,0.1998,1,0.2,-1,0
fixed,0,62,8.3490954,0.132955,1,0.2,-1,0
fixed,0,63,8.1186385,0.132979,1,0.2,-1,0
fixed,0,64,8.0303438,0.150925,1,0.2,-1,0
fixed,0,65,7.9815536,0.134312,1,0.2,-1,0
fixed,0,66,7.9579874,0.15738,1,0.2,-1,0
fixed,0,67,7.9443972,0.12489,1,0.2,-1,0
fixed,0,68,7.936161,0.113738,1,0.2,-1,0
fixed,0,69,7.9315844,0.111497,1,0.2,-1,0
fixed,0,70,7.9283057,0.106164,1,0.2,-1,0
fixed,0,71,7.9256962,0.118082,1,0.2,-1,0
fixed,0,72,7.9240303,0.119769,1,0.2,-1,0
fixed,0,73,7.9228405,0.105083,1,0.2,-1,0
fixed,0,74,7.9217288,0.105632,1,0.2,-1,0
fixed,0,75,7.9206834,0.0855882,1,0.2,-1,0
fixed,0,76,7.9196729,0.103726,1,0.2,-1,0
fixed,0,77,7.9185443,0.12142,1,0.2,-1,0
fixed,0,78,7.9171899,0.153494,1,0.2,-1,0
fixed,0,79,7.9155961,0.1998,1,0.2,-1,0
fixed,0,80,7.9138651,0.1998,1,0.2,-1,0
fixed,0,81,7.9120415,0.1998,1,0.2,-1,0
fixed,0,82,7.9108542,0.192693,1,0.2,-1,0
fixed,0,83,7.910119,0.1998,1,0.2,-1,0
fixed,0,84,7.9094692,0.1998,1,0.2,-1,0
fixed,0,85,7.9090408,0.170821,1,0.2,-1,0
fixed,0,86,7.9087924,0.119935,1,0.2,-1,0
fixed,0,87,7.9086632,0.127647,1,0.2,-1,0
fixed,0,88,7.908573,0.152655,1,0.2,-1,0
fixed,0,89,7.9084707,0.17725,1,0.2,-1,1
fixed,0,90,7.7907071,0.0582926,2,0.2,-1,0
fixed,0,91,7.8009872,0.0318245,2,0.2,-1,0
fixed,0,92,7.7998477,0.030841,2,0.2,-1,0
fixed,0,93,7.7995744,0.0322161,2,0.2,-1,0
fixed,0,94,7.7994105,0.0354768,2,0.2,-1,0
fixed,0,95,7.7992871,0.0386067,2,0.2,-1,0
fixed,0,96,7.7991852,0.0434018,2,0.2,-1,0
fixed,0,97,7.7990934,0.0494823,2,0.2,-1,0
fixed,0,98,7.7990013,0.0566298,2,0.2,-1,0
fixed,0,99,7.7989085,0.0650138,2,0.2,-1,0
fixed,0,100,7.7988137,0.0770731,2,0.2,-1,1
fixed,0,101,7.5600686,0.0979492,4,0.2,-1,0
fixed,0,102,7.5725789,0.0507194,4,0.2,-1,0
fixed,0,103,7.5702248,0.0565468,4,0.2,-1,0
fixed,0,104,7.5695803,0.0665349,4,0.2,-1,0
fixed,0,105,7.569098,0.079362,4,0.2,-1,0
fixed,0,106,7.568674,0.0875307,4,0.2,-1,0
fixed,0,107,7.5682581,0.084363,4,0.2,-1,0
fixed,0,108,7.5679111,0.117808,4,0.2,-1,0
fixed,0,109,7.5675515,0.161258,4,0.2,-1,0
fixed,0,110,7.5671566,0.0929688,4,0.2,-1,0
fixed,0,111,7.5668966,0.134692,4,0.2,-1,1
fixed,0,112,7.3996455,0.132086,8,0.2,-1,0
fixed,0,113,7.3961352,0.0991978,8,0.2,-1,0
fixed,0,114,7.3952647,0.0952921,8,0.2,-1,0
fixed,0,115,7.394762,0.121909,8,0.2,-1,0
fixed,0,116,7.394192,0.186527,8,0.2,-1,0
fixed,0,117,7.3936291,0.1998,8,0.2,-1,0
fixed,0,118,7.3931993,0.178381,8,0.2,-1,0
fixed,0,119,7.3929918,0.1998,8,0.2,-1,0
fixed,0,120,7.3928658,0.1998,8,0.2,-1,0
fixed,0,121,7.392418,0.1998,8,0.2,-1,0
fixed,0,122,7.3920404,0.1998,8,0.2,-1,0
fixed,0,123,7.3917376,0.107359,8,0.2,-1,1
fixed,0,124,7.3671667,0.0999,16,0.1,-1,0
fixed,0,125,7.3660085,0.0999,16,0.1,-1,0
fixed,0,126,7.3628655,0.0999,16,0.1,-1,0
fixed,0,127,7.360003,0.0999,16,0.1,-1,0
