tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
adapt,0,1,30.511596,0.1998,0,0.2,-1,0
adapt,0,2,23.034417,0.1998,0,0.2,-1,0
adapt,0,3,17.536449,0.1998,0,0.2,0.184375,0
adapt,0,4,15.255955,0.1998,0,0.2,0.162374,0
adapt,0,5,13.998531,0.181497,0,0.24,0.091954,0
adapt,0,6,13.454658,0.125583,0,0.288,0.106858,0
adapt,0,7,13.303623,0.15807,0,0.288,0.263672,0
adapt,0,8,13.229965,0.190595,0,0.3456,0.124153,0
adapt,0,9,13.165766,0.137104,0,0.41472,0.0469136,0
adapt,0,10,13.098525,0.132473,0,0.497664,0.0520833,0
adapt,0,11,13.008445,0.1998,0,0.5,0.0628415,0
adapt,0,12,12.870211,0.1998,0,0.5,0.0959302,0
adapt,0,13,12.71949,0.1998,0,0.5,0.0798722,0
adapt,0,14,12.613428,0.1998,0,0.5,0.0813953,0
adapt,0,15,12.528477,0.1998,0,0.5,0.0837004,0
adapt,0,16,12.450391,0.1998,0,0.5,0.0287081,0
adapt,0,17,12.375024,0.1998,0,0.5,0,0
adapt,0,18,12.302792,0.188232,0,0.5,0.0509554,0
adapt,0,19,12.253577,0.162219,0,0.5,0.0296296,0
adapt,0,20,12.235137,0.1998,0,0.5,0.10989,0
adapt,0,21,12.226356,0.1998,0,0.5,0.046875,0
adapt,0,22,12.218966,0.154475,0,0.5,0.0350877,0
adapt,0,23,12.212972,0.139369,0,0.5,0.0566038,0
adapt,0,24,12.209046,0.0884383,0,0.5,0.0612245,0
adapt,0,25,12.207217,0.115389,0,0.5,0.075,0
adapt,0,26,12.206347,0.143258,0,0.5,0.1875,0
adapt,0,27,12.205668,0.130947,0,0.5,0.2,0
adapt,0,28,12.204929,0.180982,0,0.5,0.0666667,0
adapt,0,29,12.20427,0.187145,0,0.5,0,0
adapt,0,30,12.203408,0.0943463,0,0.5,0.0322581,0
adapt,0,31,12.202987,0.110795,0,0.5,0,0
adapt,0,32,12.202747,0.11001,0,0.5,0.115385,0
adapt,0,33,12.202512,0.0950157,0,0.5,0,1
