tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
fixed,0,1,30.511596,0.1998,0,0.2,-1,0
fixed,0,2,23.034417,0.1998,0,0.2,-1,0
fixed,0,3,17.536449,0.1998,0,0.2,-1,0
fixed,0,4,15.255955,0.1998,0,0.2,-1,0
fixed,0,5,13.998531,0.181497,0,0.2,-1,0
fixed,0,6,13.454658,0.125583,0,0.2,-1,0
fixed,0,7,13.303623,0.15807,0,0.2,-1,0
fixed,0,8,13.229965,0.190595,0,0.2,-1,0
fixed,0,9,13.165766,0.137104,0,0.2,-1,0
fixed,0,10,13.098525,0.132473,0,0.2,-1,0
fixed,0,11,13.008445,0.1998,0,0.2,-1,0
fixed,0,12,12.870211,0.1998,0,0.2,-1,0
fixed,0,13,12.71949,0.1998,0,0.2,-1,0
fixed,0,14,12.613428,0.1998,0,0.2,-1,0
fixed,0,15,12.528477,0.1998,0,0.2,-1,0
fixed,0,16,12.450391,0.1998,0,0.2,-1,0
fixed,0,17,12.375024,0.1998,0,0.2,-1,0
fixed,0,18,12.302792,0.188232,0,0.2,-1,0
fixed,0,19,12.253577,0.162219,0,0.2,-1,0
fixed,0,20,12.235137,0.1998,0,0.2,-1,0
fixed,0,21,12.226356,0.1998,0,0.2,-1,0
fixed,0,22,12.218966,0.154475,0,0.2,-1,0
fixed,0,23,12.212972,0.139369,0,0.2,-1,0
fixed,0,24,12.209046,0.0884383,0,0.2,-1,0
fixed,0,25,12.207217,0.115389,0,0.2,-1,0
fixed,0,26,12.206347,0.143258,0,0.2,-1,0
fixed,0,27,12.205668,0.130947,0,0.2,-1,0
fixed,0,28,12.204929,0.180982,0,0.2,-1,0
fixed,0,29,12.20427,0.187145,0,0.2,-1,0
fixed,0,30,12.203408,0.0943463,0,0.2,-1,0
fixed,0,31,12.202987,0.110795,0,0.2,-1,0
fixed,0,32,12.202747,0.11001,0,0.2,-1,0
fixed,0,33,12.202512,0.0950157,0,0.2,-1,1
fixed,0,34,14.578415,0.191211,1,0.2,-1,0
fixed,0,35,13.360668,0.131716,1,0.2,-1,0
fixed,0,36,12.593564,0.113066,1,0.2,-1,0
fixed,0,37,12.287519,0.114054,1,0.2,-1,0
fixed,0,38,12.212213,0.104009,1,0.2,-1,0
fixed,0,39,12.179697,0.118493,1,0.2,-1,0
fixed,0,40,12.156738,0.104452,1,0.2,-1,0
fixed,0,41,12.138509,0.111474,1,0.2,-1,0
fixed,0,42,12.124493,0.114754,1,0.2,-1,0
fixed,0,43,12.114922,0.105189,1,0.2,-1,0
fixed,0,44,12.108625,0.0806517,1,0.2,-1,0
fixed,0,45,12.104989,0.0812299,1,0.2,-1,0
