rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785117519689,7.963405433e-05,0.646702,0,75,1,0,1,75,0,0,1.000000
0,2,1785117520156,4.072662592e-05,0.675093,0,70,1,0,1,70,0,0,1.000000
0,3,1785117520702,2.966410725e-05,0.692913,0,66,1,0,1,66,0,0,1.000000
0,4,1785117521095,2.903172522e-05,0.696375,0,64,1,0,1,64,0,0,1.000000
0,5,1785117521500,2.888302046e-05,0.696825,0,67,1,0,1,67,0,0,1.000000
0,6,1785117521922,2.881504929e-05,0.695440,0,68,1,0,1,68,0,0,1.000000
0,7,1785117522317,2.879030719e-05,0.696183,0,67,1,0,1,67,0,0,1.000000
0,8,1785117522719,2.872930912e-05,0.697107,0,68,1,0,1,68,0,0,1.000000
0,9,1785117523113,2.866293797e-05,0.698221,0,67,1,0,1,67,0,0,1.000000
0,10,1785117523525,2.859619256e-05,0.699120,0,69,1,0,1,69,0,0,1.000000
0,11,1785117523990,2.855553599e-05,0.699194,0,70,1,0,1,70,0,0,1.000000
0,12,1785117524403,2.85461145e-05,0.698937,0,70,1,0,1,70,0,0,1.000000
0,13,1785117524836,2.85298255e-05,0.698277,0,70,1,0,1,70,0,0,1.000000
0,14,1785117525337,2.852249448e-05,0.698831,0,70,1,0,1,70,0,0,1.000000
0,15,1785117525926,2.849652455e-05,0.699288,0,70,1,0,1,70,0,0,1.000000
0,16,1785117526348,2.847707536e-05,0.699537,0,70,1,0,1,70,0,0,1.000000
0,17,1785117526759,2.846230057e-05,0.699660,0,71,1,0,1,71,0,0,1.000000
0,18,1785117527183,2.845018964e-05,0.699710,0,71,1,0,1,71,0,0,1.000000
0,19,1785117527602,2.843638036e-05,0.699680,0,71,1,0,1,71,0,0,1.000000
0,20,1785117528020,2.842015108e-05,0.699659,0,72,1,0,1,72,0,0,1.000000
0,21,1785117528423,2.840317846e-05,0.699640,0,73,1,0,1,73,0,0,1.000000
0,22,1785117528851,2.838576053e-05,0.699648,0,73,1,0,1,73,0,0,1.000000
0,23,1785117529282,2.836916362e-05,0.699641,0,75,1,0,1,75,0,0,1.000000
0,24,1785117529735,2.835385872e-05,0.699533,0,77,1,0,1,77,0,0,1.000000
0,25,1785117530203,2.834242637e-05,0.699168,0,77,1,0,1,77,0,0,1.000000
0,26,1785117530830,2.833650794e-05,0.698785,0,80,1,0,1,80,0,0,1.000000
0,27,1785117531533,2.833678954e-05,0.698422,0,80,1,0,1,80,0,0,1.000000
