mode,loose_tol,rung_index,vf,iters,cg_iters,achieved,margin,compliance,accepted,mean_drho_vs_tight,max_drho_vs_tight,margin_delta_pct_vs_tight,C_delta_pct_vs_tight,repeat_max_drho
tight,0,0,0.68,159,15952,0.6800,1.6117,29.1945,1,0.000000,0.000000,0.0000,0.0000,0.00e+00
tight,0,1,0.52,180,14758,0.5200,1.4710,39.4733,0,0.000000,0.000000,0.0000,0.0000,0.00e+00
1e-6,1e-6,0,0.68,159,14901,0.6800,1.6117,29.1945,1,0.000000,0.000004,0.0000,0.0000,0.00e+00
1e-6,1e-6,1,0.52,172,12792,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
1e-5,1e-5,0,0.68,159,13715,0.6800,1.6117,29.1945,1,0.000000,0.000002,0.0000,0.0000,0.00e+00
1e-5,1e-5,1,0.52,162,11088,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
1e-4,1e-4,0,0.68,160,13005,0.6800,1.6115,29.1947,1,0.000055,0.002706,0.0105,0.0007,0.00e+00
1e-4,1e-4,1,0.52,160,10336,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
1e-3,1e-3,0,0.68,160,11615,0.6800,1.6115,29.1947,1,0.000059,0.002953,0.0115,0.0008,0.00e+00
1e-3,1e-3,1,0.52,157,9305,0.5200,1.4710,39.4733,0,0.247306,1.000000,0.0000,0.0000,0.00e+00
