rung,iter,cg_iters,cg_multigrid,hier_built,mg_mode,traj_tol,compliance,change,achieved_vf
0,1,13,1,1,carried,1.000e-03,20.82434689,0.1998,0.645595
0,2,17,1,1,carried,9.886e-04,15.05640728,0.1998,0.656376
0,3,19,1,1,carried,9.886e-04,11.06568134,0.1998,0.666803
0,4,24,1,1,carried,9.886e-04,9.568975629,0.1998,0.673527
0,5,37,1,1,carried,9.886e-04,8.970337893,0.189991,0.677787
0,6,39,1,1,carried,5.620e-04,8.77760376,0.1998,0.678271
0,7,39,1,1,carried,9.886e-04,8.677883302,0.173569,0.678999
0,8,42,1,1,carried,2.184e-04,8.608949502,0.165228,0.679524
0,9,43,1,1,carried,1.351e-04,8.575740444,0.167881,0.679477
0,10,43,1,1,carried,1.574e-04,8.547881523,0.147757,0.679274
0,11,46,1,1,carried,4.942e-05,8.510125257,0.164674,0.678919
0,12,46,1,1,carried,1.309e-04,8.454048569,0.1998,0.678529
0,13,41,1,1,carried,9.886e-04,8.377785933,0.1998,0.678498
0,14,40,1,1,carried,9.886e-04,8.29726338,0.1998,0.678714
0,15,47,1,1,carried,9.886e-04,8.227574941,0.1998,0.678993
0,16,50,1,1,carried,9.886e-04,8.175849153,0.1998,0.679286
0,17,49,1,1,carried,9.886e-04,8.140553576,0.1998,0.679563
0,18,40,1,1,carried,9.886e-04,8.118264774,0.1998,0.679648
0,19,40,1,1,carried,9.886e-04,8.102849532,0.1998,0.679700
0,20,41,1,1,carried,9.886e-04,8.089283614,0.1998,0.679683
0,21,41,1,1,carried,9.886e-04,8.076495689,0.1998,0.679738
0,22,41,1,1,carried,9.886e-04,8.065346347,0.1998,0.679800
0,23,41,1,1,carried,9.886e-04,8.056653688,0.1998,0.679871
0,24,38,1,1,carried,9.886e-04,8.050277077,0.1998,0.679915
0,25,41,1,1,carried,9.886e-04,8.046328392,0.1998,0.679921
0,26,42,1,1,carried,9.886e-04,8.043089283,0.1998,0.679925
0,27,42,1,1,carried,9.886e-04,8.039679921,0.1998,0.679914
0,28,41,1,1,carried,9.886e-04,8.035766205,0.1998,0.679916
0,29,41,1,1,carried,9.886e-04,8.031490582,0.1998,0.679918
0,30,41,1,1,carried,9.886e-04,8.026774813,0.1998,0.679930
0,31,41,1,1,carried,9.886e-04,8.022334938,0.1998,0.679939
0,32,41,1,1,carried,9.886e-04,8.018714619,0.1998,0.679944
0,33,41,1,1,carried,9.886e-04,8.015600645,0.1998,0.679941
0,34,40,1,1,carried,9.886e-04,8.012755132,0.1998,0.679931
0,35,40,1,1,carried,9.886e-04,8.00939798,0.1998,0.679918
0,36,40,1,1,carried,9.886e-04,8.004957345,0.1998,0.679920
0,37,39,1,1,carried,9.886e-04,7.999978047,0.1998,0.679919
0,38,39,1,1,carried,9.886e-04,7.994514181,0.1998,0.679934
0,39,39,1,1,carried,9.886e-04,7.989869962,0.1998,0.679950
0,40,39,1,1,carried,9.886e-04,7.986577142,0.1998,0.679962
0,41,39,1,1,carried,9.886e-04,7.983871933,0.1998,0.679973
0,42,39,1,1,carried,9.886e-04,7.981796265,0.1998,0.679979
0,43,40,1,1,carried,9.886e-04,7.980487708,0.1998,0.679979
0,44,39,1,1,carried,9.886e-04,7.979399065,0.1998,0.679979
0,45,39,1,1,carried,9.886e-04,7.978424047,0.1998,0.679979
0,46,39,1,1,carried,9.886e-04,7.977489052,0.1998,0.679980
0,47,39,1,1,carried,9.886e-04,7.976474136,0.1998,0.679979
0,48,39,1,1,carried,9.886e-04,7.97526573,0.1998,0.679978
0,49,39,1,1,carried,9.886e-04,7.974036577,0.1998,0.679977
0,50,39,1,1,carried,9.886e-04,7.972787957,0.1998,0.679979
0,51,39,1,1,carried,9.886e-04,7.971399665,0.1998,0.679977
0,52,39,1,1,carried,9.886e-04,7.96989959,0.1998,0.679979
0,53,39,1,1,carried,9.886e-04,7.96886517,0.1998,0.679981
0,54,39,1,1,carried,9.886e-04,7.96815323,0.1998,0.679984
0,55,39,1,1,carried,9.886e-04,7.967454154,0.1998,0.679989
0,56,37,1,1,carried,9.886e-04,7.967008349,0.1998,0.679988
0,57,39,1,1,carried,9.886e-04,7.966560849,0.160956,0.679991
0,58,45,1,1,carried,1.057e-04,7.966163946,0.197951,0.679990
0,59,39,1,1,carried,8.887e-04,7.965825067,0.1998,0.679989
0,60,39,1,1,carried,9.886e-04,7.965421982,0.1998,0.679992
0,61,26,1,1,carried,1.000e-03,8.804139357,0.1998,0.670032
0,62,42,1,1,carried,9.886e-04,8.349094865,0.132956,0.675300
0,63,53,1,1,carried,2.108e-05,8.118638113,0.132972,0.677345
0,64,51,1,1,carried,2.110e-05,8.030343576,0.150926,0.678266
0,65,51,1,1,carried,5.931e-05,7.98155352,0.134313,0.678746
0,66,54,1,1,carried,2.279e-05,7.957987386,0.157381,0.679005
0,67,50,1,1,carried,8.601e-05,7.944397214,0.124925,0.679168
0,68,54,1,1,carried,1.328e-05,7.93616092,0.11374,0.679261
