rung,iter,cg_iters,cg_multigrid,hier_built,mg_mode,traj_tol,compliance,change,achieved_vf
0,1,73,1,1,carried,1.000e-03,66308.04233,0.1998,0.013303
0,2,100,1,1,carried,9.886e-04,265430.1501,0.1998,0.012146
0,3,105,1,1,carried,9.886e-04,160075.1395,0.1998,0.010114
0,4,121,1,1,carried,9.886e-04,270013.439,0.1998,0.009661
0,5,86,1,1,carried,9.886e-04,352763.1577,0.1998,0.007488
0,6,116,1,1,carried,9.886e-04,69562.71772,0.1998,0.009177
0,7,50,1,1,carried,9.886e-04,6056.993273,0.1998,0.010561
0,8,43,1,1,carried,9.886e-04,774.6950868,0.118027,0.015140
0,9,41,1,1,carried,8.926e-06,306.0124425,0.0690246,0.017692
0,10,45,1,1,carried,5.316e-07,167.0126749,0.0630696,0.018803
0,11,46,1,1,carried,3.773e-07,114.3898507,0.101234,0.019195
0,12,39,1,1,carried,3.395e-06,90.11717482,0.093531,0.019348
0,13,38,1,1,carried,2.179e-06,75.7957808,0.0532256,0.019422
0,14,45,1,1,carried,2.141e-07,66.07165335,0.0723802,0.019433
0,15,43,1,1,carried,6.449e-07,58.22942281,0.0621838,0.019430
0,16,46,1,1,carried,3.586e-07,51.26741389,0.0682169,0.019454
0,17,49,1,1,carried,5.075e-07,45.37450989,0.0753013,0.019468
0,18,50,1,1,carried,7.630e-07,40.49060439,0.105801,0.019486
0,19,48,1,1,carried,4.416e-06,36.36308164,0.0916333,0.019501
0,20,48,1,1,carried,1.954e-06,32.94106701,0.0916021,0.019533
0,21,47,1,1,carried,1.950e-06,30.12252514,0.0978001,0.019542
0,22,46,1,1,carried,2.786e-06,27.97339715,0.127611,0.019540
0,23,50,1,1,carried,1.550e-05,25.95032158,0.102156,0.019589
0,24,56,1,1,carried,3.580e-06,24.37545233,0.112409,0.019613
0,25,54,1,1,carried,6.460e-06,23.40073189,0.109882,0.019617
0,26,59,1,1,carried,5.585e-06,22.59226821,0.122583,0.019640
0,27,55,1,1,carried,1.160e-05,22.00496153,0.158152,0.019644
0,28,53,1,1,carried,8.991e-05,21.57810602,0.107757,0.019654
0,29,56,1,1,carried,4.942e-06,21.22917255,0.120093,0.019663
0,30,55,1,1,carried,1.005e-05,20.99262122,0.115546,0.019674
0,31,56,1,1,carried,7.738e-06,20.86258854,0.0627091,0.019681
0,32,66,1,1,carried,3.696e-07,20.80977974,0.0669571,0.019682
0,33,65,1,1,carried,4.720e-07,20.79314518,0.0774904,0.019683
0,34,64,1,1,carried,8.655e-07,20.78088048,0.058697,0.019683
0,35,67,1,1,carried,2.934e-07,20.76853772,0.08118,0.019683
0,36,62,1,1,carried,1.070e-06,20.75558359,0.06134,0.019683
0,37,68,1,1,carried,3.416e-07,20.73962973,0.0843264,0.019683
0,38,60,1,1,carried,1.283e-06,20.71432372,0.0815968,0.019683
0,39,62,1,1,carried,1.096e-06,20.68442094,0.0667882,0.019684
0,40,64,1,1,carried,4.674e-07,20.67205355,0.0320393,0.019684
0,41,71,1,1,carried,6.324e-08,20.66500312,0.0257744,0.019685
0,42,72,1,1,carried,4.409e-08,20.66066697,0.0174175,0.019685
0,43,81,1,1,carried,2.725e-08,20.65716468,0.0130063,0.019685
0,44,81,1,1,carried,2.114e-08,20.65388726,0.010841,0.019685
0,45,73,1,1,carried,1.866e-08,20.65050582,0.0117129,0.019685
0,46,73,1,1,carried,1.963e-08,20.64682458,0.0146796,0.019685
0,47,79,1,1,carried,2.328e-08,20.64273571,0.0176013,0.019685
0,48,81,1,1,carried,2.754e-08,20.63818226,0.0204094,0.019684
0,49,73,1,1,carried,3.238e-08,20.63313947,0.0232787,0.019685
0,50,78,1,1,carried,3.819e-08,20.62820606,0.0248337,0.019685
0,51,81,1,1,carried,4.177e-08,20.6250477,0.0220698,0.019685
0,52,83,1,1,carried,3.562e-08,20.62256088,0.0249369,0.019685
0,53,80,1,1,carried,4.202e-08,20.62021986,0.0303267,0.019685
0,54,83,1,1,carried,5.730e-08,20.61789986,0.0368771,0.019685
0,55,71,1,1,carried,8.355e-08,20.61550509,0.0419485,0.019685
0,56,82,1,1,carried,1.119e-07,20.61289449,0.0356201,0.019685
0,57,83,1,1,carried,7.771e-08,20.61036857,0.0230916,0.019685
0,58,84,1,1,carried,3.778e-08,20.61023817,0.0362854,0.019685
0,59,83,1,1,carried,8.075e-08,20.61105886,0.0379016,0.019685
0,60,83,1,1,carried,8.862e-08,20.61110703,0.0210635,0.019685
