rung,iter,cg_iters,cg_multigrid,hier_built,mg_mode,traj_tol,compliance,change,achieved_vf
0,1,89,1,1,carried,1.000e-08,66308.04236,0.1998,0.013303
0,2,149,1,1,carried,1.000e-08,265430.8021,0.1998,0.012146
0,3,140,1,1,carried,1.000e-08,160075.2856,0.1998,0.010114
0,4,183,1,1,carried,1.000e-08,270013.5343,0.1998,0.009661
0,5,113,1,1,carried,1.000e-08,352763.7709,0.1998,0.007488
0,6,177,1,1,carried,1.000e-08,69562.6746,0.1998,0.009177
0,7,70,1,1,carried,1.000e-08,6057.013031,0.1998,0.010561
0,8,66,1,1,carried,1.000e-08,774.6969886,0.118028,0.015140
0,9,53,1,1,carried,1.000e-08,306.0129383,0.0690248,0.017692
0,10,52,1,1,carried,1.000e-08,167.0128628,0.0630696,0.018803
0,11,50,1,1,carried,1.000e-08,114.3899231,0.101234,0.019195
0,12,52,1,1,carried,1.000e-08,90.11720834,0.0935339,0.019348
0,13,51,1,1,carried,1.000e-08,75.79579594,0.0532256,0.019422
0,14,51,1,1,carried,1.000e-08,66.07166057,0.0723801,0.019433
0,15,51,1,1,carried,1.000e-08,58.2294274,0.0621852,0.019430
0,16,51,1,1,carried,1.000e-08,51.26741822,0.0682169,0.019454
0,17,62,1,1,carried,1.000e-08,45.37451199,0.0753013,0.019468
0,18,61,1,1,carried,1.000e-08,40.49060575,0.105801,0.019486
0,19,68,1,1,carried,1.000e-08,36.36308218,0.0916333,0.019501
0,20,63,1,1,carried,1.000e-08,32.94106675,0.091602,0.019533
0,21,66,1,1,carried,1.000e-08,30.12252421,0.0978001,0.019542
0,22,65,1,1,carried,1.000e-08,27.97339692,0.127611,0.019540
0,23,70,1,1,carried,1.000e-08,25.95032055,0.102156,0.019589
0,24,68,1,1,carried,1.000e-08,24.37545318,0.112409,0.019613
0,25,68,1,1,carried,1.000e-08,23.40073396,0.109882,0.019617
0,26,75,1,1,carried,1.000e-08,22.59227065,0.122583,0.019640
0,27,81,1,1,carried,1.000e-08,22.00496409,0.158152,0.019644
0,28,78,1,1,carried,1.000e-08,21.57810824,0.107757,0.019654
0,29,74,1,1,carried,1.000e-08,21.2291732,0.120094,0.019663
0,30,83,1,1,carried,1.000e-08,20.99262227,0.115547,0.019674
0,31,79,1,1,carried,1.000e-08,20.86258942,0.0627111,0.019681
0,32,82,1,1,carried,1.000e-08,20.80978056,0.0669578,0.019682
0,33,83,1,1,carried,1.000e-08,20.79314597,0.0774923,0.019683
