schedule,rung,vf,iters,accepted,fired,beta_final,margin,compliance,mnd_final,mfv_final,class_frac_vs_base,flips_vs_base,solid,solved_nx,solved_ny,solved_nz,wall_s,draft
base,0,0.68,196,1,1,32,15.4481,1.860419,0.00093523,256,0,0,3456,24,8,24,311.9,0
base,1,0.52,215,1,1,32,11.1186,2.5472788,0.00232688,244,0,0,3456,24,8,24,311.9,0
base,2,0.38,168,1,1,32,8.96405,3.7786811,0.000737858,208,0,0,3456,24,8,24,311.9,0
base,3,0.26,317,1,1,32,5.99683,7.2990326,0.0030012,164,0,0,3456,24,8,24,311.9,0
base_ctrl,0,0.68,196,1,1,32,15.4481,1.860419,0.00093523,256,0,0,3456,24,8,24,232.6,0
base_ctrl,1,0.52,215,1,1,32,11.1186,2.5472788,0.00232688,244,0,0,3456,24,8,24,232.6,0
base_ctrl,2,0.38,168,1,1,32,8.96405,3.7786811,0.000737858,208,0,0,3456,24,8,24,232.6,0
base_ctrl,3,0.26,319,1,1,32,4.88915,7.1460241,0.00130128,176,0.0127315,44,3456,24,8,24,232.6,0
cap16,0,0.68,185,1,1,16,15.4478,1.8638232,0.00198955,256,0,0,3456,24,8,24,308.9,0
cap16,1,0.52,204,1,1,16,11.1068,2.5540749,0.00327676,244,0,0,3456,24,8,24,308.9,0
cap16,2,0.38,157,1,1,16,8.93398,3.8103725,0.00358262,210,0.000578704,2,3456,24,8,24,308.9,0
cap16,3,0.26,314,1,1,16,4.81805,7.2165844,0.00412707,178,0.0121528,42,3456,24,8,24,308.9,0
cap8,0,0.68,174,1,1,8,15.3385,1.9300009,0.0188569,258,0.000578704,2,3456,24,8,24,219.7,0
cap8,1,0.54,193,1,1,8,11.0339,2.6753606,0.0193137,252,0.00231481,8,3456,24,8,24,219.7,0
cap8,2,0.39,146,1,1,8,8.70866,4.1178326,0.0197925,216,0.00231481,8,3456,24,8,24,219.7,0
cap8,3,0.27,306,1,1,8,4.34635,8.2570842,0.019646,179,0.0124421,43,3456,24,8,24,219.7,0
jump16,0,0.68,107,1,1,16,12.8108,1.9525206,0.00154792,232,0.0133102,46,3456,24,8,24,153.0,0
jump16,1,0.52,102,1,1,16,10.8645,2.6614633,0.00121778,254,0.0190972,66,3456,24,8,24,153.0,0
jump16,2,0.38,82,1,1,16,5.69995,4.516172,0.000996767,256,0.0162037,56,3456,24,8,24,153.0,0
jump16,3,0.26,188,1,1,16,3.42214,7.922188,0.00180884,174,0.0109954,38,3456,24,8,24,153.0,0
aggr,0,0.68,176,1,1,32,15.4481,1.8604191,0.000935279,256,0,0,3456,24,8,24,159.5,0
aggr,1,0.52,154,1,1,32,11.4222,2.5323391,0.000619385,242,0.00289352,10,3456,24,8,24,159.5,0
aggr,2,0.38,126,1,1,32,9.12025,3.794734,0.000651102,216,0.00810185,28,3456,24,8,24,159.5,0
aggr,3,0.26,150,1,1,32,5.23469,7.491514,0.00280967,177,0.0350116,121,3456,24,8,24,159.5,0
