schedule,rung,vf,iters,accepted,fired,beta_final,margin,compliance,mnd_final,mfv_final,class_frac_vs_base,flips_vs_base,solid,solved_nx,solved_ny,solved_nz,wall_s,draft
base,0,0.68,143,1,1,32,12.4265,8.8111447,0.000320779,174,0,0,4480,32,10,32,77.8,0
base,1,0.52,134,1,1,32,10.9987,10.172054,0.000293565,322,0,0,4480,32,10,32,77.8,0
base,2,0.38,137,1,1,32,9.4304,12.923623,0.000456673,714,0,0,4480,32,10,32,77.8,0
base,3,0.26,193,1,1,32,6.08736,18.119055,0.000788752,1012,0,0,4480,32,10,32,77.8,0
base_ctrl,0,0.68,143,1,1,32,12.4265,8.8111447,0.000320779,174,0,0,4480,32,10,32,100.3,0
base_ctrl,1,0.52,134,1,1,32,10.9987,10.172054,0.000293565,322,0,0,4480,32,10,32,100.3,0
base_ctrl,2,0.38,137,1,1,32,9.4304,12.923623,0.000456681,714,0,0,4480,32,10,32,100.3,0
base_ctrl,3,0.26,193,1,1,32,6.08736,18.119055,0.000788752,1012,0,0,4480,32,10,32,100.3,0
cap16,0,0.68,132,1,1,16,12.4264,8.8127024,0.00129398,174,0,0,4480,32,10,32,84.1,0
cap16,1,0.52,123,1,1,16,10.9971,10.174801,0.00126616,322,0,0,4480,32,10,32,84.1,0
cap16,2,0.38,126,1,1,16,9.42864,12.944576,0.00476378,712,0.000446429,2,4480,32,10,32,84.1,0
cap16,3,0.26,182,1,1,16,6.08212,18.165354,0.0056396,1016,0.000892857,4,4480,32,10,32,84.1,0
cap8,0,0.68,121,1,1,8,12.4149,8.853236,0.0214657,182,0.00133929,6,4480,32,10,32,91.9,0
cap8,1,0.52,112,1,1,8,10.963,10.268485,0.0266852,326,0.000892857,4,4480,32,10,32,91.9,0
cap8,2,0.38,115,1,1,8,9.34697,13.259947,0.0422583,714,0.00178571,8,4480,32,10,32,91.9,0
cap8,3,0.26,171,1,1,8,5.96922,18.719033,0.0339245,1016,0.00357143,16,4480,32,10,32,91.9,0
start4,0,0.68,129,1,1,16,12.2377,8.8166623,0.00123757,182,0.0151786,68,4480,32,10,32,77.2,0
start4,1,0.52,98,1,1,16,10.9003,10.171837,0.00120563,366,0.0232143,104,4480,32,10,32,77.2,0
start4,2,0.38,107,1,1,16,9.46604,12.907657,0.00514827,712,0.0178571,80,4480,32,10,32,77.2,0
start4,3,0.26,122,1,1,16,6.14652,18.207246,0.00632832,998,0.00758929,34,4480,32,10,32,77.2,0
jump16,0,0.68,95,1,1,16,12.2845,8.8225001,0.00114198,182,0.0133929,60,4480,32,10,32,52.6,0
jump16,1,0.52,82,1,1,16,10.9341,10.17489,0.00253883,352,0.0200893,90,4480,32,10,32,52.6,0
jump16,2,0.38,72,1,1,16,9.35444,13.142149,0.00359073,626,0.0214286,96,4480,32,10,32,52.6,0
jump16,3,0.26,89,1,1,16,5.74401,18.991557,0.00146737,938,0.0254464,114,4480,32,10,32,52.6,0
jump32,0,0.68,95,1,1,32,12.3048,8.8252661,0.000333324,174,0.0142857,64,4480,32,10,32,51.2,0
jump32,1,0.52,82,1,1,32,10.8573,10.182324,0.00034558,338,0.01875,84,4480,32,10,32,51.2,0
jump32,2,0.38,77,1,1,32,9.44779,13.132823,0.000335269,632,0.0276786,124,4480,32,10,32,51.2,0
jump32,3,0.26,86,1,1,32,5.28236,19.219681,0.000389081,922,0.0316964,142,4480,32,10,32,51.2,0
aggr,0,0.68,118,1,1,32,12.4556,8.8136773,0.000323706,174,0.00803571,36,4480,32,10,32,64.3,0
aggr,1,0.52,114,1,1,32,11.038,10.162177,0.00030193,330,0.00803571,36,4480,32,10,32,64.3,0
aggr,2,0.38,122,1,1,32,9.48236,12.921668,0.000360824,714,0.00446429,20,4480,32,10,32,64.3,0
aggr,3,0.26,134,1,1,32,5.76794,18.291714,0.000654953,996,0.0107143,48,4480,32,10,32,64.3,0
