schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
jump32,1e-08,0,1,30.511596,0.1998,-1,-1,-1,-1,2016,50,1,1,3,50,1.0000,0,0,0,0.64980,0.818563,64,0.818563,64,0,1.00e-08
jump32,1e-08,0,2,23.034417,0.1998,0.174763,0.0686633,0.112103,226,2016,53,1,1,3,53,1.0000,0,0,0,0.65958,0.724097,84,0.724097,84,0,1.00e-08
jump32,1e-08,0,3,17.536449,0.1998,0.16543,0.0522283,0.110119,222,2016,63,1,1,3,63,1.0000,0,0,0,0.66750,0.656025,98,0.656025,98,0,1.00e-08
jump32,1e-08,0,4,15.255955,0.1998,0.159538,0.041985,0.0178571,36,2016,64,1,1,3,64,1.0000,0,0,0,0.67067,0.571101,76,0.571101,76,0,1.00e-08
jump32,1e-08,0,5,13.998531,0.181497,0.112906,0.021013,0.0109127,22,2016,77,1,1,3,77,1.0000,0,0,0,0.67747,0.527893,80,0.527893,80,0,1.00e-08
jump32,1e-08,0,6,13.454658,0.125583,0.0668377,0.0102187,0.00396825,8,2016,79,1,1,3,79,1.0000,0,0,0,0.67924,0.512697,82,0.512697,82,0,1.00e-08
jump32,1e-08,0,7,13.303623,0.15807,0.0782067,0.00706861,0.00892857,18,2016,79,1,1,3,79,1.0000,0,0,0,0.67947,0.50412,92,0.50412,92,0,1.00e-08
jump32,1e-08,0,8,13.229965,0.190595,0.0935457,0.00725595,0.00892857,18,2016,79,1,1,3,79,1.0000,0,0,0,0.67948,0.495905,110,0.495905,110,0,1.00e-08
jump32,1e-08,0,9,13.165766,0.137104,0.0717213,0.00816502,0.0208333,42,2016,80,1,1,3,80,1.0000,0,0,0,0.67944,0.486673,118,0.486673,118,0,1.00e-08
jump32,1e-08,0,10,13.098525,0.132473,0.108188,0.0102436,0.0198413,40,2016,82,1,1,3,82,1.0000,0,0,0,0.67919,0.472933,130,0.472933,130,0,1.00e-08
jump32,1e-08,0,11,13.008445,0.1998,0.173154,0.0138974,0.0178571,36,2016,84,1,1,3,84,1.0000,0,0,0,0.67863,0.449144,144,0.449144,144,0,1.00e-08
jump32,1e-08,0,12,12.870211,0.1998,0.150894,0.0139593,0.0109127,22,2016,83,1,1,3,83,1.0000,0,0,0,0.67867,0.422782,124,0.422782,124,0,1.00e-08
jump32,1e-08,0,13,12.71949,0.1998,0.123345,0.0107642,0.00992063,20,2016,87,1,1,3,87,1.0000,0,0,0,0.67900,0.404729,120,0.404729,120,0,1.00e-08
jump32,1e-08,0,14,12.613428,0.1998,0.115023,0.00981386,0.00396825,8,2016,87,1,1,3,87,1.0000,0,0,0,0.67915,0.389159,124,0.389159,124,0,1.00e-08
jump32,1e-08,0,15,12.528477,0.1998,0.107674,0.00999955,0.0128968,26,2016,85,1,1,3,85,1.0000,0,0,0,0.67912,0.373362,142,0.373362,142,0,1.00e-08
jump32,1e-08,0,16,12.450391,0.1998,0.133477,0.00953462,0.00297619,6,2016,86,1,1,3,86,1.0000,0,0,0,0.67915,0.356261,140,0.356261,140,0,1.00e-08
jump32,1e-08,0,17,12.375024,0.1998,0.148201,0.00904886,0.00198413,4,2016,87,1,1,3,87,1.0000,0,0,0,0.67912,0.338122,140,0.338122,140,0,1.00e-08
jump32,1e-08,0,18,12.302792,0.188232,0.108047,0.00697225,0.00297619,6,2016,89,1,1,3,89,1.0000,0,0,0,0.67947,0.324054,138,0.324054,138,0,1.00e-08
jump32,1e-08,0,19,12.253577,0.162219,0.0731598,0.00347425,0,0,2016,90,1,1,3,90,1.0000,0,0,0,0.67982,0.319146,138,0.319146,138,0,1.00e-08
jump32,1e-08,0,20,12.235137,0.1998,0.0890847,0.00272188,0,0,2016,92,1,1,3,92,1.0000,0,0,0,0.67988,0.316182,138,0.316182,138,0,1.00e-08
jump32,1e-08,0,21,12.226356,0.1998,0.0767159,0.00268464,0.00297619,6,2016,90,1,1,3,90,1.0000,0,0,0,0.67989,0.313267,140,0.313267,140,0,1.00e-08
jump32,1e-08,0,22,12.218966,0.154475,0.0665077,0.00216363,0,0,2016,90,1,1,3,90,1.0000,0,0,0,0.67992,0.310816,140,0.310816,140,0,1.00e-08
