schedule,rung,vf,iters,accepted,fired,beta_final,margin,compliance,mnd_final,mfv_final,class_frac_vs_base,flips_vs_base,solid,solved_nx,solved_ny,solved_nz,wall_s,draft
base,0,0.68,112,1,1,32,8.24922,10.818892,0.000638058,160,0,0,2016,24,8,24,167.0,0
base,1,0.52,125,1,1,32,7.60236,12.834702,0.00057737,388,0,0,2016,24,8,24,167.0,0
base,2,0.38,250,1,1,32,5.90549,16.445453,0.00344433,600,0,0,2016,24,8,24,167.0,0
base,3,0.26,172,1,1,32,3.70245,24.325648,0.00171795,580,0,0,2016,24,8,24,167.0,0
base_ctrl,0,0.68,112,1,1,32,8.24922,10.818892,0.000638058,160,0,0,2016,24,8,24,195.0,0
base_ctrl,1,0.52,125,1,1,32,7.60239,12.834646,0.000559698,388,0,0,2016,24,8,24,195.0,0
base_ctrl,2,0.38,250,1,1,32,5.9033,16.445622,0.00349158,600,0,0,2016,24,8,24,195.0,0
base_ctrl,3,0.26,172,1,1,32,3.70245,24.325648,0.00171795,580,0,0,2016,24,8,24,195.0,0
cap16,0,0.68,101,1,1,16,8.24906,10.821064,0.00160999,160,0,0,2016,24,8,24,163.3,0
cap16,1,0.52,114,1,1,16,7.59865,12.861114,0.00768062,388,0,0,2016,24,8,24,163.3,0
cap16,2,0.38,239,1,1,16,5.88381,16.474961,0.00769231,602,0.000992063,2,2016,24,8,24,163.3,0
cap16,3,0.26,161,1,1,16,3.68893,24.432886,0.0087194,582,0.000992063,2,2016,24,8,24,163.3,0
cap8,0,0.68,90,1,1,8,8.22882,10.889772,0.026127,162,0.000992063,2,2016,24,8,24,121.4,0
cap8,1,0.52,103,1,1,8,7.55029,13.125464,0.0505204,392,0.00198413,4,2016,24,8,24,121.4,0
cap8,2,0.38,228,1,1,8,5.77673,16.837367,0.0394135,608,0.00396825,8,2016,24,8,24,121.4,0
cap8,3,0.26,150,1,1,8,3.60797,25.361547,0.0446572,592,0.00595238,12,2016,24,8,24,121.4,0
start4,0,0.68,87,1,1,16,8.2254,10.818239,0.002089,168,0.0178571,36,2016,24,8,24,103.2,0
start4,1,0.52,99,1,1,16,7.5713,12.858679,0.00527562,400,0.0208333,42,2016,24,8,24,103.2,0
start4,2,0.38,199,1,1,16,5.56221,16.482749,0.00614516,598,0.00297619,6,2016,24,8,24,103.2,0
start4,3,0.26,133,1,1,16,3.83998,24.135556,0.0121303,586,0.0248016,50,2016,24,8,24,103.2,0
jump16,0,0.68,64,1,1,16,8.19566,10.849161,0.00147704,150,0.0178571,36,2016,24,8,24,87.2,0
jump16,1,0.52,83,1,1,16,7.64386,13.040864,0.00233682,342,0.0277778,56,2016,24,8,24,87.2,0
jump16,2,0.38,159,1,1,16,5.16375,16.986314,0.00496229,496,0.0436508,88,2016,24,8,24,87.2,0
jump16,3,0.26,94,1,1,16,3.13898,25.93343,0.00291485,580,0.031746,64,2016,24,8,24,87.2,0
jump32,0,0.68,64,1,1,32,8.1938,10.854534,0.000517075,144,0.0198413,40,2016,24,8,24,79.1,0
jump32,1,0.52,71,1,1,32,7.7904,13.10568,0.00053334,326,0.0396825,80,2016,24,8,24,79.1,0
jump32,2,0.38,156,1,1,32,5.10819,16.985475,0.000684187,490,0.0446429,90,2016,24,8,24,79.1,0
jump32,3,0.26,91,1,1,32,3.12996,26.278779,0.00107143,572,0.0456349,92,2016,24,8,24,79.1,0
aggr,0,0.68,104,1,1,32,8.22234,10.82425,0.000675434,158,0.00793651,16,2016,24,8,24,103.3,0
aggr,1,0.52,117,1,1,32,7.61056,12.848392,0.000670791,389,0.00446429,9,2016,24,8,24,103.3,0
aggr,2,0.38,208,1,1,32,5.62707,16.618955,0.000767441,588,0.015873,32,2016,24,8,24,103.3,0
aggr,3,0.26,131,1,1,32,3.70186,24.306461,0.00129994,596,0.00992063,20,2016,24,8,24,103.3,0
