schedule,rung,vf,iters,accepted,fired,beta_final,margin,compliance,mnd_final,mfv_final,class_frac_vs_base,flips_vs_base,solid,solved_nx,solved_ny,solved_nz,wall_s,draft
base,0,0.68,141,1,1,32,4.98884,14.831162,0.00132529,204,0,0,672,16,6,16,15.0,0
base,1,0.52,133,1,1,32,4.84211,16.55887,0.00218885,296,0,0,672,16,6,16,15.0,0
base,2,0.38,139,1,1,32,3.40719,23.390707,0.0122811,288,0,0,672,16,6,16,15.0,0
base,3,0.26,201,1,1,32,1.77375,36.440372,0.00472983,211,0,0,672,16,6,16,15.0,0
base_ctrl,0,0.68,141,1,1,32,4.98884,14.831162,0.00132511,204,0,0,672,16,6,16,15.9,0
base_ctrl,1,0.52,133,1,1,32,4.84211,16.55887,0.00218885,296,0,0,672,16,6,16,15.9,0
base_ctrl,2,0.38,139,1,1,32,3.40719,23.390707,0.0122811,288,0,0,672,16,6,16,15.9,0
base_ctrl,3,0.26,204,1,1,32,1.77768,36.454145,0.00237574,210,0.0014881,1,672,16,6,16,15.9,0
cap16,0,0.68,130,1,1,16,4.98897,14.83483,0.00288507,204,0,0,672,16,6,16,13.2,0
cap16,1,0.52,122,1,1,16,4.80329,16.561174,0.00856455,290,0.00297619,2,672,16,6,16,13.2,0
cap16,2,0.38,128,1,1,16,3.39459,23.512809,0.021772,290,0.00297619,2,672,16,6,16,13.2,0
cap16,3,0.26,190,1,1,16,1.77677,36.857131,0.0280804,213,0.00297619,2,672,16,6,16,13.2,0
cap8,0,0.68,118,1,1,8,4.97577,15.007877,0.0492423,210,0.00297619,2,672,16,6,16,13.7,0
cap8,1,0.52,111,1,1,8,4.67791,16.906031,0.043316,290,0.00297619,2,672,16,6,16,13.7,0
cap8,2,0.38,117,1,1,8,3.22874,24.459036,0.0779138,290,0.014881,10,672,16,6,16,13.7,0
cap8,3,0.26,179,1,1,8,1.73792,39.639873,0.0884948,218,0.0104167,7,672,16,6,16,13.7,0
start4,0,0.68,115,1,1,16,5.01759,14.659714,0.00293218,244,0.0535714,36,672,16,6,16,11.4,0
start4,1,0.52,91,1,1,16,4.563,16.547977,0.00840455,298,0.0267857,18,672,16,6,16,11.4,0
start4,2,0.38,96,1,1,16,3.00379,23.756998,0.0260091,288,0.0178571,12,672,16,6,16,11.4,0
start4,3,0.26,159,1,1,16,2.3103,36.65294,0.0338425,216,0.03125,21,672,16,6,16,11.4,0
jump16,0,0.68,86,1,1,16,4.99793,14.979376,0.00228185,188,0.0238095,16,672,16,6,16,11.5,0
jump16,1,0.52,61,1,1,16,4.37428,16.767419,0.00341215,288,0.0178571,12,672,16,6,16,11.5,0
jump16,2,0.38,72,1,1,16,2.72117,24.365007,0.0232455,290,0.0505952,34,672,16,6,16,11.5,0
jump16,3,0.26,124,1,1,16,1.65764,41.606693,0.0321368,214,0.0401786,27,672,16,6,16,11.5,0
jump32,-1,0,0,0,0,32,0,0,0,0,-1,-1,672,16,6,16,0,0
aggr,0,0.68,115,1,1,32,4.98594,14.817302,0.00133625,204,0.00595238,4,672,16,6,16,21.9,0
aggr,1,0.52,125,1,1,32,4.84211,16.55887,0.00218881,296,0,0,672,16,6,16,21.9,0
aggr,2,0.38,125,1,1,32,3.41595,23.380639,0.0123658,288,0,0,672,16,6,16,21.9,0
aggr,3,0.26,171,1,1,32,1.77695,36.533765,0.00132437,210,0.016369,11,672,16,6,16,21.9,0
