K,W_mm,wall_loops,infill,phi_wall_meas,phi_wall_analytic,E_core_Es,E_meas_Es,E_voigt_Es,model_err_pct,f15,assumed_over_meas,sign,cg_iters,solve_ms
2,10.0,0,0.15,0.00000,0.00000,0.062205,0.062205,0.062205,0.00,0.058095,0.9339,CONS,998,77524
2,10.0,5,0.15,0.68359,0.69750,0.062205,0.718208,0.703276,-2.08,0.058095,0.0809,CONS,801,137148
2,10.0,0,0.30,0.00000,0.00000,0.108487,0.108487,0.108487,0.00,0.164317,1.5146,NON-CONS,842,85286
2,10.0,5,0.30,0.68359,0.69750,0.108487,0.732099,0.717920,-1.94,0.164317,0.2244,CONS,88,36203
2,10.0,0,0.60,0.00000,0.00000,0.371599,0.371599,0.371599,0.00,0.464758,1.2507,NON-CONS,163,51233
2,10.0,5,0.60,0.68359,0.69750,0.371599,0.822486,0.801170,-2.59,0.464758,0.5651,CONS,26,21076
3,15.0,0,0.15,0.00000,0.00000,0.060133,0.060133,0.060133,0.00,0.058095,0.9661,CONS,1180,252436
3,15.0,5,0.15,0.49826,0.51000,0.060133,0.541124,0.528435,-2.34,0.058095,0.1074,CONS,1320,486943
3,15.0,0,0.30,0.00000,0.00000,0.104648,0.104648,0.104648,0.00,0.164317,1.5702,NON-CONS,1144,282184
3,15.0,5,0.30,0.49826,0.51000,0.104648,0.563317,0.550769,-2.23,0.164317,0.2917,CONS,158,157939
3,15.0,0,0.60,0.00000,0.00000,0.363700,0.363700,0.363700,0.00,0.464758,1.2779,NON-CONS,202,202422
3,15.0,5,0.60,0.49826,0.51000,0.363700,0.701537,0.680745,-2.96,0.464758,0.6625,CONS,34,75087
