wall_loops,infill,E_core_Es,f15,crossover_W_mm,E_at_200mm,assumed_over_meas_200
3,0.15,0.045952,0.058095,422.9,0.071537,0.8121
3,0.20,0.045952,0.089443,117.1,0.071537,1.2503
3,0.25,0.071814,0.125000,92.9,0.096706,1.2926
3,0.30,0.082361,0.164317,59.1,0.106970,1.5361
3,0.40,0.154370,0.252982,44.9,0.177048,1.4289
3,0.50,0.221001,0.353553,30.3,0.241892,1.4616
3,0.60,0.324554,0.464758,24.6,0.342668,1.3563
5,0.15,0.045952,0.058095,704.8,0.088401,0.6572
5,0.20,0.045952,0.089443,195.2,0.088401,1.0118
5,0.25,0.071814,0.125000,154.8,0.113112,1.1051
5,0.30,0.082361,0.164317,98.5,0.123190,1.3338
5,0.40,0.154370,0.252982,74.9,0.191995,1.3176
5,0.50,0.221001,0.353553,50.5,0.255661,1.3829
5,0.60,0.324554,0.464758,41.0,0.354607,1.3106
