wall_loops,W_mm,infill,E_part_Es,f15,true_margin_at_1p5
3,40,0.15,0.170401,0.058095,4.3997
3,100,0.15,0.096775,0.058095,2.4987
3,200,0.15,0.071537,0.058095,1.8471
3,40,0.20,0.170401,0.089443,2.8577
3,100,0.20,0.096775,0.089443,1.6230
3,200,0.20,0.071537,0.089443,1.1997
3,40,0.25,0.192890,0.125000,2.3147
3,100,0.25,0.121259,0.125000,1.4551
3,200,0.25,0.096706,0.125000,1.1605
3,40,0.30,0.202061,0.164317,1.8446
3,100,0.30,0.131245,0.164317,1.1981
3,200,0.30,0.106970,0.164317,0.9765
3,40,0.40,0.264677,0.252982,1.5693
3,100,0.40,0.199418,0.252982,1.1824
3,200,0.40,0.177048,0.252982,1.0498
3,40,0.50,0.322616,0.353553,1.3687
3,100,0.50,0.262499,0.353553,1.1137
3,200,0.50,0.241892,0.353553,1.0263
3,40,0.60,0.412661,0.464758,1.3319
3,100,0.60,0.360535,0.464758,1.1636
3,200,0.60,0.342668,0.464758,1.1060
5,40,0.15,0.248538,0.058095,6.4172
5,100,0.15,0.129884,0.058095,3.3536
5,200,0.15,0.088401,0.058095,2.2825
5,40,0.20,0.248538,0.089443,4.1681
5,100,0.20,0.129884,0.089443,2.1782
5,200,0.20,0.088401,0.089443,1.4825
5,40,0.25,0.268908,0.125000,3.2269
5,100,0.25,0.153471,0.125000,1.8417
5,200,0.25,0.113112,0.125000,1.3573
5,40,0.30,0.277216,0.164317,2.5306
5,100,0.30,0.163090,0.164317,1.4888
5,200,0.30,0.123190,0.164317,1.1246
5,40,0.40,0.333934,0.252982,1.9800
5,100,0.40,0.228764,0.252982,1.3564
5,200,0.40,0.191995,0.252982,1.1384
5,40,0.50,0.386416,0.353553,1.6394
5,100,0.50,0.289533,0.353553,1.2284
5,200,0.50,0.255661,0.353553,1.0847
5,40,0.60,0.467980,0.464758,1.5104
5,100,0.60,0.383976,0.464758,1.2393
5,200,0.60,0.354607,0.464758,1.1445
