K,W_mm,wall_loops,infill,phi_wall,E_meas_Es,f15,assumed_over_meas,sign,margin_at_1p5,cg_iters,solve_ms
1,5.0,0,0.15,0.00000,0.080467,0.058095,0.7220,CONS,2.0777,537,11657
1,5.0,3,0.15,0.75000,0.801032,0.058095,0.0725,CONS,20.6825,40,3585
1,5.0,5,0.15,0.98438,0.990036,0.058095,0.0587,CONS,25.5626,18,2859
1,5.0,0,0.30,0.00000,0.140300,0.164317,1.1712,NON-CONS,1.2808,247,7215
1,5.0,3,0.30,0.75000,0.812987,0.164317,0.2021,CONS,7.4215,27,3000
1,5.0,5,0.30,0.98438,0.990036,0.164317,0.1660,CONS,9.0378,18,2866
1,5.0,0,0.60,0.00000,0.425973,0.464758,1.0911,NON-CONS,1.3748,85,4732
1,5.0,3,0.60,0.75000,0.884982,0.464758,0.5252,CONS,2.8563,17,2739
1,5.0,5,0.60,0.98438,0.996977,0.464758,0.4662,CONS,3.2177,11,2296
2,10.0,0,0.15,0.00000,0.062205,0.058095,0.9339,CONS,1.6061,998,78958
2,10.0,3,0.15,0.43750,0.494114,0.058095,0.1176,CONS,12.7580,876,126663
2,10.0,5,0.15,0.68359,0.718208,0.058095,0.0809,CONS,18.5441,801,152841
2,10.0,0,0.30,0.00000,0.108487,0.164317,1.5146,NON-CONS,0.9903,842,94229
2,10.0,3,0.30,0.43750,0.520996,0.164317,0.3154,CONS,4.7560,97,34155
2,10.0,5,0.30,0.68359,0.732099,0.164317,0.2244,CONS,6.6831,88,36011
2,10.0,0,0.60,0.00000,0.371599,0.464758,1.2507,NON-CONS,1.1993,163,53014
2,10.0,3,0.60,0.43750,0.679062,0.464758,0.6844,CONS,2.1917,26,21433
2,10.0,5,0.60,0.68359,0.822486,0.464758,0.5651,CONS,2.6546,26,24195
3,15.0,0,0.15,0.00000,0.060133,0.058095,0.9661,CONS,1.5526,1180,458466
3,15.0,3,0.15,0.30556,0.362196,0.058095,0.1604,CONS,9.3519,1376,1289149
