lattice,cells,L_mm,vpc,spacing_mm,voxels,rho,wall_mm,periodic_E100_MPa,periodic_E100_over_Es,zener,direct_freeface_E_MPa,direct_over_Es,cg_iters,solve_ms
gyroid,1,5.000,16,0.31250,4096,0.30469,0.6250,419.8525,0.119958,1.0795,291.5544,0.083301,66,440
gyroid,2,5.000,16,0.31250,32768,0.30469,0.6250,419.8525,0.119958,1.0795,353.9947,0.101141,66,3317
gyroid,3,5.000,16,0.31250,110592,0.30469,0.6250,419.8525,0.119958,1.0795,375.0444,0.107156,66,10704
gyroid,5,5.000,16,0.31250,512000,0.30469,0.6250,419.8525,0.119958,1.0795,0.0000,0.000000,66,56503
schwarzD,1,5.000,16,0.31250,4096,0.37500,0.6250,711.7667,0.203362,0.7427,709.6200,0.202749,35,235
schwarzD,2,5.000,16,0.31250,32768,0.37500,0.6250,711.7667,0.203362,0.7427,711.7493,0.203357,35,1869
schwarzD,3,5.000,16,0.31250,110592,0.37500,0.6250,711.7667,0.203362,0.7427,712.0329,0.203438,35,6313
schwarzD,5,5.000,16,0.31250,512000,0.37500,0.6250,711.7667,0.203362,0.7427,0.0000,0.000000,35,29479
octet,1,5.000,16,0.31250,4096,0.28516,0.6250,280.5832,0.080167,1.2410,274.1052,0.078316,74,372
octet,2,5.000,16,0.31250,32768,0.28516,0.9375,280.5832,0.080167,1.2410,277.2459,0.079213,74,2977
octet,3,5.000,16,0.31250,110592,0.28516,1.2500,280.5832,0.080167,1.2410,278.3348,0.079524,74,10072
octet,5,5.000,16,0.31250,512000,0.28516,1.2500,280.5832,0.080167,1.2410,0.0000,0.000000,74,47016
