lattice,cells,L_mm,vpc,spacing_mm,voxels,rho,wall_mm,wall_vox,C11_MPa,C12_MPa,C44_MPa,zener,E100_over_Es
gyroid,1,5.000,8,0.62500,512,0.37500,1.2500,2.0,733.2885,323.7736,266.8109,1.3031,0.152842
gyroid,1,5.000,12,0.41667,1728,0.27778,0.8333,2.0,475.8224,227.4909,152.4002,1.2274,0.093902
gyroid,1,5.000,16,0.31250,4096,0.25781,0.6250,2.0,473.3438,212.0011,142.2689,1.0888,0.097767
gyroid,1,5.000,24,0.20833,13824,0.29398,0.6250,3.0,537.3476,257.2298,169.0559,1.2070,0.105943
gyroid,1,5.000,32,0.15625,32768,0.29688,0.6250,4.0,554.4569,253.6703,168.5784,1.1209,0.112915
gyroid,1,5.000,48,0.10417,110592,0.30150,0.7292,7.0,571.3832,266.0986,174.4827,1.1431,0.114938
schwarzD,1,5.000,8,0.62500,512,0.37500,0.6250,1.0,956.7088,374.8493,306.6999,1.0542,0.213046
schwarzD,1,5.000,12,0.41667,1728,0.36111,0.8333,2.0,776.0545,313.2986,236.7706,1.0233,0.170241
schwarzD,1,5.000,16,0.31250,4096,0.28125,0.6250,2.0,545.4419,206.6176,135.0629,0.7972,0.123403
schwarzD,1,5.000,24,0.20833,13824,0.29167,0.6250,3.0,595.1048,216.6751,140.1742,0.7408,0.136982
schwarzD,1,5.000,32,0.15625,32768,0.30078,0.6250,4.0,598.7812,238.2130,157.9382,0.8761,0.132339
schwarzD,1,5.000,48,0.10417,110592,0.29745,0.5208,5.0,605.5071,239.3598,154.4807,0.8438,0.134252
octet,1,5.000,8,0.62500,512,0.39062,0.6250,1.0,774.9259,241.5810,218.3704,0.8189,0.188600
octet,1,5.000,12,0.41667,1728,0.19907,0.4167,1.0,233.0753,98.8070,85.0055,1.2662,0.049783
octet,1,5.000,16,0.31250,4096,0.28516,0.6250,2.0,369.7839,152.6450,134.7381,1.2410,0.080167
octet,1,5.000,24,0.20833,13824,0.32292,0.6250,3.0,447.4464,173.8995,154.0335,1.1262,0.100030
octet,1,5.000,32,0.15625,32768,0.31299,0.6250,4.0,416.4502,164.9463,146.0624,1.1615,0.092245
octet,1,5.000,48,0.10417,110592,0.29731,0.6250,6.0,374.2029,151.9733,135.0535,1.2154,0.081833
