lattice,cells,L_mm,vpc,spacing_mm,rho,wall_mm,wall_vox,C11_MPa,C12_MPa,C44_MPa,zener,E100_MPa,E111_MPa,E100_over_Es,offcubic_MPa,cg_iters,resolved
gyroid,1,5.000,48,0.10417,0.10069,0.2083,2.0,161.9130,80.8498,42.7768,1.0554,108.0605,113.3475,0.030874,0.0000,261,0
gyroid,1,5.000,48,0.10417,0.15046,0.4167,4.0,250.7803,126.1680,70.7707,1.1359,166.3212,186.1301,0.047520,0.0000,226,1
gyroid,1,5.000,48,0.10417,0.20081,0.4167,4.0,351.6656,168.4238,99.9548,1.0910,242.5822,261.8504,0.069309,0.0000,210,1
gyroid,1,5.000,48,0.10417,0.24942,0.6250,6.0,454.9897,216.0246,134.4423,1.1252,315.8968,350.2430,0.090256,0.0000,191,1
gyroid,1,5.000,48,0.10417,0.30064,0.7292,7.0,566.5806,265.1793,173.8429,1.1536,397.4933,450.1836,0.113570,0.0000,185,1
gyroid,1,5.000,48,0.10417,0.39902,0.9375,9.0,824.1435,369.0489,264.7383,1.1634,595.8534,679.1294,0.170244,0.0000,180,1
gyroid,1,5.000,48,0.10417,0.49971,1.1458,11.0,1149.3329,492.3365,376.9826,1.1476,854.0296,961.1550,0.244008,0.0000,174,1
gyroid,1,5.000,48,0.10417,0.60041,1.3542,13.0,1555.2520,653.4396,510.2008,1.1315,1168.6129,1299.0372,0.333889,0.0000,172,1
schwarzD,1,5.000,48,0.10417,0.09896,0.2083,2.0,166.8450,67.0157,32.7344,0.6558,128.4367,88.5674,0.036696,0.0000,149,0
schwarzD,1,5.000,48,0.10417,0.14931,0.3125,3.0,276.5126,106.4911,54.0839,0.6362,217.2946,146.1082,0.062084,0.0000,126,0
schwarzD,1,5.000,48,0.10417,0.20197,0.4167,4.0,382.8172,154.6367,88.5020,0.7757,293.8328,235.4034,0.083952,0.0000,113,1
schwarzD,1,5.000,48,0.10417,0.24711,0.4167,4.0,496.2601,187.1893,111.4514,0.7212,393.7219,296.4104,0.112492,0.0000,110,1
schwarzD,1,5.000,48,0.10417,0.30093,0.5208,5.0,612.6725,241.5905,156.8630,0.8454,476.0261,411.6626,0.136007,0.0000,107,1
schwarzD,1,5.000,48,0.10417,0.39988,0.7292,7.0,886.2072,343.6629,247.7888,0.9134,694.1476,642.2322,0.198328,0.0000,103,1
schwarzD,1,5.000,48,0.10417,0.50116,0.9375,9.0,1208.3183,474.6037,369.0283,1.0059,940.6308,945.3842,0.268752,0.0000,104,1
schwarzD,1,5.000,48,0.10417,0.60012,1.0417,10.0,1635.4090,643.6996,504.9051,1.0183,1271.8026,1291.5963,0.363372,0.0000,105,1
octet,1,5.000,48,0.10417,0.10308,0.3125,3.0,88.2389,41.9795,37.3012,1.6127,61.1724,91.9793,0.017478,0.0000,222,0
octet,1,5.000,48,0.10417,0.14764,0.4167,4.0,136.9621,64.0645,56.6726,1.5549,96.1291,140.0724,0.027465,0.0000,220,1
octet,1,5.000,48,0.10417,0.20414,0.5208,5.0,213.7779,94.5363,83.3612,1.3982,155.8038,207.2067,0.044515,0.0000,218,1
octet,1,5.000,48,0.10417,0.25297,0.5208,5.0,295.1031,124.0143,109.1889,1.2764,221.7130,272.7369,0.063347,0.0000,218,1
octet,1,5.000,48,0.10417,0.29731,0.6250,6.0,374.2029,151.9733,135.0535,1.2154,286.4152,337.8731,0.081833,0.0000,220,1
octet,1,5.000,48,0.10417,0.39786,0.7292,7.0,611.4884,226.3148,204.0181,1.0594,489.2200,513.5868,0.139777,0.0000,223,1
octet,1,5.000,48,0.10417,0.50644,0.8333,8.0,974.8665,328.8413,297.3223,0.9205,808.9757,754.5476,0.231136,0.0000,223,1
octet,1,5.000,48,0.10417,0.59093,0.9375,9.0,1344.7034,443.6894,392.1883,0.8705,1124.5501,1000.7312,0.321300,0.0000,227,1
