tag,cell_mm,frac_target,frac_actual,graded,streaming,tris,strut_tris,node_tris,struts,nodes,peak_rss_mb,wall_s,stl_bytes,mf_bytes,min_diam_mm,max_diam_mm
inmem,12,1,1,0,0,118920,105600,13320,3300,666,22.875,0.004281,5946084,-1,2.4,2.4
inmem,8,1,1,0,0,316000,282240,33760,8820,1688,48.4531,0.010234,15800084,-1,1.6,1.6
inmem,6,1,1,0,0,899020,806400,92620,25200,4631,160.5,0.041496,44951084,-1,1.2,1.2
inmem,4,1,1,0,0,2976320,2678400,297920,83700,14896,591.188,0.141064,148816084,-1,0.8,0.8
stream,4,1,1,0,1,2976320,2678400,297920,83700,14896,2.67188,0.243251,148816084,-1,0.8,0.8
stream,4,0.5,0.39437,0,1,1190352,1068672,121680,33396,6084,2.67188,0.096637,59517684,-1,0.8,0.8
stream,4,0.2,0.216,0,1,659576,590976,68600,18468,3430,2.67188,0.057171,32978884,-1,0.8,0.8
inmem,4,1,1,0,0,2976320,2678400,297920,83700,14896,591.172,0.106536,148816084,-1,0.8,0.8
stream,4,1,1,0,1,2976320,2678400,297920,83700,14896,2.6875,0.239884,148816084,-1,0.8,0.8
stream,12,1,1,0,1,118920,105600,13320,3300,666,2.6875,0.009713,5946084,-1,2.4,2.4
stream,8,1,1,0,1,316000,282240,33760,8820,1688,2.67188,0.031034,15800084,-1,1.6,1.6
stream,6,1,1,0,1,899020,806400,92620,25200,4631,2.65625,0.079658,44951084,-1,1.2,1.2
stream,4,1,1,0,1,2976320,2678400,297920,83700,14896,2.6875,0.228959,148816084,-1,0.8,0.8
stream,2,1,1,0,1,21107496,19053696,2053800,595428,102690,2.6875,1.39628,1055374884,-1,0.4,0.4
inmem,8,1,1,0,0,316000,282240,33760,8820,1688,48.4531,0.010008,15800084,-1,1.6,1.6
inmem,8,1,1,1,0,316000,282240,33760,8820,1688,48.4375,0.008963,15800084,-1,0.96,2.24
inmem,4,1,1,0,0,2976320,2678400,297920,83700,14896,591.172,0.128277,148816084,-1,0.8,0.8
inmem,4,1,1,1,0,2976320,2678400,297920,83700,14896,591.391,0.101815,148816084,-1,0.48,1.12
inmem,8,1,1,0,0,316000,282240,33760,8820,1688,87.6875,0.376287,15800084,7057990,1.6,1.6
stream,8,1,1,0,1,316000,282240,33760,8820,1688,2.67188,0.015867,15800084,-1,1.6,1.6
stream,8,1,1,0,1,316000,282240,33760,8820,1688,2.6875,0.016557,15800084,-1,1.6,1.6
inmem,8,1,1,0,0,316000,282240,33760,8820,1688,87.8906,0.365978,15800084,7057980,1.6,1.6
inmem,8,1,1,0,0,316000,282240,33760,8820,1688,87.9062,0.366531,15800084,7057984,1.6,1.6
