cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-08,0,1,452.32409,0.1998,-1,-1,-1,-1,4056,127,1,1,3,127,1.0000,0,0,0,0.07489
1e-08,0,2,94.739194,0.1998,0.1998,0.0493166,0,0,4056,85,1,1,3,85,0.7825,0,0,0,0.08178
1e-08,0,3,29.877384,0.1998,0.198256,0.0310482,0.0226824,92,4056,89,1,1,3,89,0.7367,0,0,0,0.08938
1e-08,0,4,14.63831,0.19008,0.141922,0.0146417,0.00641026,26,4056,85,1,1,3,85,0.7056,0,0,0,0.09804
1e-08,0,5,9.386421,0.175456,0.147342,0.00786469,0.00887574,36,4056,78,1,1,3,78,0.6805,0,0,0,0.10087
1e-08,0,6,7.8590201,0.186065,0.140974,0.00578958,0.010355,42,4056,71,1,1,3,71,0.6553,0,0,0,0.10119
1e-08,0,7,7.1454888,0.1998,0.126691,0.00577698,0.0128205,52,4056,71,1,1,3,71,0.6538,0,0,0,0.10115
1e-08,0,8,6.5429244,0.190167,0.0811575,0.00561108,0.00788955,32,4056,67,1,1,3,67,0.6509,0,0,0,0.10125
1e-08,0,9,6.0084054,0.15461,0.0919613,0.00553938,0.00591716,24,4056,71,1,1,3,71,0.6361,0,0,0,0.10128
1e-08,0,10,5.5503251,0.151208,0.0840434,0.00558986,0.00591716,24,4056,80,1,1,3,80,0.6183,0,0,0,0.10123
1e-08,0,11,5.1392254,0.16622,0.101531,0.00626093,0.00542406,22,4056,87,1,1,3,87,0.6124,0,0,0,0.10120
1e-08,0,12,4.7418679,0.1998,0.107949,0.0067232,0.00493097,20,4056,89,1,1,3,89,0.6109,0,0,0,0.10113
1e-08,0,13,4.3674552,0.186079,0.110335,0.00703969,0.00838264,34,4056,92,1,1,3,92,0.6006,0,0,0,0.10103
1e-08,0,14,4.0268639,0.1998,0.116262,0.00671909,0.00542406,22,4056,98,1,1,3,98,0.6006,0,0,0,0.10109
1e-08,0,15,3.7346033,0.1998,0.113034,0.00507495,0.00443787,18,4056,114,1,1,3,114,0.5976,0,0,0,0.10140
1e-08,0,16,3.542621,0.1998,0.126596,0.00422233,0.00394477,16,4056,122,1,1,3,122,0.5962,0,0,0,0.10157
1e-08,0,17,3.4093632,0.1998,0.11185,0.00330748,0.00345168,14,4056,129,1,1,3,129,0.5962,0,0,0,0.10172
1e-08,0,18,3.3177507,0.1998,0.0877661,0.0026075,0.000493097,2,4056,136,1,1,3,136,0.5917,0,0,0,0.10178
1e-08,0,19,3.2533036,0.1998,0.101607,0.00252624,0.00197239,8,4056,130,1,1,3,130,0.5769,0,0,0,0.10179
