rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785147467608,103201.7783,0.008780,0,31,1,0,1,31,0,0,1.000000
0,2,1785147467828,2974.016195,0.008311,0,29,1,0,1,29,0,0,0.580160
0,3,1785147468017,1028.054669,0.007732,0,25,1,0,1,25,0,0,0.518636
0,4,1785147468194,424.8756973,0.008800,0,24,1,0,1,24,0,0,0.495443
0,5,1785147468367,70.92389905,0.010758,0,21,1,0,1,21,0,0,0.518148
0,6,1785147468520,25.65076438,0.012010,0,20,1,0,1,20,0,0,0.500570
0,7,1785147468686,16.09819759,0.012338,0,21,1,0,1,21,0,0,0.487630
0,8,1785147468850,12.291399,0.012447,0,21,1,0,1,21,0,0,0.477702
0,9,1785147469028,10.23726033,0.012475,0,27,1,0,1,27,0,0,0.463623
0,10,1785147469201,8.80462767,0.012498,0,29,1,0,1,29,0,0,0.458415
0,11,1785147469366,7.675781424,0.012524,0,24,1,0,1,24,0,0,0.447021
0,12,1785147469528,6.798914534,0.012547,0,25,1,0,1,25,0,0,0.430990
0,13,1785147469682,6.144697216,0.012573,0,24,1,0,1,24,0,0,0.417074
0,14,1785147469814,5.658607888,0.012599,0,22,1,0,1,22,0,0,0.395833
0,15,1785147469962,5.312491332,0.012621,0,24,1,0,1,24,0,0,0.388997
0,16,1785147470101,5.082733485,0.012642,0,22,1,0,1,22,0,0,0.385173
0,17,1785147470243,4.938499893,0.012655,0,24,1,0,1,24,0,0,0.378011
0,18,1785147470380,4.844306571,0.012663,0,26,1,0,1,26,0,0,0.372477
0,19,1785147470523,4.78308978,0.012668,0,26,1,0,1,26,0,0,0.368896
0,20,1785147470661,4.740376152,0.012672,0,24,1,0,1,24,0,0,0.368408
0,21,1785147470805,4.710231632,0.012674,0,26,1,0,1,26,0,0,0.367920
0,22,1785147470945,4.689732325,0.012675,0,26,1,0,1,26,0,0,0.366130
0,23,1785147471084,4.673409231,0.012677,0,27,1,0,1,27,0,0,0.365072
0,24,1785147471230,4.660999579,0.012678,0,27,1,0,1,27,0,0,0.363118
0,25,1785147471375,4.652417963,0.012680,0,26,1,0,1,26,0,0,0.357829
0,26,1785147471534,4.647745047,0.012680,0,32,1,0,1,32,0,0,0.357340
0,27,1785147471683,4.645678916,0.012680,0,33,1,0,1,33,0,0,0.357503
0,28,1785147471829,4.643947185,0.012681,0,29,1,0,1,29,0,0,0.357503
0,29,1785147471995,4.642579398,0.012681,0,29,1,0,1,29,0,0,0.357503
0,30,1785147472190,4.641451977,0.012681,0,29,1,0,1,29,0,0,0.355632
0,31,1785147472343,4.640628432,0.012681,0,32,1,0,1,32,0,0,0.355632
0,32,1785147472498,4.640203602,0.012681,0,33,1,0,1,33,0,0,0.355550
0,33,1785147472658,4.639878426,0.012681,0,34,1,0,1,34,0,0,0.355550
0,34,1785147472817,4.639592145,0.012681,0,33,1,0,1,33,0,0,0.355957
0,35,1785147472980,4.639376759,0.012681,0,36,1,0,1,36,0,0,0.355957
0,36,1785147473140,4.639241938,0.012681,0,36,1,0,1,36,0,0,0.355957
0,37,1785147473309,4.639135292,0.012681,0,36,1,0,1,36,0,0,0.355957
0,38,1785147473477,4.639054896,0.012681,0,36,1,0,1,36,0,0,0.355957
0,39,1785147473642,4.639002324,0.012681,1,36,1,0,1,36,0,0,0.355957
1,1,1785147474764,267045.6433,0.006438,0,31,1,0,1,31,0,0,1.000000
1,2,1785147475029,290727.6073,0.005824,0,45,1,0,1,45,0,0,0.493245
1,3,1785147475481,1110239.5,0.005102,0,46,1,0,1,46,0,0,1.000000
1,4,1785147475870,369850.2833,0.004949,0,32,1,0,1,32,0,0,1.000000
1,5,1785147476306,3390674.71,0.004243,0,40,1,0,1,40,0,0,1.000000
1,6,1785147476672,58860.58055,0.004591,0,30,1,0,1,30,0,0,1.000000
1,7,1785147476966,10693.10792,0.004505,0,20,1,0,1,20,0,0,1.000000
1,8,1785147477327,688.7416762,0.006784,0,22,1,0,1,22,0,0,1.000000
1,9,1785147477635,220.1450178,0.008125,0,20,1,0,1,20,0,0,1.000000
1,10,1785147477963,108.0417701,0.008734,0,20,1,0,1,20,0,0,1.000000
1,11,1785147478284,69.0072497,0.008951,0,21,1,0,1,21,0,0,1.000000
1,12,1785147478636,51.35809144,0.009026,0,27,1,0,1,27,0,0,1.000000
1,13,1785147478954,41.00969445,0.009051,0,22,1,0,1,22,0,0,1.000000
1,14,1785147479264,33.72416276,0.009070,0,22,1,0,1,22,0,0,1.000000
1,15,1785147479577,28.1939512,0.009086,0,24,1,0,1,24,0,0,1.000000
1,16,1785147479879,23.88642238,0.009099,0,21,1,0,1,21,0,0,1.000000
1,17,1785147480244,20.48122892,0.009111,0,22,1,0,1,22,0,0,1.000000
1,18,1785147480572,17.7486086,0.009122,0,20,1,0,1,20,0,0,1.000000
1,19,1785147480896,15.55377629,0.009133,0,23,1,0,1,23,0,0,1.000000
1,20,1785147481227,13.7590324,0.009150,0,23,1,0,1,23,0,0,1.000000
1,21,1785147481543,12.3481365,0.009168,0,22,1,0,1,22,0,0,1.000000
1,22,1785147481853,11.33911048,0.009179,0,20,1,0,1,20,0,0,1.000000
1,23,1785147482160,10.56922069,0.009188,0,21,1,0,1,21,0,0,1.000000
1,24,1785147482468,9.983189706,0.009202,0,20,1,0,1,20,0,0,1.000000
1,25,1785147482965,9.571700476,0.009212,0,20,1,0,1,20,0,0,1.000000
1,26,1785147483362,9.297577465,0.009225,0,26,1,0,1,26,0,0,1.000000
1,27,1785147483733,9.152772843,0.009229,0,27,1,0,1,27,0,0,1.000000
1,28,1785147484173,9.075613176,0.009230,0,27,1,0,1,27,0,0,1.000000
1,29,1785147484509,9.017392703,0.009232,0,22,1,0,1,22,0,0,1.000000
1,30,1785147484876,8.973982386,0.009233,0,26,1,0,1,26,0,0,1.000000
1,31,1785147485234,8.938372603,0.009233,0,26,1,0,1,26,0,0,1.000000
1,32,1785147485579,8.906609687,0.009234,0,26,1,0,1,26,0,0,1.000000
1,33,1785147485943,8.878677522,0.009234,0,26,1,0,1,26,0,0,1.000000
1,34,1785147486286,8.85773182,0.009234,0,25,1,0,1,25,0,0,1.000000
1,35,1785147486649,8.838382245,0.009235,0,27,1,0,1,27,0,0,1.000000
1,36,1785147487090,8.81945709,0.009235,0,24,1,0,1,24,0,0,1.000000
1,37,1785147487514,8.802314533,0.009235,0,24,1,0,1,24,0,0,1.000000
1,38,1785147487847,8.787572317,0.009236,0,22,1,0,1,22,0,0,1.000000
1,39,1785147488233,8.776135372,0.009236,0,24,1,0,1,24,0,0,1.000000
1,40,1785147488563,8.769324056,0.009236,0,22,1,0,1,22,0,0,1.000000
1,41,1785147488910,8.763516704,0.009236,0,25,1,0,1,25,0,0,1.000000
1,42,1785147489254,8.756806483,0.009236,0,24,1,0,1,24,0,0,1.000000
1,43,1785147489628,8.749728099,0.009236,0,25,1,0,1,25,0,0,1.000000
1,44,1785147489980,8.743974332,0.009236,0,24,1,0,1,24,0,0,1.000000
1,45,1785147490328,8.738294644,0.009236,0,25,1,0,1,25,0,0,1.000000
1,46,1785147490662,8.733862026,0.009236,0,24,1,0,1,24,0,0,1.000000
1,47,1785147490976,8.730438205,0.009236,0,22,1,0,1,22,0,0,1.000000
1,48,1785147491305,8.727621659,0.009236,0,22,1,0,1,22,0,0,1.000000
1,49,1785147491629,8.725020932,0.009237,0,24,1,0,1,24,0,0,1.000000
1,50,1785147491979,8.723109179,0.009237,0,27,1,0,1,27,0,0,1.000000
1,51,1785147492341,8.72190249,0.009237,0,29,1,0,1,29,0,0,1.000000
1,52,1785147492716,8.720973933,0.009237,0,31,1,0,1,31,0,0,1.000000
1,53,1785147493087,8.720182273,0.009237,0,31,1,0,1,31,0,0,1.000000
1,54,1785147493470,8.719576807,0.009237,0,31,1,0,1,31,0,0,1.000000
1,55,1785147493851,8.719107967,0.009237,0,32,1,0,1,32,0,0,1.000000
1,56,1785147494251,8.718792285,0.009237,0,32,1,0,1,32,0,0,1.000000
1,57,1785147494638,8.718595188,0.009237,0,32,1,0,1,32,0,0,1.000000
1,58,1785147495004,8.718455571,0.009237,0,32,1,0,1,32,0,0,1.000000
1,59,1785147495377,8.718328543,0.009237,1,33,1,0,1,33,0,0,1.000000
