lattice,cells,vpc,voxels,rho,wall_mm,periodic_bulk_E_MPa,direct_freeface_E_MPa,direct_over_Es,gap_vs_bulk_pct,direct_solve_ms
gyroid,1,16,4096,0.30469,0.6250,419.8525,291.5544,0.083301,-30.5579,3300
gyroid,2,16,32768,0.30469,0.6250,419.8525,353.9947,0.101141,-15.6859,36172
gyroid,3,16,110592,0.30469,0.6250,419.8525,375.0444,0.107156,-10.6724,102904
gyroid,5,16,512000,0.30469,0.6250,419.8525,392.4798,0.112137,-6.5196,734724
gyroid,7,16,1404928,0.30469,0.6250,419.8525,400.3620,0.114389,-4.6422,1402852
schwarzD,1,16,4096,0.37500,0.6250,711.7667,709.6200,0.202749,-0.3016,2712
schwarzD,2,16,32768,0.37500,0.6250,711.7667,711.7493,0.203357,-0.0024,25220
schwarzD,3,16,110592,0.37500,0.6250,711.7667,712.0329,0.203438,0.0374,103375
schwarzD,5,16,512000,0.37500,0.6250,711.7667,712.1927,0.203484,0.0599,375137
octet,1,16,4096,0.28516,0.6250,280.5832,274.1052,0.078316,-2.3088,2477
octet,2,16,32768,0.28516,0.9375,280.5832,277.2459,0.079213,-1.1894,22261
octet,3,16,110592,0.28516,1.2500,280.5832,278.3348,0.079524,-0.8013,102190
octet,5,16,512000,0.28516,1.2500,280.5832,279.2550,0.079787,-0.4734,548982
