frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
0,45.00,c0,692.16,401.07,692.16,401.07,0,0
0,45.00,c1,577.31,326.61,577.31,326.61,0,0
0,45.00,c2,594.88,536.68,594.88,536.68,0,0
0,45.00,c3,641.29,423.54,641.29,449.07,0,0
1,45.67,c0,691.02,401.46,691.02,401.46,0,0
1,45.67,c1,578.33,326.38,578.33,326.38,0,0
1,45.67,c2,593.89,536.48,593.89,536.48,0,0
1,45.67,c3,642.37,423.65,642.37,449.46,0,0
2,46.35,c0,689.88,401.85,689.88,401.85,0,0
2,46.35,c1,579.36,326.16,579.36,326.16,0,0
2,46.35,c2,592.92,536.27,592.92,536.27,0,0
2,46.35,c3,643.44,423.77,643.44,449.85,0,0
3,47.02,c0,688.72,402.23,688.72,402.23,0,0
3,47.02,c1,580.39,325.95,580.39,325.95,0,0
3,47.02,c2,591.94,536.05,591.94,536.05,0,0
3,47.02,c3,644.52,423.90,644.52,450.23,0,0
4,47.70,c0,687.55,402.60,687.55,402.60,0,0
4,47.70,c1,581.43,325.74,581.43,325.74,0,0
4,47.70,c2,590.97,535.83,590.97,535.83,0,0
4,47.70,c3,645.59,424.03,645.59,450.60,0,0
5,48.38,c0,686.37,402.97,686.37,402.97,0,0
5,48.38,c1,582.47,325.54,582.47,325.54,0,0
5,48.38,c2,590.01,535.60,590.01,535.60,0,0
5,48.38,c3,646.66,424.17,646.66,450.97,0,0
6,49.05,c0,685.18,403.33,685.18,403.33,0,0
6,49.05,c1,583.52,325.34,583.52,325.34,0,0
6,49.05,c2,589.05,535.36,589.05,535.36,0,0
6,49.05,c3,647.73,424.31,647.73,451.33,0,0
7,49.72,c0,683.98,403.69,683.98,403.69,0,0
7,49.72,c1,584.57,325.14,584.57,325.14,0,0
7,49.72,c2,588.10,535.11,588.10,535.11,0,0
7,49.72,c3,648.80,424.46,648.80,451.69,0,0
8,50.40,c0,682.76,404.03,682.76,404.03,0,0
8,50.40,c1,585.62,324.96,585.62,324.96,0,0
8,50.40,c2,587.16,534.86,587.16,534.86,0,0
8,50.40,c3,649.86,424.62,649.86,452.03,0,0
9,51.07,c0,681.54,404.37,681.54,404.37,0,0
9,51.07,c1,586.68,324.77,586.68,324.77,0,0
9,51.07,c2,586.22,534.61,586.22,534.61,0,0
9,51.07,c3,650.92,424.78,650.92,452.37,0,0
10,51.75,c0,680.30,404.71,680.30,404.71,0,0
10,51.75,c1,587.74,324.60,587.74,324.60,0,0
10,51.75,c2,585.28,534.34,585.28,534.34,0,0
10,51.75,c3,651.98,424.95,651.98,452.71,0,0
11,52.42,c0,679.06,405.04,679.06,405.04,0,0
11,52.42,c1,588.81,324.42,588.81,324.42,0,0
11,52.42,c2,584.35,534.07,584.35,534.07,0,0
11,52.42,c3,653.03,425.13,653.03,453.04,0,0
12,53.10,c0,677.81,405.36,677.81,405.36,0,0
12,53.10,c1,589.88,324.26,589.88,324.26,0,0
12,53.10,c2,583.43,533.80,583.43,533.80,0,0
12,53.10,c3,654.08,425.31,654.08,453.36,0,0
13,53.77,c0,676.54,405.67,676.54,405.67,0,0
13,53.77,c1,590.95,324.10,590.95,324.10,0,0
13,53.77,c2,582.52,533.51,582.52,533.51,0,0
13,53.77,c3,655.13,425.50,655.13,453.67,0,0
14,54.45,c0,675.27,405.97,675.27,405.97,0,0
14,54.45,c1,592.03,323.94,592.03,323.94,0,0
14,54.45,c2,581.61,533.22,581.61,533.22,0,0
14,54.45,c3,656.17,425.70,656.17,453.97,0,0
15,55.12,c0,673.99,406.27,673.99,406.27,0,0
15,55.12,c1,593.11,323.79,593.11,323.79,0,0
15,55.12,c2,580.71,532.93,580.71,532.93,0,0
15,55.12,c3,657.21,425.90,657.21,454.27,0,0
16,55.80,c0,672.69,406.56,672.69,406.56,0,0
16,55.80,c1,594.19,323.65,594.19,323.65,0,0
16,55.80,c2,579.82,532.63,579.82,532.63,0,0
16,55.80,c3,658.25,426.10,658.25,454.56,0,0
17,56.47,c0,671.39,406.85,671.39,406.85,0,0
17,56.47,c1,595.28,323.51,595.28,323.51,0,0
17,56.47,c2,578.93,532.32,578.93,532.32,0,0
17,56.47,c3,659.28,426.32,659.28,454.85,0,0
18,57.15,c0,670.08,407.12,670.08,407.12,0,0
18,57.15,c1,596.37,323.37,596.37,323.37,0,0
18,57.15,c2,578.05,532.00,578.05,532.00,0,0
18,57.15,c3,660.31,426.54,660.31,455.12,0,0
19,57.82,c0,668.77,407.39,668.77,407.39,0,0
19,57.82,c1,597.46,323.24,597.46,323.24,0,0
19,57.82,c2,577.18,531.68,577.18,531.68,0,0
19,57.82,c3,661.33,426.77,661.33,455.39,0,0
20,58.50,c0,667.44,407.65,667.44,407.65,0,0
20,58.50,c1,598.56,323.12,598.56,323.12,0,0
20,58.50,c2,576.32,531.36,576.32,531.36,0,0
20,58.50,c3,662.36,427.00,662.36,455.65,0,0
