frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
0,45.00,c0,692.16,401.07,692.16,401.07,0,0
0,45.00,c1,577.31,326.61,577.31,326.61,0,0
0,45.00,c2,594.88,536.68,594.88,536.68,0,0
0,45.00,c3,641.29,423.54,641.29,449.07,0,0
1,45.67,c0,691.02,401.46,691.76,401.21,0,0
1,45.67,c1,578.33,326.38,577.67,326.53,0,0
1,45.67,c2,593.89,536.48,594.53,536.61,0,0
1,45.67,c3,642.37,423.65,641.66,449.21,0,0
2,46.35,c0,689.88,401.85,691.10,401.43,0,0
2,46.35,c1,579.36,326.16,578.26,326.40,0,0
2,46.35,c2,592.92,536.27,593.97,536.49,0,0
2,46.35,c3,643.44,423.77,642.29,449.43,0,0
3,47.02,c0,688.72,402.23,690.27,401.71,0,0
3,47.02,c1,580.39,325.95,579.01,326.24,0,0
3,47.02,c2,591.94,536.05,593.26,536.34,0,0
3,47.02,c3,644.52,423.90,643.07,449.71,0,0
4,47.70,c0,687.55,402.60,689.32,402.02,0,0
4,47.70,c1,581.43,325.74,579.86,326.07,0,0
4,47.70,c2,590.97,535.83,592.46,536.16,0,0
4,47.70,c3,645.59,424.03,643.95,450.02,0,0
5,48.38,c0,686.37,402.97,688.29,402.35,0,0
5,48.38,c1,582.47,325.54,580.77,325.88,0,0
5,48.38,c2,590.01,535.60,591.60,535.96,0,0
5,48.38,c3,646.66,424.17,644.90,450.35,0,0
6,49.05,c0,685.18,403.33,687.20,402.70,0,0
6,49.05,c1,583.52,325.34,581.73,325.69,0,0
6,49.05,c2,589.05,535.36,590.71,535.75,0,0
6,49.05,c3,647.73,424.31,645.89,450.70,0,0
7,49.72,c0,683.98,403.69,686.07,403.04,0,0
7,49.72,c1,584.57,325.14,582.73,325.50,0,0
7,49.72,c2,588.10,535.11,589.80,535.53,0,0
7,49.72,c3,648.80,424.46,646.91,451.04,0,0
8,50.40,c0,682.76,404.03,684.91,403.39,0,0
8,50.40,c1,585.62,324.96,583.74,325.31,0,0
8,50.40,c2,587.16,534.86,588.87,535.30,0,0
8,50.40,c3,649.86,424.62,647.94,451.39,0,0
9,51.07,c0,681.54,404.37,683.73,403.73,0,0
9,51.07,c1,586.68,324.77,584.77,325.12,0,0
9,51.07,c2,586.22,534.61,587.94,535.05,0,0
9,51.07,c3,650.92,424.78,648.98,451.73,0,0
10,51.75,c0,680.30,404.71,682.53,404.08,0,0
10,51.75,c1,587.74,324.60,585.81,324.94,0,0
10,51.75,c2,585.28,534.34,587.01,534.81,0,0
10,51.75,c3,651.98,424.95,650.03,452.08,0,0
11,52.42,c0,679.06,405.04,681.32,404.41,0,0
11,52.42,c1,588.81,324.42,586.86,324.76,0,0
11,52.42,c2,584.35,534.07,586.08,534.55,0,0
11,52.42,c3,653.03,425.13,651.08,452.41,0,0
12,53.10,c0,677.81,405.36,680.09,404.74,0,0
12,53.10,c1,589.88,324.26,587.92,324.58,0,0
12,53.10,c2,583.43,533.80,585.15,534.29,0,0
12,53.10,c3,654.08,425.31,652.13,452.74,0,0
13,53.77,c0,676.54,405.67,678.85,405.07,0,0
13,53.77,c1,590.95,324.10,588.98,324.41,0,0
13,53.77,c2,582.52,533.51,584.23,534.02,0,0
13,53.77,c3,655.13,425.50,653.18,453.07,0,0
14,54.45,c0,675.27,405.97,677.59,405.38,0,0
14,54.45,c1,592.03,323.94,590.05,324.25,0,0
14,54.45,c2,581.61,533.22,583.32,533.74,0,0
14,54.45,c3,656.17,425.70,654.23,453.38,0,0
15,55.12,c0,673.99,406.27,676.33,405.69,0,0
15,55.12,c1,593.11,323.79,591.12,324.09,0,0
15,55.12,c2,580.71,532.93,582.40,533.45,0,0
15,55.12,c3,657.21,425.90,655.27,453.69,0,0
16,55.80,c0,672.69,406.56,675.06,406.00,0,0
16,55.80,c1,594.19,323.65,592.20,323.93,0,0
16,55.80,c2,579.82,532.63,581.50,533.16,0,0
16,55.80,c3,658.25,426.10,656.31,454.00,0,0
17,56.47,c0,671.39,406.85,673.78,406.30,0,0
17,56.47,c1,595.28,323.51,593.28,323.78,0,0
17,56.47,c2,578.93,532.32,580.60,532.87,0,0
17,56.47,c3,659.28,426.32,657.35,454.30,0,0
18,57.15,c0,670.08,407.12,672.48,406.59,0,0
18,57.15,c1,596.37,323.37,594.36,323.64,0,0
18,57.15,c2,578.05,532.00,579.71,532.57,0,0
18,57.15,c3,660.31,426.54,658.39,454.59,0,0
19,57.82,c0,668.77,407.39,671.18,406.87,0,0
19,57.82,c1,597.46,323.24,595.44,323.50,0,0
19,57.82,c2,577.18,531.68,578.82,532.26,0,0
19,57.82,c3,661.33,426.77,659.42,454.87,0,0
20,58.50,c0,667.44,407.65,669.87,407.14,0,0
20,58.50,c1,598.56,323.12,596.53,323.37,0,0
20,58.50,c2,576.32,531.36,577.95,531.94,0,0
20,58.50,c3,662.36,427.00,660.45,455.14,0,0
