lattice,cell_mm,cells,streaming,tris,strut_tris,node_tris,struts,nodes,peak_rss_mb,wall_s,stl_bytes,mf_bytes
sc,8,7,0,53248,43008,10240,1344,512,12.3906,0.002139,2662484,-1
bcc,8,7,0,104908,87808,17100,2744,855,21.9531,0.003732,5245484,-1
bccz,8,7,0,119244,102144,17100,3192,855,22.8906,0.003711,5962284,-1
fcc,8,7,0,184288,150528,33760,4704,1688,40.9844,0.009382,9214484,-1
fccz,8,7,0,198624,164864,33760,5152,1688,41.1562,0.010307,9931284,-1
octet,8,7,0,316000,282240,33760,8820,1688,48.4531,0.0097,15800084,-1
diamond,8,7,0,236816,175616,61200,5488,3060,43,0.007856,11840884,-1
kelvin,8,7,0,376320,282240,94080,8820,4704,76.625,0.017962,18816084,-1
rhombic,8,7,0,439852,351232,88620,10976,4431,80.9688,0.015194,21992684,-1
reentrant,8,7,0,227632,189952,37680,5936,1884,42.375,0.006981,11381684,-1
sc,8,7,1,53248,43008,10240,1344,512,2.6875,0.008209,2662484,-1
bcc,8,7,1,104908,87808,17100,2744,855,2.70312,0.01112,5245484,-1
bccz,8,7,1,119244,102144,17100,3192,855,2.6875,0.009718,5962284,-1
fcc,8,7,1,184288,150528,33760,4704,1688,2.65625,0.018503,9214484,-1
fccz,8,7,1,198624,164864,33760,5152,1688,2.70312,0.018621,9931284,-1
octet,8,7,1,316000,282240,33760,8820,1688,2.6875,0.037438,15800084,-1
diamond,8,7,1,236816,175616,61200,5488,3060,2.71875,0.021304,11840884,-1
kelvin,8,7,1,376320,282240,94080,8820,4704,2.6875,0.03558,18816084,-1
rhombic,8,7,1,439852,351232,88620,10976,4431,2.70312,0.044636,21992684,-1
reentrant,8,7,1,227632,189952,37680,5936,1884,2.6875,0.020474,11381684,-1
