rung_vf,contrast,density_min,ndof,cg_unprecond,cg_jacobi,cg_rescaled,kappa_lanczos,lambda_min,lambda_max,mg_used,mg_hier_built,mg_cycles,mg_cg_iters,mg_converged
0.68,1e-9,1.000000e-03,7101,40000,208,206,4.026731e+06,9.041425e-03,3.640739e+04,1,1,35,35,1
0.68,1e-8,2.154435e-03,7101,40000,208,207,3.984313e+06,9.137683e-03,3.640739e+04,1,1,35,35,1
0.68,1e-7,4.641589e-03,7101,40000,208,207,3.609612e+06,1.008624e-02,3.640739e+04,1,1,35,35,1
0.68,1e-6,1.000000e-02,7101,23689,207,207,1.881984e+06,1.934522e-02,3.640739e+04,1,1,35,35,1
0.68,1e-5,2.154435e-02,7101,12042,208,207,4.477880e+05,8.130497e-02,3.640739e+04,1,1,35,35,1
0.52,1e-9,1.000000e-03,7101,40000,251,250,3.173132e+06,1.068613e-02,3.390852e+04,1,1,45,45,1
0.52,1e-8,2.154435e-03,7101,40000,251,250,3.143073e+06,1.078833e-02,3.390852e+04,1,1,45,45,1
0.52,1e-7,4.641589e-03,7101,40000,252,251,2.884289e+06,1.175628e-02,3.390852e+04,1,1,45,45,1
0.52,1e-6,1.000000e-02,7101,36694,252,250,1.598686e+06,2.121024e-02,3.390852e+04,1,1,45,45,1
0.52,1e-5,2.154435e-02,7101,15286,252,250,3.838088e+05,8.834742e-02,3.390852e+04,1,1,45,45,1
0.38,1e-9,1.000000e-03,7101,40000,320,319,3.706726e+06,7.793314e-03,2.888768e+04,1,1,62,62,1
0.38,1e-8,2.154435e-03,7101,40000,319,319,3.660013e+06,7.892781e-03,2.888768e+04,1,1,62,62,1
0.38,1e-7,4.641589e-03,7101,40000,319,319,3.253974e+06,8.877661e-03,2.888768e+04,1,1,60,60,1
0.38,1e-6,1.000000e-02,7101,39779,319,318,1.576492e+06,1.832403e-02,2.888768e+04,1,1,56,56,1
0.38,1e-5,2.154435e-02,7101,15824,319,318,3.568819e+05,8.094466e-02,2.888768e+04,1,1,56,56,1
0.26,1e-9,1.000000e-03,7101,40000,691,682,3.780670e+06,6.073379e-03,2.296144e+04,1,1,117,117,1
0.26,1e-8,2.154435e-03,7101,40000,691,688,3.717659e+06,6.176317e-03,2.296144e+04,1,1,117,117,1
0.26,1e-7,4.641589e-03,7101,40000,692,682,3.165706e+06,7.253182e-03,2.296144e+04,1,1,117,117,1
0.26,1e-6,1.000000e-02,7101,33575,691,689,1.305819e+06,1.758393e-02,2.296144e+04,1,1,115,115,1
0.26,1e-5,2.154435e-02,7101,14962,691,686,2.723114e+05,8.432052e-02,2.296144e+04,1,1,118,118,1
