rung_vf,contrast,density_min,is_negctrl,nx,ny,nz,solid_baseline,solid_variant,changed_voxels,frac_changed,margin_baseline,margin_variant,margin_sign,accepted_baseline,accepted_variant,compliance_variant
0.68,1e-8,2.154435e-03,1,16,8,16,1320,1320,0,0.000000,99.119919,99.077937,-1,1,1,0.216213
0.68,1e-7,4.641589e-03,0,16,8,16,1320,1320,4,0.003030,99.119919,99.128687,1,1,1,0.216457
0.68,1e-6,1.000000e-02,0,16,8,16,1320,1312,12,0.009091,99.119919,99.309635,1,1,1,0.216931
0.68,1e-5,2.154435e-02,0,16,8,16,1320,1304,20,0.015152,99.119919,99.232832,1,1,1,0.218116
0.52,1e-8,2.154435e-03,1,16,8,16,1012,1010,2,0.001976,69.389205,68.753607,-1,1,1,0.320075
0.52,1e-7,4.641589e-03,0,16,8,16,1012,1008,4,0.003953,69.389205,67.145575,-1,1,1,0.320923
0.52,1e-6,1.000000e-02,0,16,8,16,1012,998,18,0.017787,69.389205,67.550143,-1,1,1,0.322333
0.52,1e-5,2.154435e-02,0,16,8,16,1012,990,54,0.053360,69.389205,67.224006,-1,1,1,0.325442
0.38,1e-8,2.154435e-03,1,16,8,16,740,738,38,0.051351,37.855148,38.170250,1,1,1,0.536549
0.38,1e-7,4.641589e-03,0,16,8,16,740,740,36,0.048649,37.855148,38.152603,1,1,1,0.539493
0.38,1e-6,1.000000e-02,0,16,8,16,740,732,8,0.010811,37.855148,36.408977,-1,1,1,0.552107
0.38,1e-5,2.154435e-02,0,16,8,16,740,716,76,0.102703,37.855148,30.467730,-1,1,1,0.558523
0.26,1e-8,2.154435e-03,1,16,8,16,504,504,0,0.000000,24.998811,24.525955,-1,1,1,0.915506
0.26,1e-7,4.641589e-03,0,16,8,16,504,502,2,0.003968,24.998811,23.872974,-1,1,1,0.923405
0.26,1e-6,1.000000e-02,0,16,8,16,504,490,14,0.027778,24.998811,22.264359,-1,1,1,0.942663
0.26,1e-5,2.154435e-02,0,16,8,16,504,482,26,0.051587,24.998811,20.364745,-1,1,1,0.985687
