target_vf,vpc,octet_r_mm,rho_measured,rho_analytic,vox_per_strut,C11,C12,C44,E100_MPa,zener,drift_vs_ref_pct,ndof,ndof_active,cg_iters,asm_ms,solve_ms,peak_rss_mb,trustworthy
0.050,48,0.227026,0.05613,0.05496,4.359,42.9866,21.0666,19.0558,29.1293,1.7387,+16.93,331776,30588,223,1169,17995,2116.2,0
0.050,64,0.224397,0.04541,0.05369,5.745,33.1226,16.5098,15.1860,22.1389,1.8282,-11.13,786432,56118,304,1346,37478,2116.2,0
0.050,96,0.234375,0.05511,0.05857,9.000,41.3375,20.3608,18.5724,27.8991,1.7708,+12.00,2654208,196908,465,9760,280503,2116.2,0
0.050,128,0.223545,0.05047,0.05329,11.446,37.0649,18.3510,16.8552,24.9110,1.8014,+0.00,6291456,401394,579,10527,532766,2116.2,1
0.060,48,0.260417,0.05613,0.07231,5.000,42.9866,21.0666,19.0558,29.1293,1.7387,-10.86,331776,30588,223,597,10175,2116.2,0
0.060,64,0.250122,0.06033,0.06671,6.403,46.2090,22.6698,20.5550,31.2865,1.7465,-4.26,786432,69132,299,1935,63584,2116.2,0
0.060,96,0.256481,0.06181,0.07014,9.849,46.8973,23.0998,21.0539,31.6509,1.7694,-3.14,2654208,214044,440,11412,272247,2116.2,0
0.060,128,0.255404,0.06355,0.06956,13.077,48.3025,23.7203,21.6214,32.6783,1.7591,+0.00,6291456,493434,578,15248,680112,2116.2,1
0.080,48,0.299196,0.09505,0.09545,5.745,79.1299,38.1537,34.1013,54.3063,1.6644,+23.36,331776,46812,219,1082,14712,2116.2,0
0.080,64,0.294915,0.08719,0.09274,7.550,70.5337,34.3615,30.9061,48.0215,1.7088,+9.09,786432,94860,294,2464,45859,2116.2,0
0.080,96,0.288816,0.07587,0.08894,11.091,59.7405,29.1649,26.3600,40.6057,1.7242,-7.76,2654208,258780,462,8468,210151,2116.2,0
0.080,128,0.292969,0.08109,0.09152,15.000,64.4784,31.2998,28.2686,44.0211,1.7040,+0.00,6291456,612402,615,32123,873657,2116.2,1
0.100,48,0.333496,0.10308,0.11859,6.403,88.2389,41.9795,37.3012,61.1724,1.6127,+8.68,331776,49260,222,1086,13459,2116.2,0
0.100,64,0.333750,0.10120,0.11877,8.544,85.3294,40.7427,36.3705,58.9957,1.6315,+4.81,786432,107010,289,2473,41603,2116.2,0
0.100,96,0.332478,0.10116,0.11787,12.767,84.6446,40.4689,36.2206,58.4646,1.6398,+3.87,2654208,328800,431,8602,289884,2116.2,0
0.100,128,0.332031,0.09882,0.11755,17.000,81.7907,39.2954,35.2762,56.2861,1.6602,+0.00,6291456,724416,577,28391,651126,2116.2,1
0.120,48,0.371949,0.13202,0.14752,7.141,118.9313,55.7718,49.5441,83.3224,1.5689,+16.34,331776,62172,219,1340,15563,2116.2,0
0.120,64,0.355876,0.11716,0.13504,9.110,102.6494,48.4405,43.0041,71.5886,1.5866,-0.04,786432,122604,308,2879,48012,2116.2,1
0.120,96,0.361782,0.11872,0.13956,13.892,102.5581,48.6694,43.4926,71.2317,1.6142,-0.54,2654208,379386,435,10530,219668,2116.2,1
0.120,128,0.363827,0.11908,0.14115,18.628,102.9136,48.7092,43.5388,71.6177,1.6065,+0.00,6291456,863166,577,67615,1095550,2116.2,1
0.148,48,0.400060,0.14764,0.17066,7.681,136.9621,64.0645,56.6726,96.1291,1.5549,+1.53,331776,66924,220,1720,16649,2124.2,1
0.148,64,0.404066,0.14856,0.17409,10.344,138.8070,63.8773,56.4913,98.5443,1.5078,+4.08,786432,147498,288,3813,53406,2124.2,0
0.148,96,0.405949,0.14368,0.17572,15.588,130.5263,61.0182,54.3114,91.6505,1.5627,-3.20,2654208,451266,435,13281,288094,2124.2,0
0.148,128,0.410156,0.14641,0.17938,21.000,134.1102,62.2155,55.3429,94.6781,1.5396,+0.00,6291456,1041030,580,33259,889261,2124.2,1
