target_vf,vpc,octet_r_mm,rho_measured,rho_analytic,analytic_over_pct,vox_per_strut
0.050,48,0.22355,0.04724,0.10657,125.61,4.292
0.050,64,0.22355,0.04541,0.10657,134.68,5.723
0.050,96,0.22355,0.04735,0.10657,125.09,8.584
0.050,128,0.22355,0.05047,0.10657,111.16,11.446
0.060,48,0.25540,0.05613,0.13911,147.82,4.904
0.060,64,0.25540,0.06033,0.13911,130.57,6.538
0.060,96,0.25540,0.05967,0.13911,133.14,9.808
0.060,128,0.25540,0.05981,0.13911,132.59,13.077
0.070,48,0.27134,0.07812,0.15701,100.97,5.210
0.070,64,0.27134,0.06519,0.15701,140.86,6.946
0.070,96,0.27134,0.07049,0.15701,122.73,10.419
0.070,128,0.27134,0.06968,0.15701,125.34,13.892
0.080,48,0.29297,0.07812,0.18304,134.29,5.625
0.080,64,0.29297,0.07767,0.18304,135.67,7.500
0.080,96,0.29297,0.08021,0.18304,128.19,11.250
0.080,128,0.29297,0.07927,0.18304,130.92,15.000
0.100,48,0.33203,0.09505,0.23511,147.34,6.375
0.100,64,0.33203,0.09653,0.23511,143.56,8.500
0.100,96,0.33203,0.09907,0.23511,137.32,12.750
0.100,128,0.33203,0.09882,0.23511,137.92,17.000
0.120,48,0.36383,0.11111,0.28229,154.06,6.985
0.120,64,0.36383,0.12201,0.28229,131.37,9.314
0.120,96,0.36383,0.12070,0.28229,133.89,13.971
0.120,128,0.36383,0.11908,0.28229,137.07,18.628
0.148,48,0.41016,0.15524,0.35876,131.10,7.875
0.148,64,0.41016,0.14856,0.35876,141.49,10.500
0.148,96,0.41016,0.14957,0.35876,139.86,15.750
0.148,128,0.41016,0.14641,0.35876,145.04,21.000
0.200,48,0.48593,0.20414,0.50357,146.68,9.330
0.200,64,0.48593,0.20544,0.50357,145.11,12.440
0.200,96,0.48593,0.20117,0.50357,150.32,18.660
0.200,128,0.48593,0.19956,0.50357,152.34,24.880
0.300,48,0.61111,0.30360,0.79643,162.33,11.733
0.300,64,0.61111,0.30264,0.79643,163.16,15.644
0.300,96,0.61111,0.29891,0.79643,166.45,23.467
0.300,128,0.61111,0.29956,0.79643,165.86,31.289
0.500,48,0.84708,0.49732,1.53022,207.69,16.264
0.500,64,0.84708,0.50223,1.53022,204.69,21.685
0.500,96,0.84708,0.49684,1.53022,207.99,32.528
0.500,128,0.84708,0.50223,1.53022,204.69,43.370
0.591,48,0.95743,0.59093,1.95488,230.81,18.383
0.591,64,0.95743,0.58914,1.95488,231.82,24.510
0.591,96,0.95743,0.59052,1.95488,231.04,36.765
0.591,128,0.95743,0.59274,1.95488,229.80,49.020
0.620,48,0.99033,0.61509,2.09155,240.04,19.014
0.620,64,0.99033,0.62122,2.09155,236.69,25.353
0.620,96,0.99033,0.62227,2.09155,236.12,38.029
0.620,128,0.99033,0.62069,2.09155,236.97,50.705
0.650,48,1.02627,0.65502,2.24612,242.91,19.704
0.650,64,1.02627,0.64987,2.24612,245.62,26.273
0.650,96,1.02627,0.65182,2.24612,244.59,39.409
0.650,128,1.02627,0.64916,2.24612,246.00,52.545
0.700,48,1.08693,0.69300,2.51946,263.56,20.869
0.700,64,1.08693,0.70062,2.51946,259.60,27.825
0.700,96,1.08693,0.70039,2.51946,259.72,41.738
0.700,128,1.08693,0.70003,2.51946,259.91,55.651
0.750,48,1.15532,0.75210,2.84649,278.47,22.182
0.750,64,1.15532,0.75238,2.84649,278.33,29.576
0.750,96,1.15532,0.74692,2.84649,281.10,44.364
0.750,128,1.15532,0.75010,2.84649,279.48,59.152
0.800,48,1.23078,0.79753,3.23047,305.06,23.631
0.800,64,1.23078,0.80038,3.23047,303.62,31.508
0.800,96,1.23078,0.80135,3.23047,303.13,47.262
0.800,128,1.23078,0.80054,3.23047,303.53,63.016
0.850,48,1.31325,0.85120,3.67791,332.08,25.214
0.850,64,1.31325,0.85095,3.67791,332.21,33.619
0.850,96,1.31325,0.84883,3.67791,333.29,50.429
0.850,128,1.31325,0.85031,3.67791,332.54,67.238
0.900,48,1.42605,0.90466,4.33685,379.39,27.380
0.900,64,1.42605,0.90005,4.33685,381.84,36.507
0.900,96,1.42605,0.89939,4.33685,382.20,54.760
0.900,128,1.42605,0.90063,4.33685,381.54,73.014
