route,cell_idx,z0,z1,height_mm,rho,strut_diam_mm,printable
DYADIC,0,0.000,4.000,4.0000,0.5750,1.4530,yes
DYADIC,1,4.000,8.000,4.0000,0.5250,1.4530,yes
DYADIC,2,8.000,12.000,4.0000,0.4750,1.3744,yes
DYADIC,3,12.000,20.000,8.0000,0.4000,1.3824,yes
DYADIC,4,20.000,28.000,8.0000,0.3000,1.0954,yes
DYADIC,5,28.000,44.000,16.0000,0.1500,0.9497,yes
CONFORMAL,0,0.000,2.486,2.4862,0.5845,1.2500,yes
CONFORMAL,1,2.486,5.517,3.0307,0.5500,1.3146,yes
CONFORMAL,2,5.517,9.211,3.6945,0.5079,1.3067,yes
CONFORMAL,3,9.211,13.715,4.5036,0.4567,1.3153,yes
CONFORMAL,4,13.715,19.205,5.4899,0.3943,1.2869,yes
CONFORMAL,5,19.205,25.897,6.6923,0.3181,1.1409,yes
CONFORMAL,6,25.897,34.055,8.1580,0.2253,1.0244,yes
CONFORMAL,7,34.055,44.000,9.9448,0.1122,0.6471,marginal
