target_vf,rho,vpc,vox_per_strut,cells,E_periodic_MPa,E_periodic_ref_MPa,E_library_MPa,model_err_pct,res_drift_pct,E_resolved_finite_MPa,fs_err_pct,finite_gap_pct,clamped,resolved_dof,resolved_ms,verdict_ref
0.15,0.11914,16,2.560,2,78.4429,96.1291,96.1291,22.55,-18.40,77.9718,-0.60,23.29,1,107811,25975,NO-GO
0.15,0.12891,32,5.121,2,82.1918,96.1291,96.1291,16.96,-14.50,-1.0000,0.00,0.00,1,0,0,NO-GO
0.15,0.14764,48,7.681,2,96.1291,96.1291,96.1310,0.00,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.20,0.22070,16,3.037,2,205.9208,155.8038,178.1795,-13.47,32.17,204.0457,-0.91,12.68,0,107811,43538,NO-GO
0.20,0.19775,32,6.074,2,151.6865,155.8038,149.0650,-1.73,-2.64,-1.0000,0.00,0.00,0,0,0,GO
0.20,0.20414,48,9.110,2,155.8038,155.8038,155.8015,-0.00,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.25,0.28516,16,3.543,2,280.5832,213.6694,268.6889,-4.24,31.32,277.2459,-1.19,3.09,0,107811,34085,GO
0.25,0.23755,32,7.087,2,201.0773,213.6694,200.9147,-0.08,-5.89,-1.0000,0.00,0.00,0,0,0,GO
0.25,0.24624,48,10.630,2,213.6694,213.6694,212.6356,-0.48,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.30,0.28516,16,3.902,2,280.5832,286.4152,268.6889,-4.24,-2.04,277.2459,-1.19,3.09,0,107811,10103,GO
0.30,0.31299,32,7.803,2,322.8574,286.4152,318.1082,-1.47,12.72,-1.0000,0.00,0.00,0,0,0,GO
0.30,0.29731,48,11.705,2,286.4152,286.4152,286.4138,-0.00,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.35,0.33789,16,4.359,2,395.9383,378.9139,368.3784,-6.96,4.49,393.4785,-0.62,6.38,0,107811,11127,GO
0.35,0.35327,32,8.718,2,419.2691,378.9139,399.3958,-4.74,10.65,-1.0000,0.00,0.00,0,0,0,GO
0.35,0.34426,48,13.077,2,378.9139,378.9139,381.2182,0.61,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.40,0.39062,16,4.726,2,571.3183,489.2200,474.6527,-16.92,16.78,564.1704,-1.25,15.87,0,107811,11832,NO-GO
0.40,0.41577,32,9.452,2,533.2477,489.2200,542.0727,1.65,9.00,-1.0000,0.00,0.00,0,0,0,GO
0.40,0.39786,48,14.177,2,489.2200,489.2200,489.2177,-0.00,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.45,0.42188,16,5.022,2,610.4222,629.8145,560.0695,-8.25,-3.08,601.1302,-1.52,6.83,0,107811,13179,GO
0.45,0.46265,32,10.044,2,685.1633,629.8145,680.1597,-0.73,8.79,-1.0000,0.00,0.00,0,0,0,GO
0.45,0.45067,48,15.067,2,629.8145,629.8145,644.8904,2.39,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.50,0.51562,16,5.447,2,883.8699,772.3382,843.2878,-4.59,14.44,875.9982,-0.89,3.73,0,107811,10920,GO
0.50,0.48462,32,10.893,2,762.3831,772.3382,744.8086,-2.31,-1.29,-1.0000,0.00,0.00,0,0,0,GO
0.50,0.49732,48,16.340,2,772.3382,772.3382,782.1711,1.27,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.55,0.51562,16,5.745,2,883.8699,917.9129,843.2878,-4.59,-3.71,875.9982,-0.89,3.73,0,107811,19294,GO
0.55,0.55811,32,11.489,2,998.5303,917.9129,1001.9607,0.34,8.78,-1.0000,0.00,0.00,0,0,0,GO
0.55,0.53841,48,17.234,2,917.9129,917.9129,928.4033,1.14,0.00,-1.0000,0.00,0.00,0,0,0,GO
0.60,0.59766,16,6.137,2,1253.6307,1163.4917,1124.5501,-10.30,7.75,1240.3926,-1.06,9.34,1,107811,38135,NO-GO
0.60,0.58667,32,12.275,2,1125.7890,1163.4917,1108.6407,-1.52,-3.24,-1.0000,0.00,0.00,0,0,0,GO
0.60,0.60004,48,18.412,2,1163.4917,1163.4917,1124.5501,-3.35,0.00,-1.0000,0.00,0.00,1,0,0,GO
