design,layer,cell_rho,eps_resolved,eps_homog,err_pct
graded,0,0.45370,2.14319,1.81360,18.17
graded,1,0.45370,2.14407,1.81360,18.22
graded,2,0.52315,1.66946,1.38162,20.83
graded,3,0.81944,0.57049,1.07677,-47.02
graded,4,0.96296,0.39490,1.07677,-63.33
graded,5,0.99537,0.36241,0.27921,29.80
graded,6,1.00000,0.35779,0.27921,28.14
graded,7,1.00000,0.35768,0.27921,28.10
hard,0,0.45370,1.69550,1.73317,-2.17
hard,1,0.45370,1.69615,1.73317,-2.14
hard,2,0.45370,1.69511,1.73317,-2.20
hard,3,0.45370,1.77610,1.73317,2.48
hard,4,1.00000,0.28762,0.26683,7.79
hard,5,1.00000,0.28327,0.26683,6.16
hard,6,1.00000,0.28315,0.26683,6.12
hard,7,1.00000,0.28310,0.26683,6.10
