kappa,idx,lambda
1e9,0,-3.550030e-10
1e9,1,-1.398384e-11
1e9,2,-2.382276e-13
1e9,3,2.736926e-15
1e9,4,5.364905e-14
1e9,5,9.341739e-13
1e9,6,2.231848e-03
1e9,7,3.964583e-03
1e9,8,8.368934e-03
1e9,9,1.814608e-02
1e9,10,2.019947e-02
1e9,11,2.529540e-02
1e9,12,4.110413e-02
1e9,13,6.498482e-02
1e9,14,1.077069e-01
1e9,15,1.124519e-01
1e9,16,1.934865e-01
1e9,17,3.127558e-01
1e9,18,3.269435e-01
1e9,19,3.441490e-01
1e9,20,3.524414e-01
1e9,21,3.818200e-01
1e9,22,4.686138e-01
1e9,23,4.894982e-01
1e9,24,4.995264e-01
1e9,25,5.207149e-01
1e9,26,5.830773e-01
1e9,27,5.942484e-01
1e9,28,5.981077e-01
1e9,29,6.165923e-01
1e9,30,6.194589e-01
1e9,31,6.236265e-01
1e9,32,6.373362e-01
1e9,33,6.822491e-01
1e9,34,6.954618e-01
1e9,35,6.960797e-01
1e9,36,6.971543e-01
1e9,37,7.059603e-01
1e9,38,7.078298e-01
1e9,39,7.211320e-01
1e+03,0,-4.763764e-13
1e+03,1,-8.210594e-14
1e+03,2,9.126430e-14
1e+03,3,2.028183e-13
1e+03,4,1.218180e-11
1e+03,5,1.236781e-10
1e+03,6,1.028707e-02
1e+03,7,1.227098e-02
1e+03,8,2.684051e-02
1e+03,9,2.865005e-02
1e+03,10,5.559591e-02
1e+03,11,8.407438e-02
1e+03,12,3.252753e-01
1e+03,13,3.452751e-01
1e+03,14,4.298021e-01
1e+03,15,4.826231e-01
1e+03,16,5.141677e-01
1e+03,17,5.326574e-01
1e+03,18,5.457422e-01
1e+03,19,5.559958e-01
1e+03,20,5.730513e-01
1e+03,21,5.927484e-01
1e+03,22,6.180796e-01
1e+03,23,6.215328e-01
1e+03,24,6.271546e-01
1e+03,25,6.373265e-01
1e+03,26,6.464205e-01
1e+03,27,6.521589e-01
1e+03,28,6.605797e-01
1e+03,29,6.796690e-01
1e+03,30,6.826399e-01
1e+03,31,6.868333e-01
1e+03,32,6.892665e-01
1e+03,33,6.980947e-01
1e+03,34,7.020014e-01
1e+03,35,7.084506e-01
1e+03,36,7.109564e-01
1e+03,37,7.241367e-01
1e+03,38,7.294428e-01
1e+03,39,7.366211e-01
1e+06,0,-1.286431e-11
1e+06,1,-1.010555e-12
1e+06,2,-3.300532e-15
1e+06,3,1.116645e-13
1e+06,4,1.602085e-13
1e+06,5,1.705386e-10
1e+06,6,1.173853e-05
1e+06,7,1.496755e-05
1e+06,8,4.382890e-05
1e+06,9,5.537423e-05
1e+06,10,1.534319e-04
1e+06,11,1.580941e-04
1e+06,12,1.859660e-02
1e+06,13,2.708877e-02
1e+06,14,4.861761e-02
1e+06,15,5.622691e-02
1e+06,16,8.022382e-02
1e+06,17,1.044573e-01
1e+06,18,1.189453e-01
1e+06,19,1.465351e-01
1e+06,20,1.994149e-01
1e+06,21,2.599947e-01
1e+06,22,3.128501e-01
1e+06,23,4.013392e-01
1e+06,24,4.912460e-01
1e+06,25,5.202558e-01
1e+06,26,5.332552e-01
1e+06,27,5.503694e-01
1e+06,28,5.589646e-01
1e+06,29,5.914700e-01
1e+06,30,6.109942e-01
1e+06,31,6.138678e-01
1e+06,32,6.223041e-01
1e+06,33,6.362394e-01
1e+06,34,6.765470e-01
1e+06,35,6.793739e-01
1e+06,36,6.882492e-01
1e+06,37,6.947537e-01
1e+06,38,6.986481e-01
1e+06,39,7.151937e-01
1e+09,0,-3.244635e-11
1e+09,1,-5.943707e-12
1e+09,2,-4.228937e-14
1e+09,3,6.351853e-14
1e+09,4,2.536521e-13
1e+09,5,1.860554e-10
1e+09,6,1.256799e-08
1e+09,7,1.557583e-08
1e+09,8,4.973639e-08
1e+09,9,6.235061e-08
1e+09,10,1.783466e-07
1e+09,11,2.291461e-07
1e+09,12,2.235511e-03
1e+09,13,3.966603e-03
1e+09,14,8.374153e-03
1e+09,15,1.815691e-02
1e+09,16,2.019588e-02
1e+09,17,2.529729e-02
1e+09,18,4.111045e-02
1e+09,19,6.498310e-02
1e+09,20,1.076952e-01
1e+09,21,1.124535e-01
1e+09,22,1.934861e-01
1e+09,23,3.127533e-01
1e+09,24,3.441461e-01
1e+09,25,4.894984e-01
1e+09,26,5.255805e-01
1e+09,27,5.503556e-01
1e+09,28,5.889895e-01
1e+09,29,5.914665e-01
1e+09,30,5.981067e-01
1e+09,31,6.138536e-01
1e+09,32,6.212413e-01
1e+09,33,6.222867e-01
1e+09,34,6.765387e-01
1e+09,35,6.793683e-01
1e+09,36,6.882447e-01
1e+09,37,6.954905e-01
1e+09,38,6.962855e-01
1e+09,39,6.986410e-01
1e+12,0,-3.244635e-11
1e+12,1,-5.943707e-12
1e+12,2,-4.228937e-14
1e+12,3,6.351853e-14
1e+12,4,2.536521e-13
1e+12,5,1.860554e-10
1e+12,6,1.256799e-08
1e+12,7,1.557583e-08
1e+12,8,4.973639e-08
1e+12,9,6.235061e-08
1e+12,10,1.783466e-07
1e+12,11,2.291461e-07
1e+12,12,2.235511e-03
1e+12,13,3.966603e-03
1e+12,14,8.374153e-03
1e+12,15,1.815691e-02
1e+12,16,2.019588e-02
1e+12,17,2.529729e-02
1e+12,18,4.111045e-02
1e+12,19,6.498310e-02
1e+12,20,1.076952e-01
1e+12,21,1.124535e-01
1e+12,22,1.934861e-01
1e+12,23,3.127533e-01
1e+12,24,3.441461e-01
1e+12,25,4.894984e-01
1e+12,26,5.255805e-01
1e+12,27,5.503556e-01
1e+12,28,5.889895e-01
1e+12,29,5.914665e-01
1e+12,30,5.981067e-01
1e+12,31,6.138536e-01
1e+12,32,6.212413e-01
1e+12,33,6.222867e-01
1e+12,34,6.765387e-01
1e+12,35,6.793683e-01
1e+12,36,6.882447e-01
1e+12,37,6.954905e-01
1e+12,38,6.962855e-01
1e+12,39,6.986410e-01
