gap,sub,n,ref_below_a,ref_below_b,subspace_change,rho_L2_change
iter30->31,0,2700,0,0,0.00000,0.00163
iter30->31,2,3300,7,7,0.00000,0.00163
iter30->31,4,3300,7,7,0.00003,0.00163
iter30->31,6,2970,0,0,0.00000,0.00163
iter30->31,8,3630,7,7,0.00000,0.00163
iter30->31,10,3630,6,6,0.00000,0.00163
iter30->31,12,2700,0,0,0.00000,0.00163
iter30->31,14,3300,7,7,0.00000,0.00163
iter30->31,16,3300,7,7,0.00001,0.00163
iter30->31,18,2970,5,5,0.00138,0.00163
iter30->31,20,3630,6,6,0.00000,0.00163
iter30->31,22,3630,6,6,0.00000,0.00163
iter30->31,24,3267,6,6,0.00000,0.00163
iter30->31,26,3993,6,6,0.00000,0.00163
iter30->31,28,3993,6,6,0.00000,0.00163
iter30->31,30,2970,6,6,0.00001,0.00163
iter30->31,32,3630,6,6,0.00000,0.00163
iter30->31,34,3630,6,6,0.00000,0.00163
iter30->31,36,2970,0,0,0.00000,0.00163
iter30->31,38,3630,12,12,0.00003,0.00163
iter30->31,40,3630,6,6,0.00000,0.00163
iter30->31,42,3267,0,0,0.00000,0.00163
iter30->31,44,3993,6,6,0.00000,0.00163
iter30->31,46,3993,6,6,0.00000,0.00163
iter30->31,48,2970,0,0,0.00000,0.00163
iter30->31,50,3630,12,12,0.00002,0.00163
iter30->31,52,3630,6,6,0.00000,0.00163
iter30->31,54,2970,0,0,0.00000,0.00163
iter30->31,56,3630,6,6,0.00000,0.00163
iter30->31,58,3630,6,6,0.00000,0.00163
iter30->31,60,3267,0,0,0.00000,0.00163
iter30->31,62,3993,6,6,0.00000,0.00163
iter30->31,64,3993,6,6,0.00000,0.00163
iter30->31,66,2970,0,0,0.00000,0.00163
iter30->31,68,3630,6,6,0.00000,0.00163
iter30->31,70,3630,6,6,0.00000,0.00163
iter30->31,72,2970,2,2,0.00001,0.00163
iter30->31,74,3630,6,6,0.00000,0.00163
iter30->31,76,3630,6,6,0.00000,0.00163
iter30->31,78,3267,1,1,0.00000,0.00163
iter30->31,80,3993,6,6,0.00000,0.00163
iter30->31,82,3993,7,7,0.00003,0.00163
iter30->31,84,2970,2,2,0.00001,0.00163
iter30->31,86,3630,6,6,0.00000,0.00163
iter30->31,88,3630,6,6,0.00000,0.00163
iter30->31,90,2700,0,0,0.00071,0.00163
iter30->31,92,3300,6,6,0.00000,0.00163
iter30->31,94,3300,6,6,0.00000,0.00163
iter30->31,96,2970,0,0,0.00000,0.00163
iter30->31,98,3630,6,6,0.00000,0.00163
iter30->31,100,3630,6,6,0.00000,0.00163
iter30->31,102,2700,0,0,0.00046,0.00163
iter30->31,104,3300,6,6,0.00000,0.00163
iter30->31,106,3300,6,6,0.00000,0.00163
iter30->35,0,2700,0,0,0.00001,0.00745
iter30->35,2,3300,7,7,0.00001,0.00745
iter30->35,4,3300,7,7,0.00003,0.00745
iter30->35,6,2970,0,0,0.00013,0.00745
iter30->35,8,3630,7,7,0.00001,0.00745
iter30->35,10,3630,6,6,0.00000,0.00745
iter30->35,12,2700,0,0,0.00001,0.00745
iter30->35,14,3300,7,7,0.00001,0.00745
iter30->35,16,3300,7,7,0.00002,0.00745
iter30->35,18,2970,5,6,0.99993,0.00745
