tag,core,sub,n,iters,kept,ref_below,captured,worst_capture
BASIS,8,0,2700,47,0,0,0,1.00000
BASIS,8,16,2970,46,0,0,0,1.00000
BASIS,8,32,2970,99,6,6,6,1.00000
BASIS,8,48,3267,101,6,6,6,1.00000
BASIS,8,64,2970,41,0,0,0,1.00000
BASIS,8,80,3267,40,0,0,0,1.00000
BASIS,8,96,2970,42,0,0,0,1.00000
BASIS,8,112,3267,41,0,0,0,1.00000
BASIS,8,128,2970,40,0,0,0,1.00000
BASIS,8,144,3267,41,0,0,0,1.00000
BASIS,8,160,2970,799,0,0,0,1.00000
BASIS,8,176,3267,90,0,0,0,1.00000
BASIS,8,192,2970,41,1,1,1,1.00000
BASIS,8,208,3267,44,0,0,0,1.00000
BASIS,8,224,2700,41,0,0,0,1.00000
BASIS,8,240,2970,41,0,0,0,1.00000
BASIS,10,0,4752,799,0,0,0,1.00000
BASIS,10,12,6084,65,6,6,6,0.99999
BASIS,10,24,1872,46,6,6,6,1.00000
BASIS,10,36,6591,52,6,6,6,1.00000
BASIS,10,48,3042,53,6,6,6,1.00000
BASIS,10,60,6084,59,6,6,6,1.00000
BASIS,10,72,6591,124,6,6,6,1.00000
BASIS,10,84,5148,46,0,0,0,1.00000
BASIS,10,96,6591,120,6,6,6,1.00000
BASIS,10,108,2028,50,6,6,6,1.00000
BASIS,10,120,6591,56,6,6,6,0.99999
BASIS,10,132,3042,53,6,6,6,1.00000
BASIS,10,144,6084,58,6,6,6,1.00000
BASIS,10,156,6591,54,6,6,6,0.99999
BASIS,10,168,2376,44,1,1,1,1.00000
BASIS,10,180,3042,52,6,6,6,1.00000
BASIS,10,192,936,44,6,6,6,1.00000
