tag,fixture,rung,contrast,core,ov,nsub,nsub_solved,Ntot,frac_fine_pct,modes_min,modes_med,modes_max,basis_MB,coarseOpCeil_MB,Nt_8M,basis_MB_8M,modes_per_sub
G1,cantilever,0.68,1e+09,8,1,108,108,579,0.3215,0,6,7,15.627,2.558,27137,732.4,5.4
G1,cantilever,0.52,1e+09,8,1,108,108,574,0.3188,0,6,6,15.506,2.514,26903,726.8,5.3
G1,cantilever,0.38,1e+09,8,1,108,108,602,0.3343,0,6,12,16.303,2.765,28215,764.1,5.6
G1,cantilever,0.26,1e+09,8,1,108,108,633,0.3515,0,6,12,17.113,3.057,29668,802.1,5.9
DECOMP,cantilever,0.68,1e+09,6,1,256,256,1414,0.7852,0,6,12,21.201,15.254,66273,993.7,5.5
DECOMP,cantilever,0.68,1e+09,8,1,108,108,579,0.3215,0,6,7,15.627,2.558,27137,732.4,5.4
DECOMP,cantilever,0.68,1e+09,10,1,75,75,394,0.2188,0,6,7,13.811,1.184,18466,647.3,5.3
DECOMP,cantilever,0.68,1e+09,12,1,32,32,178,0.0988,0,6,12,11.930,0.242,8342,559.1,5.6
CONTRAST,cantilever,0.52,1e+09,8,1,108,108,574,0.3188,0,6,6,15.506,2.514,26903,726.8,5.3
CONTRAST,cantilever,0.52,1e+06,8,1,108,108,571,0.3171,0,6,6,15.436,2.487,26762,723.5,5.3
G4soft,cantilever,0.38,1e+09,8,1,108,108,602,0.3343,0,6,12,16.303,2.765,28215,764.1,5.6
G4voidcut,cantilever,0.38,1e+09,8,1,108,90,507,0.2815,0,6,12,8.384,1.961,23762,392.9,5.6
G4rhomin,cantilever,0.38,1e+06,8,1,108,108,584,0.3243,0,6,10,15.830,2.602,27371,741.9,5.4
DILUTE,ultradilute,0.68,1e+09,8,1,144,144,859,0.3614,0,6,9,23.514,5.630,30500,834.9,6.0
DILUTE,ultradilute,0.26,1e+09,8,1,144,144,857,0.3605,0,6,9,23.456,5.603,30429,832.9,6.0
