tag,fixture,rung,contrast,core,sub,ndof,solved,nmodes,ncomp,solid_frac,lam6,lam7
G1,cantilever,0.68,1e+09,8,0,2700,1,0,1,1.000,2.7819e-02,3.8296e-02
G1,cantilever,0.68,1e+09,8,1,3300,1,6,1,0.999,1.5603e-02,2.0289e-02
G1,cantilever,0.68,1e+09,8,2,3300,1,6,1,0.946,1.4276e-02,2.0833e-02
G1,cantilever,0.68,1e+09,8,3,3300,1,6,1,0.814,9.0386e-03,1.2862e-02
G1,cantilever,0.68,1e+09,8,4,3300,1,6,1,0.726,2.4975e-03,4.1032e-03
G1,cantilever,0.68,1e+09,8,5,3000,1,6,1,0.986,1.4548e-02,1.9778e-02
G1,cantilever,0.68,1e+09,8,6,2970,1,0,1,1.000,2.5680e-02,3.4328e-02
G1,cantilever,0.68,1e+09,8,7,3630,1,6,1,1.000,1.4155e-02,1.8525e-02
G1,cantilever,0.68,1e+09,8,8,3630,1,6,1,1.000,1.4155e-02,1.8525e-02
G1,cantilever,0.68,1e+09,8,9,3630,1,6,1,1.000,1.4268e-02,1.8618e-02
G1,cantilever,0.68,1e+09,8,10,3630,1,6,1,1.000,1.3557e-02,1.6042e-02
G1,cantilever,0.68,1e+09,8,11,3300,1,6,1,1.000,1.4406e-02,1.9720e-02
G1,cantilever,0.68,1e+09,8,12,2700,1,0,1,1.000,2.7819e-02,3.8296e-02
G1,cantilever,0.68,1e+09,8,13,3300,1,6,1,0.999,1.5603e-02,2.0289e-02
G1,cantilever,0.68,1e+09,8,14,3300,1,6,1,0.946,1.4276e-02,2.0833e-02
G1,cantilever,0.68,1e+09,8,15,3300,1,6,1,0.814,9.0386e-03,1.2862e-02
G1,cantilever,0.68,1e+09,8,16,3300,1,6,1,0.726,2.4975e-03,4.1032e-03
G1,cantilever,0.68,1e+09,8,17,3000,1,6,1,0.986,1.4548e-02,1.9778e-02
G1,cantilever,0.68,1e+09,8,18,2970,1,1,1,0.412,1.9791e-02,2.5953e-02
G1,cantilever,0.68,1e+09,8,19,3630,1,6,1,0.812,1.3302e-02,1.8036e-02
G1,cantilever,0.68,1e+09,8,20,3630,1,6,1,0.840,1.0615e-02,1.7498e-02
G1,cantilever,0.68,1e+09,8,21,3630,1,6,1,0.653,7.3169e-03,1.3869e-02
G1,cantilever,0.68,1e+09,8,22,3630,1,6,1,0.807,8.2774e-03,1.0414e-02
G1,cantilever,0.68,1e+09,8,23,3300,1,6,1,1.000,1.5544e-02,2.0081e-02
G1,cantilever,0.68,1e+09,8,24,3267,1,1,1,0.489,1.8240e-02,2.3261e-02
G1,cantilever,0.68,1e+09,8,25,3993,1,6,1,0.926,1.4056e-02,1.8309e-02
G1,cantilever,0.68,1e+09,8,26,3993,1,6,1,1.000,1.5152e-02,1.5152e-02
G1,cantilever,0.68,1e+09,8,27,3993,1,6,1,1.000,1.5221e-02,1.5223e-02
G1,cantilever,0.68,1e+09,8,28,3993,1,6,1,1.000,1.4942e-02,1.5775e-02
G1,cantilever,0.68,1e+09,8,29,3630,1,6,1,1.000,1.4246e-02,1.8676e-02
G1,cantilever,0.68,1e+09,8,30,2970,1,1,1,0.412,1.9791e-02,2.5953e-02
G1,cantilever,0.68,1e+09,8,31,3630,1,6,1,0.812,1.3302e-02,1.8036e-02
G1,cantilever,0.68,1e+09,8,32,3630,1,6,1,0.840,1.0615e-02,1.7498e-02
G1,cantilever,0.68,1e+09,8,33,3630,1,6,1,0.653,7.3169e-03,1.3869e-02
G1,cantilever,0.68,1e+09,8,34,3630,1,6,1,0.807,8.2774e-03,1.0414e-02
G1,cantilever,0.68,1e+09,8,35,3300,1,6,1,1.000,1.5544e-02,2.0081e-02
G1,cantilever,0.68,1e+09,8,36,2970,1,6,0,0.000,5.3758e-03,1.3614e-02
G1,cantilever,0.68,1e+09,8,37,3630,1,6,1,0.170,2.3707e-03,4.1717e-03
G1,cantilever,0.68,1e+09,8,38,3630,1,6,1,0.799,9.0140e-03,1.4445e-02
G1,cantilever,0.68,1e+09,8,39,3630,1,6,1,0.962,1.3426e-02,1.9747e-02
G1,cantilever,0.68,1e+09,8,40,3630,1,6,1,0.999,1.4484e-02,1.8890e-02
G1,cantilever,0.68,1e+09,8,41,3300,1,6,1,0.915,1.4709e-02,2.0345e-02
G1,cantilever,0.68,1e+09,8,42,3267,1,6,0,0.000,6.2455e-03,7.1163e-03
G1,cantilever,0.68,1e+09,8,43,3993,1,6,1,0.326,2.7698e-03,3.0224e-03
G1,cantilever,0.68,1e+09,8,44,3993,1,6,1,0.970,1.3931e-02,1.6900e-02
G1,cantilever,0.68,1e+09,8,45,3993,1,6,1,1.000,1.5152e-02,1.5152e-02
G1,cantilever,0.68,1e+09,8,46,3993,1,6,1,1.000,1.5152e-02,1.5152e-02
G1,cantilever,0.68,1e+09,8,47,3630,1,6,1,0.893,1.1922e-02,2.0762e-02
G1,cantilever,0.68,1e+09,8,48,2970,1,6,0,0.000,5.3758e-03,1.3614e-02
G1,cantilever,0.68,1e+09,8,49,3630,1,6,1,0.170,2.3707e-03,4.1717e-03
G1,cantilever,0.68,1e+09,8,50,3630,1,6,1,0.799,9.0140e-03,1.4445e-02
G1,cantilever,0.68,1e+09,8,51,3630,1,6,1,0.962,1.3426e-02,1.9747e-02
G1,cantilever,0.68,1e+09,8,52,3630,1,6,1,0.999,1.4484e-02,1.8890e-02
G1,cantilever,0.68,1e+09,8,53,3300,1,6,1,0.915,1.4709e-02,2.0345e-02
G1,cantilever,0.68,1e+09,8,54,2970,1,6,1,0.075,1.1316e-02,1.2049e-02
G1,cantilever,0.68,1e+09,8,55,3630,1,6,1,0.518,8.7516e-03,1.2749e-02
G1,cantilever,0.68,1e+09,8,56,3630,1,6,1,0.950,1.5864e-02,1.7629e-02
G1,cantilever,0.68,1e+09,8,57,3630,1,6,1,1.000,1.4158e-02,1.8529e-02
G1,cantilever,0.68,1e+09,8,58,3630,1,6,1,0.950,1.6851e-02,1.7237e-02
G1,cantilever,0.68,1e+09,8,59,3300,1,6,1,0.377,1.0565e-02,1.9350e-02
G1,cantilever,0.68,1e+09,8,60,3267,1,4,1,0.116,1.0192e-02,1.1187e-02
G1,cantilever,0.68,1e+09,8,61,3993,1,6,1,0.630,8.6269e-03,1.2753e-02
G1,cantilever,0.68,1e+09,8,62,3993,1,6,1,0.990,1.5611e-02,1.6357e-02
G1,cantilever,0.68,1e+09,8,63,3993,1,6,1,1.000,1.5152e-02,1.5152e-02
G1,cantilever,0.68,1e+09,8,64,3993,1,6,1,0.922,1.3181e-02,1.8388e-02
G1,cantilever,0.68,1e+09,8,65,3630,1,6,1,0.318,7.8945e-03,1.4412e-02
G1,cantilever,0.68,1e+09,8,66,2970,1,6,1,0.075,1.1316e-02,1.2049e-02
G1,cantilever,0.68,1e+09,8,67,3630,1,6,1,0.518,8.7516e-03,1.2749e-02
G1,cantilever,0.68,1e+09,8,68,3630,1,6,1,0.950,1.5864e-02,1.7629e-02
G1,cantilever,0.68,1e+09,8,69,3630,1,6,1,1.000,1.4158e-02,1.8529e-02
G1,cantilever,0.68,1e+09,8,70,3630,1,6,1,0.950,1.6851e-02,1.7237e-02
G1,cantilever,0.68,1e+09,8,71,3300,1,6,1,0.377,1.0565e-02,1.9350e-02
G1,cantilever,0.68,1e+09,8,72,2970,1,0,1,0.823,2.4125e-02,3.1252e-02
G1,cantilever,0.68,1e+09,8,73,3630,1,6,1,0.998,1.4846e-02,1.8931e-02
G1,cantilever,0.68,1e+09,8,74,3630,1,6,1,1.000,1.4531e-02,1.8751e-02
G1,cantilever,0.68,1e+09,8,75,3630,1,6,1,0.842,1.3624e-02,1.8674e-02
G1,cantilever,0.68,1e+09,8,76,3630,1,6,1,0.329,1.0435e-02,1.8871e-02
G1,cantilever,0.68,1e+09,8,77,3300,1,6,1,0.004,1.3112e-03,2.4032e-03
G1,cantilever,0.68,1e+09,8,78,3267,1,0,1,0.887,2.2443e-02,2.9350e-02
G1,cantilever,0.68,1e+09,8,79,3993,1,6,1,1.000,1.5319e-02,1.5412e-02
G1,cantilever,0.68,1e+09,8,80,3993,1,6,1,1.000,1.5397e-02,1.5667e-02
G1,cantilever,0.68,1e+09,8,81,3993,1,6,1,0.808,1.0961e-02,1.8299e-02
G1,cantilever,0.68,1e+09,8,82,3993,1,6,1,0.274,8.0482e-03,1.4363e-02
G1,cantilever,0.68,1e+09,8,83,3630,1,6,0,0.000,8.1848e-04,1.2623e-03
G1,cantilever,0.68,1e+09,8,84,2970,1,0,1,0.823,2.4125e-02,3.1252e-02
G1,cantilever,0.68,1e+09,8,85,3630,1,6,1,0.998,1.4846e-02,1.8931e-02
G1,cantilever,0.68,1e+09,8,86,3630,1,6,1,1.000,1.4531e-02,1.8751e-02
G1,cantilever,0.68,1e+09,8,87,3630,1,6,1,0.842,1.3624e-02,1.8674e-02
G1,cantilever,0.68,1e+09,8,88,3630,1,6,1,0.329,1.0435e-02,1.8871e-02
G1,cantilever,0.68,1e+09,8,89,3300,1,6,1,0.004,1.3112e-03,2.4032e-03
G1,cantilever,0.68,1e+09,8,90,2700,1,0,1,1.000,2.8233e-02,3.8530e-02
