tag,fixture,rung,contrast,core,threshold,Ntot
G1,cantilever,0.68,1e+09,8,1.0e-05,565
G1,cantilever,0.68,1e+09,8,1.0e-04,569
G1,cantilever,0.68,1e+09,8,6.5e-04,579
G1,cantilever,0.68,1e+09,8,1.0e-03,586
G1,cantilever,0.68,1e+09,8,3.0e-03,627
G1,cantilever,0.68,1e+09,8,1.0e-02,704
G1,cantilever,0.68,1e+09,8,3.0e-02,1244
G1,cantilever,0.68,1e+09,8,1.0e-01,4243
G1,cantilever,0.52,1e+09,8,1.0e-05,561
G1,cantilever,0.52,1e+09,8,1.0e-04,567
G1,cantilever,0.52,1e+09,8,6.5e-04,574
G1,cantilever,0.52,1e+09,8,1.0e-03,580
G1,cantilever,0.52,1e+09,8,3.0e-03,614
G1,cantilever,0.52,1e+09,8,1.0e-02,719
G1,cantilever,0.52,1e+09,8,3.0e-02,1244
G1,cantilever,0.52,1e+09,8,1.0e-01,4117
G1,cantilever,0.38,1e+09,8,1.0e-05,562
G1,cantilever,0.38,1e+09,8,1.0e-04,575
G1,cantilever,0.38,1e+09,8,6.5e-04,602
G1,cantilever,0.38,1e+09,8,1.0e-03,618
G1,cantilever,0.38,1e+09,8,3.0e-03,667
G1,cantilever,0.38,1e+09,8,1.0e-02,824
G1,cantilever,0.38,1e+09,8,3.0e-02,1308
G1,cantilever,0.38,1e+09,8,1.0e-01,4110
G1,cantilever,0.26,1e+09,8,1.0e-05,573
G1,cantilever,0.26,1e+09,8,1.0e-04,600
G1,cantilever,0.26,1e+09,8,6.5e-04,633
G1,cantilever,0.26,1e+09,8,1.0e-03,642
G1,cantilever,0.26,1e+09,8,3.0e-03,694
G1,cantilever,0.26,1e+09,8,1.0e-02,873
G1,cantilever,0.26,1e+09,8,3.0e-02,1439
G1,cantilever,0.26,1e+09,8,1.0e-01,4157
