rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785312748465,9.987556314e-05,0.548466,0,88,1,0,1,88,0,0,1.000000
0,2,1785312748534,4.828526478e-05,0.566759,0,75,1,0,1,75,0,0,1.000000
0,3,1785312748596,2.808659295e-05,0.590791,0,66,1,0,1,66,0,0,1.000000
0,4,1785312748664,2.625780174e-05,0.595042,0,61,1,0,1,61,0,0,1.000000
0,5,1785312748722,2.59596783e-05,0.593848,0,64,1,0,1,64,0,0,1.000000
0,6,1785312748780,2.561921163e-05,0.595159,0,64,1,0,1,64,0,0,1.000000
0,7,1785312748839,2.537655723e-05,0.597472,0,64,1,0,1,64,0,0,1.000000
0,8,1785312748901,2.519394779e-05,0.597801,0,68,1,0,1,68,0,0,1.000000
0,9,1785312748961,2.511484122e-05,0.598613,0,68,1,0,1,68,0,0,1.000000
0,10,1785312749024,2.500449322e-05,0.598672,0,72,1,0,1,72,0,0,1.000000
0,11,1785312749172,2.54439147e-05,0.597974,0,65,1,1,1,65,0,0,1.000000
0,12,1785312749233,2.514562001e-05,0.599720,0,70,1,1,1,70,0,0,1.000000
0,13,1785312749299,2.49867175e-05,0.600208,0,76,1,1,1,76,0,0,1.000000
0,14,1785312749367,2.488680941e-05,0.600654,0,78,1,1,1,78,0,0,1.000000
0,15,1785312749437,2.481366378e-05,0.600970,0,83,1,1,1,83,0,0,1.000000
0,16,1785312749512,2.475938853e-05,0.601183,0,89,1,1,1,89,0,0,1.000000
0,17,1785312749591,2.470929729e-05,0.601356,0,95,1,1,1,95,0,0,1.000000
0,18,1785312749668,2.465676606e-05,0.601498,0,89,1,1,1,89,0,0,1.000000
0,19,1785312749740,2.460146582e-05,0.601619,0,83,1,1,1,83,0,0,1.000000
0,20,1785312749811,2.456041419e-05,0.601674,0,80,1,1,1,80,0,0,1.000000
