vf,rho_measured,load_dir,build_dir,angle_load_build_deg,interlayer_conc_over_macro,vm_conc_over_macro,interlayer_vs_peak_vm
0.20,0.1978,[100],xz@0,0.0,50.8201,43.8028,1.1602
0.20,0.1978,[100],xz@15,15.0,53.1221,43.8028,1.2128
0.20,0.1978,[100],xz@30,30.0,49.9821,43.8028,1.1411
0.20,0.1978,[100],xz@45,45.0,42.2415,43.8028,0.9644
0.20,0.1978,[100],xz@60,60.0,31.9745,43.8028,0.7300
0.20,0.1978,[100],xz@75,75.0,24.6197,43.8028,0.5621
0.20,0.1978,[100],xz@90,90.0,17.8929,43.8028,0.4085
0.20,0.1978,[100],[110],45.0,42.2415,43.8028,0.9644
0.20,0.1978,[100],[111],54.7,33.0388,43.8028,0.7543
0.30,0.3130,[100],xz@0,0.0,28.9220,24.7021,1.1708
0.30,0.3130,[100],xz@15,15.0,29.8727,24.7021,1.2093
0.30,0.3130,[100],xz@30,30.0,27.7638,24.7021,1.1239
0.30,0.3130,[100],xz@45,45.0,23.1605,24.7021,0.9376
0.30,0.3130,[100],xz@60,60.0,17.2961,24.7021,0.7002
0.30,0.3130,[100],xz@75,75.0,12.7345,24.7021,0.5155
0.30,0.3130,[100],xz@90,90.0,9.5491,24.7021,0.3866
0.30,0.3130,[100],[110],45.0,23.1605,24.7021,0.9376
0.30,0.3130,[100],[111],54.7,20.2727,24.7021,0.8207
