vf,rho_measured,build_dir,k_knockdown,E_build_iso,E_build_transverse,E_ratio,C33_over_C11_transverse
0.20,0.1978,[001],1.00,151.687,151.687,1.0000,1.0000
0.20,0.1978,[001],0.85,151.687,133.444,0.8797,0.9084
0.20,0.1978,[001],0.70,151.687,114.186,0.7528,0.8069
0.20,0.1978,[001],0.55,151.687,93.669,0.6175,0.6921
0.20,0.1978,[011],1.00,185.992,185.992,1.0000,1.0000
0.20,0.1978,[011],0.85,185.992,158.772,0.8536,0.9773
0.20,0.1978,[011],0.70,185.992,131.552,0.7073,0.9578
0.20,0.1978,[011],0.55,185.992,104.274,0.5606,0.9443
0.20,0.1978,[111],1.00,201.156,201.156,1.0000,1.0000
0.20,0.1978,[111],0.85,201.156,173.398,0.8620,1.0000
0.20,0.1978,[111],0.70,201.156,144.984,0.7208,1.0000
0.20,0.1978,[111],0.55,201.156,115.814,0.5757,1.0000
0.30,0.3130,[001],1.00,322.857,322.857,1.0000,1.0000
0.30,0.3130,[001],0.85,322.857,280.486,0.8688,0.8957
0.30,0.3130,[001],0.70,322.857,236.789,0.7334,0.7840
0.30,0.3130,[001],0.55,322.857,191.417,0.5929,0.6621
0.30,0.3130,[011],1.00,354.497,354.497,1.0000,1.0000
0.30,0.3130,[011],0.85,354.497,303.366,0.8558,0.9579
0.30,0.3130,[011],0.70,354.497,252.141,0.7113,0.9153
0.30,0.3130,[011],0.55,354.497,200.660,0.5660,0.8721
0.30,0.3130,[111],1.00,366.468,366.468,1.0000,1.0000
0.30,0.3130,[111],0.85,366.468,315.694,0.8614,1.0000
0.30,0.3130,[111],0.70,366.468,263.858,0.7200,1.0000
0.30,0.3130,[111],0.55,366.468,210.755,0.5751,1.0000
