material,topology,rho,build_deg,E_build,E_side,r_int_vm,margin_k_over_r,k,cg_iters
PLA,octet,0.337,0,302.2761,217.4434,0.1952,2.8176,0.5500,208
PLA,octet,0.337,15,288.0952,218.7196,0.3493,1.5746,0.5500,324
PLA,octet,0.337,30,260.4691,224.4317,0.5882,0.9351,0.5500,317
PLA,octet,0.337,45,237.7879,237.7879,0.9090,0.6051,0.5500,326
PLA,octet,0.337,60,224.4317,260.4691,1.1182,0.4919,0.5500,317
PLA,octet,0.337,75,218.7196,288.0952,1.1905,0.4620,0.5500,324
PLA,octet,0.337,90,217.4434,302.2761,1.1732,0.4688,0.5500,208
PLA,bccz,0.318,0,91.9761,213.1928,0.3650,1.5067,0.5500,201
PLA,bccz,0.318,15,90.3989,211.1970,0.3538,1.5547,0.5500,325
PLA,bccz,0.318,30,86.8516,210.8026,0.5339,1.0302,0.5500,331
PLA,bccz,0.318,45,83.3124,223.2088,0.8050,0.6832,0.5500,326
PLA,bccz,0.318,60,80.6444,257.1888,0.9693,0.5674,0.5500,325
PLA,bccz,0.318,75,78.9229,308.4714,1.0364,0.5307,0.5500,323
PLA,bccz,0.318,90,78.3121,338.5404,1.0320,0.5329,0.5500,205
PETG,octet,0.337,0,328.0207,269.9149,0.2306,3.0355,0.7000,202
PETG,octet,0.337,15,319.6892,270.9324,0.3848,1.8190,0.7000,307
PETG,octet,0.337,30,301.8572,275.3601,0.6187,1.1314,0.7000,320
PETG,octet,0.337,45,285.5369,285.5369,0.9131,0.7666,0.7000,308
PETG,octet,0.337,60,275.3601,301.8572,1.1175,0.6264,0.7000,320
PETG,octet,0.337,75,270.9324,319.6892,1.1982,0.5842,0.7000,307
PETG,octet,0.337,90,269.9149,328.0207,1.1736,0.5965,0.7000,202
PETG,bccz,0.318,0,102.7408,265.9196,0.4219,1.6594,0.7000,197
PETG,bccz,0.318,15,101.7463,264.3092,0.4053,1.7273,0.7000,321
PETG,bccz,0.318,30,99.3980,264.1036,0.5840,1.1987,0.7000,322
PETG,bccz,0.318,45,96.8904,274.2198,0.8469,0.8265,0.7000,322
PETG,bccz,0.318,60,94.9541,299.6152,1.0847,0.6453,0.7000,320
PETG,bccz,0.318,75,93.7689,333.2058,1.1803,0.5931,0.7000,319
PETG,bccz,0.318,90,93.3686,350.4788,1.1530,0.6071,0.7000,202
ASA,octet,0.337,0,311.2955,235.1407,0.2073,2.8937,0.6000,207
ASA,octet,0.337,15,299.2423,236.3540,0.3614,1.6600,0.6000,317
ASA,octet,0.337,30,274.9350,241.7184,0.5986,1.0023,0.6000,321
ASA,octet,0.337,45,254.1834,254.1834,0.9105,0.6589,0.6000,322
ASA,octet,0.337,60,241.7184,274.9350,1.1181,0.5366,0.6000,321
ASA,octet,0.337,75,236.3540,299.2423,1.1933,0.5028,0.6000,317
ASA,octet,0.337,90,235.1407,311.2955,1.1732,0.5114,0.6000,207
ASA,bccz,0.318,0,95.7253,230.8545,0.3847,1.5598,0.6000,198
ASA,bccz,0.318,15,94.3510,228.9544,0.3715,1.6151,0.6000,324
ASA,bccz,0.318,30,91.2048,228.6272,0.5512,1.0886,0.6000,326
ASA,bccz,0.318,45,87.9869,240.4865,0.8202,0.7315,0.6000,324
ASA,bccz,0.318,60,85.5411,271.9984,1.0348,0.5798,0.6000,323
ASA,bccz,0.318,75,83.9950,317.3929,1.1094,0.5408,0.6000,319
ASA,bccz,0.318,90,83.4557,342.7422,1.1019,0.5445,0.6000,204
