rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785312237148,6.835054209e-05,0.648784,0,1684,0,0,0,0,0,0,1.000000
0,2,1785312240477,3.542838841e-05,0.676286,0,932,0,0,0,0,0,16,1.000000
0,3,1785312242783,2.588058285e-05,0.693339,0,580,0,0,0,0,0,16,1.000000
0,4,1785312244685,2.526225816e-05,0.696721,0,508,0,0,0,0,0,16,1.000000
0,5,1785312247041,2.513071596e-05,0.696688,0,448,0,0,0,0,0,16,1.000000
0,6,1785312248787,2.507636508e-05,0.695372,0,445,0,0,0,0,0,16,1.000000
0,7,1785312250524,2.503440724e-05,0.696771,0,455,0,0,0,0,0,16,1.000000
0,8,1785312252303,2.495659171e-05,0.697950,0,451,0,0,0,0,0,16,1.000000
0,9,1785312254058,2.489302634e-05,0.698459,0,459,0,0,0,0,0,16,1.000000
0,10,1785312255874,2.48389759e-05,0.698782,0,469,0,0,0,0,0,16,1.000000
0,11,1785312257668,2.479638707e-05,0.698928,0,475,0,0,0,0,0,16,1.000000
0,12,1785312259501,2.476769452e-05,0.699107,0,485,0,0,0,0,0,16,1.000000
0,13,1785312261286,2.474469726e-05,0.698965,0,483,0,0,0,0,0,16,1.000000
0,14,1785312263162,2.473385397e-05,0.699164,0,491,0,0,0,0,0,16,1.000000
0,15,1785312264895,2.471672134e-05,0.699035,0,452,0,0,0,0,0,16,1.000000
0,16,1785312266547,2.470820613e-05,0.699336,0,430,0,0,0,0,0,16,1.000000
0,17,1785312268297,2.468560896e-05,0.699472,0,419,0,0,0,0,0,16,1.000000
0,18,1785312269940,2.467008926e-05,0.699400,0,429,0,0,0,0,0,16,1.000000
0,19,1785312271595,2.464596801e-05,0.699285,0,444,0,0,0,0,0,16,1.000000
0,20,1785312273409,2.46200209e-05,0.699355,0,458,0,0,0,0,0,16,1.000000
0,21,1785312275196,2.459582329e-05,0.699438,0,460,0,0,0,0,0,16,1.000000
0,22,1785312277005,2.458072074e-05,0.699469,0,460,0,0,0,0,0,16,1.000000
0,23,1785312278849,2.456873873e-05,0.699434,0,459,0,0,0,0,0,16,1.000000
