rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785457501603,7.963405432e-05,0.646702,0,60,1,0,1,60,0,0,1.000000
0,2,1785457502329,4.072662516e-05,0.675093,0,55,1,0,1,55,0,0,1.000000
0,3,1785457503272,2.966410641e-05,0.692913,0,49,1,0,1,49,0,0,1.000000
0,4,1785457504123,2.903172353e-05,0.696375,0,48,1,0,1,48,0,0,1.000000
0,5,1785457504980,2.888301556e-05,0.696825,0,52,1,0,1,52,0,0,1.000000
0,6,1785457505670,2.881505345e-05,0.695440,0,51,1,0,1,51,0,0,1.000000
0,7,1785457506361,2.879031432e-05,0.696183,0,52,1,0,1,52,0,0,1.000000
0,8,1785457506922,2.872930323e-05,0.697107,0,52,1,0,1,52,0,0,1.000000
0,9,1785457507397,2.86629447e-05,0.698221,0,51,1,0,1,51,0,0,1.000000
0,10,1785457507962,2.859620039e-05,0.699119,0,51,1,0,1,51,0,0,1.000000
0,11,1785457508877,2.855554061e-05,0.699194,0,53,1,0,1,53,0,0,1.000000
0,12,1785457509979,2.854612692e-05,0.698937,0,52,1,0,1,52,0,0,1.000000
0,13,1785457510736,2.85298326e-05,0.698276,0,53,1,0,1,53,0,0,1.000000
0,14,1785457511842,2.85225016e-05,0.698831,0,54,1,0,1,54,0,0,1.000000
0,15,1785457512887,2.849652604e-05,0.699288,0,54,1,0,1,54,0,0,1.000000
0,16,1785457513765,2.847707517e-05,0.699537,0,54,1,0,1,54,0,0,1.000000
0,17,1785457514652,2.84623016e-05,0.699660,0,54,1,0,1,54,0,0,1.000000
0,18,1785457515488,2.845019118e-05,0.699710,0,55,1,0,1,55,0,0,1.000000
0,19,1785457516262,2.843638414e-05,0.699681,0,55,1,0,1,55,0,0,1.000000
0,20,1785457516932,2.842016198e-05,0.699660,0,53,1,0,1,53,0,0,1.000000
0,21,1785457518350,2.840320474e-05,0.699640,0,56,1,0,1,56,0,0,1.000000
0,22,1785457519107,2.838581136e-05,0.699649,0,55,1,0,1,55,0,0,1.000000
0,23,1785457520106,2.836925231e-05,0.699642,0,55,1,0,1,55,0,0,1.000000
0,24,1785457520745,2.835399825e-05,0.699532,0,57,1,0,1,57,0,0,1.000000
0,25,1785457521344,2.834258351e-05,0.699167,0,58,1,0,1,58,0,0,1.000000
0,26,1785457521800,2.833658774e-05,0.698789,0,59,1,0,1,59,0,0,1.000000
0,27,1785457522385,2.83366374e-05,0.698444,0,59,1,0,1,59,0,0,1.000000
0,28,1785457522997,2.831796642e-05,0.698713,0,63,1,0,1,63,0,0,1.000000
0,29,1785457523723,2.830588759e-05,0.699259,0,62,1,0,1,62,0,0,1.000000
0,30,1785457524380,2.828570062e-05,0.699692,0,64,1,0,1,64,0,0,1.000000
0,31,1785457525459,2.853482717e-05,0.698042,0,54,1,1,1,54,0,0,1.000000
0,32,1785457526052,2.845147847e-05,0.699501,0,62,1,1,1,62,0,0,1.000000
0,33,1785457526813,2.839974673e-05,0.699943,0,64,1,1,1,64,0,0,1.000000
0,34,1785457527404,2.836305528e-05,0.700453,0,69,1,1,1,69,0,0,1.000000
0,35,1785457527968,2.833679734e-05,0.700726,0,72,1,1,1,72,0,0,1.000000
0,36,1785457528639,2.831893752e-05,0.700858,0,74,1,1,1,74,0,0,1.000000
0,37,1785457529108,2.830493275e-05,0.700987,0,73,1,1,1,73,0,0,1.000000
0,38,1785457529641,2.82935284e-05,0.701058,0,75,1,1,1,75,0,0,1.000000
0,39,1785457530177,2.828404542e-05,0.701136,0,73,1,1,1,73,0,0,1.000000
0,40,1785457530741,2.82757821e-05,0.701197,0,77,1,1,1,77,0,0,1.000000
0,41,1785457531306,2.826919144e-05,0.701227,0,76,1,1,1,76,0,0,1.000000
0,42,1785457532030,2.826379055e-05,0.701238,0,80,1,1,1,80,0,0,1.000000
0,43,1785457532745,2.825931917e-05,0.701240,0,80,1,1,1,80,0,0,1.000000
0,44,1785457533623,2.825510708e-05,0.701233,0,78,1,1,1,78,0,0,1.000000
0,45,1785457534675,2.825147454e-05,0.701227,0,90,1,1,1,90,0,0,1.000000
0,46,1785457535568,2.824882597e-05,0.701190,0,73,1,1,1,73,0,0,1.000000
0,47,1785457536406,2.824637832e-05,0.701202,0,82,1,1,1,82,0,0,1.000000
0,48,1785457537058,2.824363125e-05,0.701247,0,88,1,1,1,88,0,0,1.000000
0,49,1785457537760,2.824034162e-05,0.701313,0,83,1,1,1,83,0,0,1.000000
0,50,1785457538536,2.823793223e-05,0.701334,0,83,1,1,1,83,0,0,1.000000
0,51,1785457539393,2.823618559e-05,0.701346,0,85,1,1,1,85,0,0,1.000000
0,52,1785457540210,2.82349494e-05,0.701349,0,86,1,1,1,86,0,0,1.000000
0,53,1785457541051,2.823382464e-05,0.701346,0,92,1,1,1,92,0,0,1.000000
0,54,1785457542064,2.823288935e-05,0.701343,0,91,1,1,1,91,0,0,1.000000
0,55,1785457543253,2.823201468e-05,0.701331,0,97,1,1,1,97,0,0,1.000000
0,56,1785457544254,2.823119071e-05,0.701329,0,84,1,1,1,84,0,0,1.000000
0,57,1785457545087,2.823048091e-05,0.701311,0,85,1,1,1,85,0,0,1.000000
0,58,1785457545842,2.822963135e-05,0.701314,0,84,1,1,1,84,0,0,1.000000
0,59,1785457546701,2.822868488e-05,0.701310,0,85,1,1,1,85,0,0,1.000000
0,60,1785457547665,2.82276625e-05,0.701310,0,85,1,1,1,85,0,0,1.000000
1,1,1785457552043,0.0002185158451,0.446702,0,60,1,0,1,60,0,0,1.000000
1,2,1785457552612,9.191501373e-05,0.469450,0,53,1,0,1,53,0,0,1.000000
1,3,1785457553072,5.068156891e-05,0.484115,0,44,1,0,1,44,0,0,1.000000
1,4,1785457553449,4.353583991e-05,0.488547,0,50,1,0,1,50,0,0,1.000000
1,5,1785457554051,0.0001344414181,0.491918,0,57,1,0,1,57,0,0,1.000000
1,6,1785457554739,3.730056204e-05,0.494877,0,47,1,0,1,47,0,0,1.000000
1,7,1785457555784,3.613542745e-05,0.496997,0,48,1,0,1,48,0,0,1.000000
1,8,1785457556488,3.952059747e-05,0.499166,0,55,1,0,1,55,0,0,1.000000
1,9,1785457557317,3.538295067e-05,0.498263,0,50,1,0,1,50,0,0,1.000000
1,10,1785457557922,3.523093344e-05,0.497481,0,50,1,0,1,50,0,0,1.000000
1,11,1785457558473,3.513373319e-05,0.497998,0,50,1,0,1,50,0,0,1.000000
1,12,1785457558994,3.488229714e-05,0.498148,0,51,1,0,1,51,0,0,1.000000
1,13,1785457559559,3.474068752e-05,0.498303,0,53,1,0,1,53,0,0,1.000000
1,14,1785457560389,3.454546239e-05,0.498636,0,53,1,0,1,53,0,0,1.000000
1,15,1785457561226,3.439249105e-05,0.498921,0,54,1,0,1,54,0,0,1.000000
1,16,1785457561878,3.417665474e-05,0.499085,0,55,1,0,1,55,0,0,1.000000
1,17,1785457562680,3.402395911e-05,0.499209,0,56,1,0,1,56,0,0,1.000000
1,18,1785457563331,7.688067991e-05,0.499897,0,57,1,0,1,57,0,0,1.000000
1,19,1785457563961,3.385692923e-05,0.499236,0,57,1,0,1,57,0,0,1.000000
1,20,1785457565058,7.835322396e-05,0.499555,0,58,1,0,1,58,0,0,1.000000
1,21,1785457566007,3.37820723e-05,0.499181,0,58,1,0,1,58,0,0,1.000000
1,22,1785457567178,3.381903935e-05,0.498229,0,59,1,0,1,59,0,0,1.000000
1,23,1785457569326,3.370676293e-05,0.499144,0,60,1,0,1,60,0,0,1.000000
1,24,1785457570436,3.356648962e-05,0.499499,0,62,1,0,1,62,0,0,1.000000
1,25,1785457571283,3.34745751e-05,0.499590,0,63,1,0,1,63,0,0,1.000000
1,26,1785457572576,3.341320636e-05,0.499589,0,64,1,0,1,64,0,0,1.000000
1,27,1785457574530,3.339450639e-05,0.499528,0,65,1,0,1,65,0,0,1.000000
1,28,1785457575797,3.332524957e-05,0.499634,0,65,1,0,1,65,0,0,1.000000
