rho_target,rho_lib,rho_meas,vpc,wall_vox,C11_lib,C12_lib,C44_lib,C11_meas,C12_meas,C44_meas,C11_drift_pct,C44_drift_pct
0.05047,0.04762,0.03247,32,1.0,37.065,18.351,16.855,23.343,11.660,10.729,-37.02,-36.35
0.05047,0.04762,0.04762,48,2.0,37.065,18.351,16.855,35.130,17.519,16.013,-5.22,-5.00
0.10000,0.09505,0.10083,32,2.0,78.112,37.596,33.787,86.323,41.880,37.124,10.51,9.88
0.10000,0.09505,0.09505,48,3.0,78.112,37.596,33.787,79.130,38.154,34.101,1.30,0.93
0.15700,0.15524,0.16406,32,3.0,147.291,68.162,60.261,159.354,73.840,65.048,8.19,7.94
0.20000,0.20414,0.22070,16,1.0,213.775,94.535,83.360,269.567,109.888,95.962,26.10,15.12
0.20000,0.20414,0.19907,24,2.0,213.775,94.535,83.360,220.879,94.018,81.573,3.32,-2.14
0.20000,0.20414,0.19775,32,3.0,213.775,94.535,83.360,208.232,92.156,80.865,-2.59,-2.99
0.20000,0.20414,0.20413,40,4.0,213.775,94.535,83.360,213.692,95.476,84.030,-0.04,0.80
0.20000,0.20414,0.20414,48,5.0,213.775,94.535,83.360,213.778,94.536,83.361,0.00,0.00
0.31300,0.31619,0.31299,32,4.0,418.756,165.932,148.002,416.450,164.946,146.062,-0.55,-1.31
0.45000,0.44394,0.42188,16,2.0,765.695,269.824,243.614,747.394,263.063,234.583,-2.39,-3.71
0.45000,0.44394,0.43113,24,4.0,765.695,269.824,243.614,735.342,259.592,234.439,-3.96,-3.77
0.45000,0.44394,0.46265,32,5.0,765.695,269.824,243.614,833.796,288.843,259.414,8.89,6.49
0.45000,0.44394,0.44550,40,6.0,765.695,269.824,243.614,769.329,270.966,243.730,0.47,0.05
0.60000,0.60004,0.58667,32,6.0,1389.724,459.543,404.091,1347.439,445.798,390.154,-3.04,-3.45
0.75000,0.75210,0.73706,32,7.0,2351.332,842.355,650.747,2318.420,820.507,625.355,-1.40,-3.90
0.89988,0.89598,0.89722,32,9.0,3787.497,1614.527,1000.964,3855.834,1663.189,1016.875,1.80,1.59
0.89988,0.89598,0.89598,48,13.0,3787.497,1614.527,1000.964,3804.223,1624.418,1003.188,0.44,0.22
