fixture,rho_target,rho_lib,N,vpc,state,ci,cj,ck,class,n_solid,cellavg_vm,cell_peak_vm,K_cell,K_far
sandwich,0.05047,0.04762,4,16,uni_x,0,0,0,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,0,0,grip,32,0.0000,0.0661,1587.602,0.004
sandwich,0.05047,0.04762,4,16,uni_x,0,1,0,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,1,0,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,2,0,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,2,0,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,3,0,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,3,0,grip,32,0.0000,0.0661,1587.602,0.004
sandwich,0.05047,0.04762,4,16,uni_x,0,0,1,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,0,1,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,1,1,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,1,1,grip,32,0.0000,0.0241,5764.589,0.001
sandwich,0.05047,0.04762,4,16,uni_x,0,2,1,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,2,1,grip,32,0.0000,0.0241,5764.589,0.001
sandwich,0.05047,0.04762,4,16,uni_x,0,3,1,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,3,1,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,0,2,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,0,2,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,1,2,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,1,2,grip,32,0.0000,0.0241,5764.589,0.001
sandwich,0.05047,0.04762,4,16,uni_x,0,2,2,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,2,2,grip,32,0.0000,0.0241,5764.589,0.001
sandwich,0.05047,0.04762,4,16,uni_x,0,3,2,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,3,2,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,0,3,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,0,3,grip,32,0.0000,0.0661,1587.602,0.004
sandwich,0.05047,0.04762,4,16,uni_x,0,1,3,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,1,3,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,2,3,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,2,3,grip,32,0.0000,0.0542,1673.871,0.003
sandwich,0.05047,0.04762,4,16,uni_x,0,3,3,grip,32,0.0000,0.0000,-1.000,0.000
sandwich,0.05047,0.04762,4,16,uni_x,3,3,3,grip,32,0.0000,0.0661,1587.602,0.004
sandwich,0.05047,0.04762,4,16,uni_z,0,0,0,grip,32,13.9441,2296.8739,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,0,0,grip,32,13.9441,2296.8739,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,1,0,grip,32,13.9904,2296.8739,164.175,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,1,0,grip,32,13.9904,2296.8739,164.175,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,2,0,grip,32,13.9904,2296.8739,164.175,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,2,0,grip,32,13.9904,2296.8739,164.175,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,3,0,grip,32,13.9441,2296.8739,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,3,0,grip,32,13.9441,2296.8739,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,0,1,grip,32,14.3282,2296.8741,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,0,1,grip,32,14.3282,2296.8741,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,1,1,grip,32,14.3932,2296.8741,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,1,1,grip,32,14.3932,2296.8741,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,2,1,grip,32,14.3932,2296.8741,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,2,1,grip,32,14.3932,2296.8741,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,3,1,grip,32,14.3282,2296.8741,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,3,1,grip,32,14.3282,2296.8741,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,0,2,grip,32,14.3282,2296.8745,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,0,2,grip,32,14.3282,2296.8745,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,1,2,grip,32,14.3932,2296.8746,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,1,2,grip,32,14.3932,2296.8746,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,2,2,grip,32,14.3932,2296.8746,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,2,2,grip,32,14.3932,2296.8746,159.581,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,3,2,grip,32,14.3282,2296.8745,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,3,2,grip,32,14.3282,2296.8745,160.304,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,0,3,grip,32,13.9441,2296.8726,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,0,3,grip,32,13.9441,2296.8726,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,1,3,grip,32,13.9904,2296.8724,164.174,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,1,3,grip,32,13.9904,2296.8724,164.174,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,2,3,grip,32,13.9904,2296.8724,164.174,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,2,3,grip,32,13.9904,2296.8724,164.174,122.736
sandwich,0.05047,0.04762,4,16,uni_z,0,3,3,grip,32,13.9441,2296.8726,164.720,122.736
sandwich,0.05047,0.04762,4,16,uni_z,3,3,3,grip,32,13.9441,2296.8726,164.720,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,0,0,grip,32,13.9441,2296.8739,164.720,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,0,0,grip,32,13.9441,2296.8680,164.720,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,1,0,grip,32,14.3282,2296.8741,160.304,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,1,0,grip,32,14.3282,2296.8684,160.304,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,2,0,grip,32,14.3282,2296.8745,160.304,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,2,0,grip,32,14.3282,2296.8688,160.304,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,3,0,grip,32,13.9441,2296.8726,164.720,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,3,0,grip,32,13.9441,2296.8667,164.720,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,0,1,grip,32,13.9904,2296.8739,164.175,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,0,1,grip,32,13.9905,2296.8683,164.174,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,0,1,1,grip,32,14.3932,2296.8741,159.581,122.736
sandwich,0.05047,0.04762,4,16,biax_xy,3,1,1,grip,32,14.3931,2296.8682,159.581,122.736
