fixture,rho_target,rho_lib,rho_meas,N,vpc,population,n_vox,wall_vox,K_dev_max,K_vol,K_il_dev,K_il_vol,samp_min,samp_med,samp_p95,samp_max,n_samp,cg_iters_max,cg_resid_max,dropped_floaters
sandwich,0.05047,0.04762,0.00391,4,16,grip,1024,1.0,87.5130,51.3842,76.1901,45.3573,19.149,51.951,79.494,86.733,64,34,9.43e-08,10240
sandwich,0.10000,0.09505,0.11914,4,16,interior,3904,2.0,48.6694,32.0906,24.0138,16.8238,26.494,38.544,45.657,48.055,64,1003,9.99e-08,0
sandwich,0.10000,0.09505,0.11914,4,16,grip,15616,2.0,77.9343,49.5211,59.1079,35.9680,49.148,65.640,74.400,75.620,64,1003,9.99e-08,0
sandwich,0.10000,0.09505,0.11914,4,16,free_surface,11712,2.0,57.2492,31.1503,25.6122,16.6038,32.218,45.172,52.334,55.774,64,1003,9.99e-08,0
sandwich,0.15700,0.15524,0.11914,4,16,interior,3904,2.0,26.1721,17.3461,12.4170,9.0939,14.241,21.174,24.876,25.652,64,1003,9.99e-08,0
sandwich,0.15700,0.15524,0.11914,4,16,grip,15616,2.0,42.7768,26.7679,30.5712,19.4420,26.450,35.600,40.644,41.024,64,1003,9.99e-08,0
sandwich,0.15700,0.15524,0.11914,4,16,free_surface,11712,2.0,30.3698,16.8378,13.6638,8.9749,17.318,24.321,28.300,29.782,64,1003,9.99e-08,0
sandwich,0.20000,0.20414,0.22070,4,16,interior,7232,2.0,22.9120,15.1602,11.2755,7.2684,11.453,17.010,21.253,22.634,64,793,9.96e-08,0
sandwich,0.20000,0.20414,0.22070,4,16,grip,28928,2.0,36.8758,24.7075,22.2411,15.5110,24.363,29.095,35.069,35.862,64,793,9.96e-08,0
sandwich,0.20000,0.20414,0.22070,4,16,free_surface,21696,2.0,26.4430,14.8580,11.2325,7.0948,15.627,20.662,24.710,26.130,64,793,9.96e-08,0
sandwich,0.31300,0.31619,0.28516,4,16,interior,9344,4.0,12.0973,8.9672,6.0721,3.8984,6.375,9.740,11.410,11.727,64,714,9.97e-08,0
sandwich,0.31300,0.31619,0.28516,4,16,grip,37376,4.0,20.9896,15.0085,11.5119,8.8343,13.214,16.179,19.499,20.529,64,714,9.97e-08,0
sandwich,0.31300,0.31619,0.28516,4,16,free_surface,28032,4.0,13.2773,8.5598,5.9370,3.7704,8.220,11.275,12.664,13.095,64,714,9.97e-08,0
sandwich,0.45000,0.44394,0.42188,4,16,interior,13824,4.0,8.0164,6.7059,3.7586,2.2007,3.729,6.533,7.591,7.874,64,628,9.95e-08,0
sandwich,0.45000,0.44394,0.42188,4,16,grip,55296,4.0,14.3511,10.3258,7.8747,5.7527,8.380,11.032,13.451,13.748,64,628,9.95e-08,0
sandwich,0.45000,0.44394,0.42188,4,16,free_surface,41472,4.0,9.2146,6.3587,3.6248,2.1157,4.934,7.396,8.666,9.072,64,628,9.95e-08,0
sandwich,0.60000,0.60004,0.59766,4,16,interior,19584,6.0,5.1703,4.2716,3.1978,1.0217,2.287,4.226,4.928,5.076,64,521,9.97e-08,0
sandwich,0.60000,0.60004,0.59766,4,16,grip,78336,6.0,9.8439,7.1153,5.0146,3.8837,5.020,6.948,8.482,8.800,64,521,9.97e-08,0
sandwich,0.60000,0.60004,0.59766,4,16,free_surface,58752,6.0,5.8696,4.0053,3.2151,0.9714,2.785,4.730,5.471,5.815,64,521,9.97e-08,0
sandwich,0.75000,0.75210,0.75195,4,16,interior,24640,6.0,3.4623,2.3634,2.3700,0.6824,1.402,2.580,3.222,3.393,64,453,9.99e-08,0
