fixture,rho_target,rho_lib,rho_meas,N,vpc,population,n_vox,wall_vox,K_dev_max,K_vol,K_il_dev,K_il_vol,samp_min,samp_med,samp_p95,samp_max,n_samp,cg_iters_max,cg_resid_max,dropped_floaters
periodic,0.05047,0.04762,0.03247,1,32,bulk,1064,1.0,98.9895,54.9399,66.9267,47.0518,58.875,78.843,91.640,96.663,512,170,8.64e-10,0
periodic,0.05047,0.04762,0.04762,1,48,bulk,5266,2.0,124.0930,60.6036,90.9946,66.0605,67.061,100.194,116.423,123.367,512,1397,9.78e-10,0
periodic,0.10000,0.09505,0.10083,1,32,bulk,3304,2.0,64.7557,31.0817,43.4553,30.5066,36.119,53.927,61.526,64.599,512,151,9.92e-10,0
periodic,0.10000,0.09505,0.09505,1,48,bulk,10512,3.0,65.3739,37.8932,67.1207,43.5009,38.120,55.151,62.498,65.359,512,219,7.85e-10,0
periodic,0.15700,0.15524,0.16406,1,32,bulk,5376,3.0,38.7510,18.8821,30.6208,20.8223,21.924,32.478,37.087,38.720,512,149,9.61e-10,0
periodic,0.20000,0.20414,0.22070,1,16,bulk,904,1.0,24.7111,13.4407,20.9546,14.3470,14.632,20.677,23.648,24.650,512,88,9.81e-10,0
periodic,0.20000,0.20414,0.19907,1,24,bulk,2752,2.0,25.7729,14.7321,26.0296,16.4531,15.776,22.477,24.878,25.712,512,109,8.53e-10,0
periodic,0.20000,0.20414,0.19775,1,32,bulk,6480,3.0,27.2487,16.1855,29.8682,18.5808,17.834,24.206,26.309,27.084,512,145,8.48e-10,0
periodic,0.20000,0.20414,0.20413,1,40,bulk,13064,4.0,31.2840,17.6810,33.0764,20.4108,18.960,27.050,30.117,31.223,512,183,9.68e-10,0
periodic,0.20000,0.20414,0.20414,1,48,bulk,22576,5.0,32.2906,18.4218,34.0004,21.6227,19.956,28.239,31.163,32.236,512,218,8.85e-10,0
periodic,0.31300,0.31619,0.31299,1,32,bulk,10256,4.0,16.8335,10.2442,17.5533,11.8537,11.837,14.992,16.307,16.819,512,146,9.79e-10,0
periodic,0.45000,0.44394,0.42188,1,16,bulk,1728,2.0,8.0498,5.8746,8.5808,6.5803,6.662,7.415,7.833,8.012,512,80,7.18e-10,0
periodic,0.45000,0.44394,0.43113,1,24,bulk,5960,4.0,9.8383,6.9832,11.2786,8.0986,7.293,8.646,9.477,9.810,512,112,8.07e-10,0
periodic,0.45000,0.44394,0.46265,1,32,bulk,15160,5.0,11.2957,8.1874,13.1874,9.5837,8.169,10.097,10.813,11.228,512,147,9.54e-10,0
periodic,0.45000,0.44394,0.44550,1,40,bulk,28512,6.0,11.6092,8.0827,12.8386,9.5626,8.838,10.624,11.345,11.584,512,183,9.83e-10,0
periodic,0.60000,0.60004,0.58667,1,32,bulk,19224,6.0,6.7494,5.3556,6.9696,6.3297,5.294,5.983,6.511,6.691,512,150,9.43e-10,0
periodic,0.75000,0.75210,0.73706,1,32,bulk,24152,7.0,4.6847,3.5686,4.2797,4.3419,3.247,3.688,4.438,4.667,512,147,9.37e-10,0
periodic,0.89988,0.89598,0.89722,1,32,bulk,29400,9.0,3.1251,2.2902,2.6744,2.3659,1.860,2.449,2.981,3.116,512,135,9.89e-10,0
periodic,0.89988,0.89598,0.89598,1,48,bulk,99088,13.0,3.6882,2.8571,3.2186,2.8771,2.080,2.853,3.501,3.677,512,211,9.28e-10,0
