fixture,rho_target,r_unit,rho_lib,rho_meas,N,vpc,population,state,n_vox,macro_vm,macro_p,macro_il_z,peak_vm,p99_vm,p999_vm,K_peak,K_p99,peak_il_z,K_il
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,uni_x,7232,119.23974,134.28166,94.53508,3936.3866,3866.3535,3936.3780,33.012,32.425,2151.9197,22.763
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,uni_z,7232,119.23974,134.28166,213.77482,3936.3866,3866.3535,3936.3780,33.012,32.425,4754.2168,22.239
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,biax_xy,7232,119.23974,268.56331,189.07015,5548.4940,5187.3520,5548.4905,46.532,43.504,4303.8394,22.763
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,shear_xy,7232,144.38398,0.00000,0.00000,2826.8251,2725.8664,2816.5099,19.579,18.879,581.3567,-1.000
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,shear_diag,7232,206.52929,0.00000,0.00000,4932.5597,4693.1403,4885.9155,23.883,22.724,1808.8768,-1.000
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,uni_111,7232,166.72026,134.28166,134.28166,5316.4881,4062.1442,5086.4331,31.889,24.365,3521.0577,26.221
kubc,0.20000,0.094900,0.20414,0.22070,2,16,grip,hydro,7232,0.00000,402.84497,402.84497,6207.2103,5621.2382,6207.2098,-1.000,-1.000,9058.0561,22.485
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,uni_x,904,119.23974,134.28166,94.53508,3942.4392,3942.4097,3942.4392,33.063,33.063,2028.9160,21.462
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,uni_z,904,119.23974,134.28166,213.77482,3942.4392,3942.4097,3942.4392,33.063,33.063,4274.0161,19.993
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,biax_xy,904,119.23974,268.56331,189.07015,5234.8828,5234.8133,5234.8828,43.902,43.902,2396.2043,12.674
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,shear_xy,904,144.38398,0.00000,0.00000,2871.8166,2825.4750,2871.8166,19.890,19.569,400.9610,-1.000
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,shear_diag,904,206.52929,0.00000,0.00000,4308.5098,4308.4201,4308.5098,20.861,20.861,1898.5882,-1.000
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,uni_111,904,166.72026,134.28166,134.28166,3986.5218,3655.9250,3986.5218,23.911,21.928,2512.4698,18.710
kubc,0.20000,0.094900,0.20414,0.22070,3,16,interior,hydro,904,0.00000,402.84497,402.84497,5453.8608,5453.8595,5453.8608,-1.000,-1.000,5821.6392,14.451
