fixture,rho_target,r_unit,rho_lib,rho_meas,N,vpc,population,state,n_vox,macro_vm,macro_p,macro_il_z,peak_vm,p99_vm,p999_vm,K_peak,K_p99,peak_il_z,K_il
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,uni_x,1024,18.71390,24.58897,18.35100,0.0661,0.0542,0.0661,0.004,0.003,0.0382,0.002
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,uni_z,1024,18.71390,24.58897,37.06490,2296.8746,2296.8745,2296.8746,122.736,122.736,2390.2176,64.487
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,biax_xy,1024,18.71390,49.17793,36.70200,2296.8746,2296.8741,2296.8745,122.736,122.736,968.0097,26.375
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,shear_xy,1024,29.19406,0.00000,0.00000,0.0313,0.0267,0.0294,0.001,0.001,0.0132,-1.000
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,shear_diag,1024,32.41343,0.00000,0.00000,2296.8806,2296.8800,2296.8804,70.862,70.862,0.0000,-1.000
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,uni_111,1024,33.71040,24.58897,24.58897,2361.4460,2361.4440,2361.4452,70.051,70.051,1449.1855,58.936
sandwich,0.05047,0.045405,0.04762,0.00391,4,16,grip,hydro,1024,0.00000,73.76690,73.76690,3790.4550,3790.4546,3790.4549,-1.000,-1.000,3345.8650,45.357
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,uni_x,3904,40.51535,51.10132,37.59620,3030.1262,2940.3381,3030.1262,74.790,72.573,1619.7735,43.083
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,uni_z,3904,40.51535,51.10132,78.11155,1366.4637,1340.6847,1366.4363,33.727,33.091,1057.5479,13.539
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,biax_xy,3904,40.51535,102.20264,75.19241,4337.8130,4171.3098,4337.7874,107.066,102.956,1922.7910,25.572
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,shear_xy,3904,58.52075,0.00000,0.00000,2685.4107,2661.0008,2685.4012,45.888,45.471,294.5626,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,shear_diag,3904,70.17464,0.00000,0.00000,2581.8831,2399.6243,2581.8758,36.792,34.195,1326.4496,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,uni_111,3904,67.57394,51.10132,51.10132,3212.6035,2875.8463,3200.8381,47.542,42.559,1511.0060,29.569
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,interior,hydro,3904,0.00000,153.30396,153.30396,4919.6084,4852.6300,4919.5981,-1.000,-1.000,2579.1594,16.824
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,uni_x,15616,40.51535,51.10132,37.59620,3531.1018,2970.1623,3285.1758,87.155,73.310,1620.1079,43.092
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,uni_z,15616,40.51535,51.10132,78.11155,3606.3881,3478.5390,3604.1597,89.013,85.857,4061.9454,52.002
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,biax_xy,15616,40.51535,102.20264,75.19241,6129.7626,5314.9149,5747.9121,151.295,131.183,2703.4450,35.954
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,shear_xy,15616,58.52075,0.00000,0.00000,2661.8951,2306.9790,2657.6142,45.486,39.422,1265.9369,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,shear_diag,15616,70.17464,0.00000,0.00000,4176.0925,3772.5965,4040.3275,59.510,53.760,1766.1428,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,uni_111,15616,67.57394,51.10132,51.10132,6817.1362,4505.8731,5889.5037,100.884,66.681,3219.8247,63.009
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,grip,hydro,15616,0.00000,153.30396,153.30396,7591.7732,5839.6871,6979.0379,-1.000,-1.000,5514.0360,35.968
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,uni_x,11712,40.51535,51.10132,37.59620,2989.7478,2812.0982,2989.7150,73.793,69.408,1612.2322,42.883
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,uni_z,11712,40.51535,51.10132,78.11155,1358.2368,1183.6844,1353.6799,33.524,29.216,1052.8566,13.479
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,biax_xy,11712,40.51535,102.20264,75.19241,4236.8302,3535.3113,4229.9775,104.573,87.259,1895.1539,25.204
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,shear_xy,11712,58.52075,0.00000,0.00000,2718.5277,1889.3169,2714.5270,46.454,32.285,444.2186,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,shear_diag,11712,70.17464,0.00000,0.00000,3186.3847,2785.0897,3144.0590,45.406,39.688,1715.4971,-1.000
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,uni_111,11712,67.57394,51.10132,51.10132,3419.4760,2604.4570,3048.2100,50.603,38.542,1594.5943,31.205
sandwich,0.10000,0.066699,0.09505,0.11914,4,16,free_surface,hydro,11712,0.00000,153.30396,153.30396,4775.4619,4062.6581,4775.4131,-1.000,-1.000,2545.4274,16.604
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,uni_x,3904,79.12924,94.53830,68.16189,3030.1262,2940.3381,3030.1262,38.293,37.159,1619.7735,23.764
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,uni_z,3904,79.12924,94.53830,147.29113,1366.4637,1340.6847,1366.4363,17.269,16.943,1057.5479,7.180
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,biax_xy,3904,79.12924,189.07661,136.32378,4337.8130,4171.3098,4337.7874,54.819,52.715,1922.7910,14.105
sandwich,0.15700,0.085264,0.15524,0.11914,4,16,interior,shear_xy,3904,104.37560,0.00000,0.00000,2685.4107,2661.0008,2685.4012,25.728,25.494,294.5626,-1.000
