fixture,rho_target,r_unit,rho_lib,rho_meas,N,vpc,population,state,n_vox,macro_vm,macro_p,macro_il_z,peak_vm,p99_vm,p999_vm,K_peak,K_p99,peak_il_z,K_il
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,uni_x,1064,18.71390,24.58897,18.35100,2313.9439,2313.9439,2313.9439,123.648,123.648,1534.9469,83.644
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,uni_z,1064,18.71390,24.58897,37.06490,2313.9439,2313.9439,2313.9439,123.648,123.648,1899.5310,51.249
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,biax_xy,1064,18.71390,49.17793,36.70200,4010.2620,3973.3392,4010.2620,214.293,212.320,1571.3331,42.813
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,shear_xy,1064,29.19406,0.00000,0.00000,2873.6973,1940.9940,2873.6973,98.434,66.486,324.8899,-1.000
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,shear_diag,1064,32.41343,0.00000,0.00000,2440.8638,2440.8638,2440.8638,75.304,75.304,1498.5606,-1.000
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,uni_111,1064,33.71040,24.58897,24.58897,2707.3621,2697.6384,2707.3621,80.312,80.024,1710.3286,69.557
periodic,0.05047,0.045405,0.04762,0.03247,1,32,bulk,hydro,1064,0.00000,73.76690,73.76690,4052.7483,4052.7483,4052.7483,-1.000,-1.000,3470.8641,47.052
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,uni_x,5266,18.71390,24.58897,18.35100,2825.9289,2483.5127,2797.0304,151.007,132.710,1926.9534,105.005
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,uni_z,5266,18.71390,24.58897,37.06490,2825.9289,2483.5127,2797.0304,151.007,132.710,2882.3063,77.764
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,biax_xy,5266,18.71390,49.17793,36.70200,4370.4432,4082.2045,4311.6015,233.540,218.138,1990.7726,54.242
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,shear_xy,5266,29.19406,0.00000,0.00000,3219.6029,2141.2156,3173.0309,110.283,73.344,456.8710,-1.000
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,shear_diag,5266,32.41343,0.00000,0.00000,3256.1421,2603.0420,3233.9711,100.457,80.308,1863.1341,-1.000
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,uni_111,5266,33.71040,24.58897,24.58897,3260.3823,2845.1578,3260.3745,96.717,84.400,2423.8546,98.575
periodic,0.05047,0.045405,0.04762,0.04762,1,48,bulk,hydro,5266,0.00000,73.76690,73.76690,4470.5424,4278.9262,4468.4962,-1.000,-1.000,4873.0789,66.061
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,uni_x,3304,40.51535,51.10132,37.59620,3251.2561,2869.2757,3251.2561,80.248,70.819,1811.2193,48.176
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,uni_z,3304,40.51535,51.10132,78.11155,3251.2561,2869.2757,3251.2561,80.248,70.819,2961.5070,37.914
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,biax_xy,3304,40.51535,102.20264,75.19241,4606.2840,4358.0525,4606.2840,113.692,107.565,1872.7041,24.905
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,shear_xy,3304,58.52075,0.00000,0.00000,3294.3402,2788.6603,3294.3402,56.294,47.653,424.9635,-1.000
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,shear_diag,3304,70.17464,0.00000,0.00000,3700.7475,3122.1201,3700.7475,52.736,44.491,1749.7345,-1.000
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,uni_111,3304,67.57394,51.10132,51.10132,3600.2648,3111.3240,3600.2648,53.279,46.043,2668.1332,52.213
periodic,0.10000,0.066699,0.09505,0.10083,1,32,bulk,hydro,3304,0.00000,153.30396,153.30396,4764.9471,4764.9471,4764.9471,-1.000,-1.000,4676.7863,30.507
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,uni_x,10512,40.51535,51.10132,37.59620,4026.4566,2837.3573,4026.4566,99.381,70.032,1975.9133,52.556
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,uni_z,10512,40.51535,51.10132,78.11155,4026.4566,2837.3573,4026.4566,99.381,70.032,4650.5707,59.538
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,biax_xy,10512,40.51535,102.20264,75.19241,5709.0981,4269.9308,5709.0981,140.912,105.390,2136.6585,28.416
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,shear_xy,10512,58.52075,0.00000,0.00000,3375.0893,2643.5224,3197.1394,57.673,45.172,628.9929,-1.000
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,shear_diag,10512,70.17464,0.00000,0.00000,3993.8044,3249.9980,3926.3867,56.912,46.313,1887.3864,-1.000
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,uni_111,10512,67.57394,51.10132,51.10132,3802.5780,3114.9031,3802.5780,56.273,46.096,3089.6336,60.461
periodic,0.10000,0.066699,0.09505,0.09505,1,48,bulk,hydro,10512,0.00000,153.30396,153.30396,5809.1703,4671.2930,5809.1703,-1.000,-1.000,6668.8622,43.501
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,uni_x,5376,79.12924,94.53830,68.16189,3784.0187,3429.6314,3784.0187,47.821,43.342,2016.8827,29.590
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,uni_z,5376,79.12924,94.53830,147.29113,3784.0187,3429.6314,3784.0187,47.821,43.342,4126.6116,28.017
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,biax_xy,5376,79.12924,189.07661,136.32378,5210.5549,4708.5863,5210.5549,65.849,59.505,2134.0272,15.654
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,shear_xy,5376,104.37560,0.00000,0.00000,3478.6547,2939.2592,3478.6547,33.328,28.160,476.6117,-1.000
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,shear_diag,5376,137.05587,0.00000,0.00000,4421.8760,3521.5233,4421.8760,32.263,25.694,1936.4323,-1.000
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,uni_111,5376,120.52256,94.53830,94.53830,3808.5777,3459.6871,3808.5777,31.601,28.706,3106.6954,32.862
periodic,0.15700,0.085264,0.15524,0.16406,1,32,bulk,hydro,5376,0.00000,283.61491,283.61491,5355.2457,5194.0201,5355.2457,-1.000,-1.000,5905.5025,20.822
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,uni_x,904,119.23974,134.28166,94.53508,3921.8698,3921.8698,3921.8698,32.891,32.891,2018.9176,21.356
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,uni_z,904,119.23974,134.28166,213.77482,3921.8698,3921.8698,3921.8698,32.891,32.891,4251.7649,19.889
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,biax_xy,904,119.23974,268.56331,189.07015,5205.8057,5205.8057,5205.8057,43.658,43.658,2361.5839,12.491
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,shear_xy,904,144.38398,0.00000,0.00000,2888.4099,2841.8357,2888.4099,20.005,19.682,391.2432,-1.000
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,shear_diag,904,206.52929,0.00000,0.00000,4319.3858,4319.3858,4319.3858,20.914,20.914,1894.6836,-1.000
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,uni_111,904,166.72026,134.28166,134.28166,3983.7957,3651.9732,3983.7957,23.895,21.905,2497.6576,18.600
periodic,0.20000,0.094900,0.20414,0.22070,1,16,bulk,hydro,904,0.00000,402.84497,402.84497,5414.5050,5414.5050,5414.5050,-1.000,-1.000,5779.6349,14.347
periodic,0.20000,0.094900,0.20414,0.19907,1,24,bulk,uni_x,2752,119.23974,134.28166,94.53508,4546.5788,3781.3690,4546.5788,38.130,31.712,2085.9318,22.065
periodic,0.20000,0.094900,0.20414,0.19907,1,24,bulk,uni_z,2752,119.23974,134.28166,213.77482,4546.5788,3781.3690,4546.5788,38.130,31.712,5147.6091,24.080
periodic,0.20000,0.094900,0.20414,0.19907,1,24,bulk,biax_xy,2752,119.23974,268.56331,189.07015,5751.1145,4972.4755,5751.1145,48.232,41.701,2186.7611,11.566
